n,Bubble Sort Fast,Insertion Sort Fast,Heap,State Machine (Compiled),State Machine (Lookup Table),State Machine (Lookup Table Alternative),State Machine (Lookup Table Ascending),State Machine (Binary Search),State Machine (Binary Search Fast)
3,0.248964,0.220068,0.233495,0.223540,0.279075,0.260479,0.271004,0.344644,0.366217
4,0.391501,0.340369,0.395541,0.340360,0.380838,0.378349,0.379717,0.542071,0.521159
5,0.548441,0.460844,0.536428,0.488512,0.584611,0.558503,0.565401,0.784573,0.874801
6,0.723923,0.576146,0.747682,0.730355,0.757473,0.739438,0.734575,1.057327,0.951003
7,0.924535,0.709376,1.027713,0.000006,1.003326,0.991204,0.998199,1.418810,1.378170
8,1.155636,0.864264,1.198642,0.000006,1.768179,1.766242,1.798821,2.426946,2.840222
9,1.378952,1.006894,1.425374,0.000006,0.000001,0.000002,0.000002,0.000001,0.000001
10,1.616176,1.137251,1.611187,0.000006,0.000002,0.000003,0.000001,0.000003,0.000003
11,1.977523,1.275898,1.938151,0.000008,0.000001,0.000001,0.000001,0.000002,0.000002
12,2.342821,1.468289,2.142396,0.000008,0.000002,0.000001,0.000002,0.000002,0.000001
13,2.693054,1.631738,2.459177,0.000008,0.000001,0.000002,0.000001,0.000001,0.000001
14,3.078803,1.811298,2.778480,0.000008,0.000002,0.000002,0.000001,0.000002,0.000002
15,3.603324,1.988373,3.151271,0.000008,0.000003,0.000003,0.000001,0.000002,0.000002
16,4.026512,2.163834,3.338460,0.000009,0.000002,0.000002,0.000001,0.000002,0.000002
