n,Bubble Sort Fast,Insertion Sort Fast,Insertion Sort Indexes,AVX Sort,Heap,State Machine (Compiled),State Machine (Lookup Table),State Machine (Lookup Table Alternative),State Machine (Lookup Table Ascending),State Machine (Binary Search),State Machine (Binary Search Fast)
3,2.128216,2.074750,0.000001,0.000002,2.006798,2.023857,2.249779,2.141438,2.150601,2.686041,2.844493
4,3.242322,3.161244,0.000001,0.000002,3.175168,3.020196,3.086120,3.213430,3.381165,4.564404,3.963819
5,4.549378,4.344652,0.000002,0.000002,4.370335,4.151379,4.537384,4.504029,4.544735,6.176983,7.029252
6,5.973352,5.614075,0.000002,0.000001,6.115598,5.939829,5.689587,5.723935,5.725279,8.847629,7.277031
7,7.680889,6.997880,0.000002,0.000002,7.866903,0.000003,8.254092,8.123630,8.141182,12.793478,11.102724
8,9.422339,8.366401,0.000002,0.000002,9.204630,0.000005,15.543802,14.854090,15.461971,20.691615,24.637236
9,11.396444,9.852181,0.000001,0.000001,10.672370,0.000004,0.000002,0.000002,0.000002,0.000002,0.000001
10,13.332913,11.455609,0.000001,0.000002,12.596590,0.000004,0.000002,0.000001,0.000002,0.000002,0.000002
11,15.365781,13.130932,0.000002,0.000002,14.546460,0.000005,0.000002,0.000001,0.000001,0.000002,0.000002
12,17.821676,14.901474,0.000002,0.000001,16.512401,0.000005,0.000002,0.000002,0.000001,0.000001,0.000001
13,20.305171,16.951622,0.000002,0.000001,18.519563,0.000006,0.000001,0.000001,0.000001,0.000001,0.000002
14,22.765573,18.861253,0.000001,0.000002,21.029437,0.000006,0.000002,0.000002,0.000003,0.000001,0.000002
15,25.466738,20.925275,0.000001,0.000001,23.542446,0.000006,0.000001,0.000002,0.000002,0.000002,0.000001
16,28.119286,23.116093,24.545211,21.323989,25.101026,0.000005,0.000002,0.000002,0.000002,0.000002,0.000003
