n,Bubble Sort Fast,Insertion Sort Fast,Heap,State Machine (Compiled),State Machine (Lookup Table),State Machine (Lookup Table Alternative),State Machine (Lookup Table Ascending),State Machine (Binary Search),State Machine (Binary Search Fast)
3,2.317373,1.974936,2.183001,1.672479,2.283331,2.055939,2.096268,2.739406,2.757874
4,3.711256,2.994518,3.479027,2.728828,3.131053,3.379768,3.117345,4.541953,3.961835
5,5.250818,4.046038,4.844203,3.819533,4.589747,4.900039,4.756905,6.606800,6.810135
6,6.995585,5.124038,6.689362,5.668714,5.693403,6.326621,5.754155,8.848463,7.057474
7,8.959356,6.217145,8.780357,0.000005,8.184722,8.137085,7.899079,11.891416,11.545010
8,11.178746,7.380319,10.279426,0.000005,15.473802,14.605395,15.206715,20.613870,24.560880
9,13.412916,8.509991,11.800023,0.000005,0.000002,0.000001,0.000001,0.000002,0.000002
10,15.919551,9.754929,13.857408,0.000005,0.000002,0.000002,0.000002,0.000001,0.000002
11,18.481217,11.070281,16.216690,0.000005,0.000002,0.000001,0.000001,0.000002,0.000002
12,21.386947,12.345713,18.374352,0.000006,0.000002,0.000001,0.000001,0.000002,0.000001
13,24.540985,13.819896,20.676837,0.000006,0.000002,0.000002,0.000001,0.000002,0.000002
14,27.978910,15.404031,23.419135,0.000006,0.000002,0.000002,0.000001,0.000001,0.000001
15,30.916670,16.720766,26.343053,0.000005,0.000002,0.000001,0.000001,0.000002,0.000002
16,34.417737,18.253458,28.069833,0.000006,0.000002,0.000001,0.000001,0.000002,0.000002
