n,Bubble Sort Fast,Insertion Sort Fast,Insertion Sort Fast Discrete N,Insertion Sort Indexes,AVX Sort,AVX Sort Discrete N,Heap,State Machine (Compiled)
3,2.115372,1.901291,1.790343,2.175694,2.349448,2.342609,2.194427,1.588513
4,3.438750,2.815142,2.872451,3.246390,3.515502,3.522258,3.473401,2.715362
5,4.896932,3.757543,4.362728,4.418973,4.735141,4.787383,4.824026,3.886591
6,6.586800,4.723129,4.652876,5.569714,5.958899,5.879726,6.642402,5.981326
7,8.432855,5.744857,5.516057,6.785414,7.292603,7.086330,8.752404,0.000004
8,10.389496,6.806548,6.791943,8.116949,8.712289,8.525519,10.141709,0.000004
9,12.579761,7.942733,8.979634,9.458018,10.108793,9.882520,11.744789,0.000004
10,14.857515,8.956733,8.986413,10.829299,11.547268,11.230398,13.818354,0.000004
11,17.120598,10.112793,11.563379,12.255348,13.001829,12.554002,16.254893,0.000005
12,19.732995,11.406983,11.357611,13.682606,14.581159,14.189997,18.194324,0.000005
13,22.470373,13.048097,15.039693,15.484937,16.137999,15.838850,20.698590,0.000004
14,25.457967,14.407480,14.557340,17.084740,17.802658,17.454746,23.425277,0.000004
15,28.376093,15.645891,16.004004,18.780913,19.477492,19.111613,26.452144,0.000004
16,31.617896,17.144862,17.595636,20.250885,21.296786,20.664583,27.993840,0.000004
