n,Bubble Sort Fast,Insertion Sort Fast,Insertion Sort Indexes,AVX Sort,AVX Sort Discrete N,Heap,State Machine (Compiled)
3,2.006846,1.851709,2.322640,2.362499,2.334467,2.013138,1.615605
4,3.088026,2.787605,3.539165,3.611962,3.607347,3.250774,2.721417
5,4.383752,3.755986,4.912888,4.875235,4.723171,4.337327,3.881635
6,5.708754,4.753021,6.400085,6.110639,6.075013,6.069514,5.993558
7,7.180298,5.818400,7.963653,7.427037,7.277619,7.779640,0.000005
8,8.754183,6.915083,9.554453,8.865061,8.676542,9.131932,0.000006
9,10.531527,8.076523,11.228707,10.220350,10.039361,10.523633,0.000003
10,12.326083,9.137144,13.005961,11.582578,11.393385,12.524883,0.000005
11,14.301973,10.336634,14.834537,13.046325,13.122835,14.275360,0.000004
12,16.122114,11.592411,16.745147,14.516346,14.281699,16.244611,0.000005
13,18.245006,12.899268,19.041272,16.166748,16.094222,18.138888,0.000004
14,20.249402,14.235342,21.255788,17.853709,17.597084,20.774900,0.000003
15,22.525102,15.554813,23.440533,19.432009,18.948970,23.140795,0.000004
16,24.897338,16.798569,25.672252,21.316084,20.573503,24.763570,0.000004
