n,Bubble Sort Fast,Insertion Sort Fast,Insertion Sort Fast Discrete N,Insertion Sort Indexes,AVX Sort,Heap,State Machine (Compiled),State Machine (Lookup Table),State Machine (Lookup Table Alternative),State Machine (Lookup Table Ascending),State Machine (Binary Search),State Machine (Binary Search Fast)
3,1.965950,2.070576,1.827501,0.000002,2.363254,2.209141,1.983027,2.234933,2.159967,2.116457,2.715824,2.811707
4,2.994936,3.161486,2.796437,0.000001,3.596622,3.481090,3.028229,3.088311,3.237395,3.302894,4.578155,3.971649
5,4.347136,4.342879,3.636973,0.000002,4.855178,4.783325,4.133113,4.571539,4.528537,4.610070,6.137872,7.020944
6,5.848047,5.616656,4.696580,0.000002,6.163157,6.495828,5.946331,5.687857,5.742463,5.960863,8.705767,7.224736
7,7.468997,6.951102,5.682234,0.000002,7.450048,8.579077,0.000005,8.294527,8.082781,8.187027,12.755221,11.090984
8,9.174338,8.364397,6.728722,0.000001,8.908052,9.872376,0.000005,15.396222,14.823477,15.145535,20.441901,24.373497
9,11.083311,9.853460,8.131055,0.000001,10.249038,11.460858,0.000005,0.000001,0.000001,0.000002,0.000002,0.000002
10,13.075722,11.457573,8.689022,0.000001,11.627690,13.341698,0.000006,0.000002,0.000002,0.000002,0.000002,0.000002
11,15.280205,13.131270,10.518559,0.000002,13.115315,15.520886,0.000005,0.000001,0.000001,0.000002,0.000001,0.000001
12,17.552699,14.905654,11.396912,0.000001,14.566088,17.440431,0.000005,0.000001,0.000003,0.000002,0.000002,0.000002
13,19.885847,16.950156,13.663738,0.000001,16.231458,19.640685,0.000005,0.000002,0.000002,0.000002,0.000002,0.000002
14,22.460130,18.860267,13.801403,0.000002,17.769155,22.280541,0.000005,0.000001,0.000002,0.000002,0.000001,0.000002
15,25.497092,20.925816,15.761732,0.000001,19.513935,25.063747,0.000005,0.000002,0.000002,0.000002,0.000002,0.000001
16,28.493756,23.108435,17.672257,25.064081,21.387748,26.556976,0.000007,0.000001,0.000001,0.000001,0.000002,0.000002
