n,Bubble Sort Fast,Insertion Sort Fast,Insertion Sort Indexes,AVX Sort,AVX Sort Discrete N,AVX Sort (Binary Search),Heap,State Machine (Compiled)
3,2.123444,1.823188,2.323765,2.387893,2.326415,2.741012,2.195310,1.592526
4,3.459895,2.715200,3.687352,3.637537,3.574298,4.769992,3.486289,2.713520
5,4.946247,3.644943,5.062406,4.800534,4.762986,6.431961,4.828894,3.887554
6,6.643047,4.635579,6.591866,6.020058,6.106889,8.461072,6.651749,5.983776
7,8.445991,5.679225,8.115012,7.287663,7.304064,10.692783,8.723008,0.000004
8,10.393126,6.714497,9.746185,8.652047,8.452408,13.339347,10.233913,0.000004
9,12.582872,7.840200,11.335032,9.988940,9.862170,15.395252,11.684436,0.000003
10,14.812863,9.008957,13.112125,11.504627,11.160731,17.764874,13.816281,0.000004
11,17.193596,10.227569,14.960596,13.004587,12.451817,19.938582,16.122535,0.000005
12,20.109161,11.484834,16.914064,14.561065,14.033633,22.528895,18.232879,0.000004
13,22.549147,13.017270,19.222090,16.126143,15.859852,25.081905,20.528390,0.000004
14,25.320490,14.360416,21.369218,17.844592,17.267119,27.930507,23.307361,0.000005
15,28.736526,15.749077,23.590614,19.362222,18.946831,30.904652,26.288434,0.000004
16,31.636640,17.254374,25.929214,21.222361,20.591865,34.027891,28.001768,0.000004
