n,Bubble Sort Fast,Insertion Sort Fast,Pseudo AVX Sort,Pseudo AVX Sort (Binary Search),Heap
3,0.021142,0.018078,0.030036,0.028434,0.021853
4,0.034466,0.026507,0.044863,0.049603,0.034633
5,0.049250,0.036388,0.060106,0.066284,0.048068
6,0.065856,0.045635,0.075496,0.086261,0.066534
7,0.084211,0.056974,0.090337,0.109066,0.087870
8,0.103496,0.066455,0.104780,0.136382,0.102064
9,0.125295,0.079986,0.120657,0.156771,0.117800
10,0.147315,0.089779,0.136459,0.178219,0.138093
11,0.171602,0.102102,0.153991,0.201203,0.161698
12,0.199291,0.114501,0.171322,0.226375,0.182384
13,0.224738,0.129202,0.188474,0.252691,0.206348
14,0.251780,0.145318,0.206523,0.281237,0.234478
15,0.286959,0.156341,0.224687,0.310617,0.264766
16,0.315097,0.174822,0.244489,0.342503,0.281144
17,0.355103,0.186050,0.266994,0.368556,0.299499
18,0.396614,0.204610,0.289162,0.395013,0.324168
19,0.448159,0.216109,0.312437,0.421760,0.351825
20,0.495980,0.233353,0.334891,0.449184,0.374415
21,0.547609,0.252803,0.356908,0.477157,0.400158
22,0.597447,0.269911,0.382664,0.505698,0.432141
23,0.651683,0.287077,0.403846,0.536493,0.463816
24,0.712510,0.301503,0.428348,0.567493,0.492613
25,0.766537,0.320221,0.453363,0.599840,0.514861
26,0.824679,0.343691,0.477315,0.632795,0.550632
27,0.885679,0.360266,0.499484,0.664956,0.583962
28,0.950977,0.376140,0.524311,0.700106,0.615710
29,1.016665,0.400430,0.550984,0.733349,0.650594
30,1.085530,0.420544,0.576657,0.768159,0.691522
31,1.155119,0.446030,0.607086,0.804791,0.729594
32,1.230894,0.471781,0.636844,0.842557,0.754305
33,1.309165,0.489198,0.667871,0.874513,0.780726
34,1.378766,0.528838,0.701070,0.907797,0.814562
35,1.454522,0.653532,0.737631,0.940328,0.841822
36,1.550649,0.703707,0.797691,0.977626,0.873877
37,1.663564,0.742151,0.882538,1.007369,0.902588
38,1.737012,0.768912,0.922100,1.105712,0.957702
39,1.813637,0.801377,0.965147,1.153248,1.027383
40,1.891341,0.833394,1.000782,1.198176,1.075928
41,1.963632,0.857406,1.026643,1.221406,1.092065
42,2.045277,0.893705,1.063200,1.265260,1.141051
43,2.123829,0.925106,1.104733,1.303890,1.169366
44,2.220045,0.953234,1.146050,1.355776,1.207782
45,2.298876,0.985212,1.183573,1.389360,1.239046
46,2.386186,1.018443,1.215706,1.427087,1.291250
47,2.480779,1.051114,1.253688,1.462033,1.320193
48,2.568866,1.084792,1.294890,1.509143,1.361567
49,2.667887,1.119697,1.335071,1.538098,1.390986
50,2.771785,1.157461,1.379077,1.586936,1.435706
51,2.876777,1.193680,1.424083,1.639746,1.477546
52,2.974936,1.229026,1.468553,1.681843,1.518943
53,3.095429,1.264601,1.513637,1.719513,1.562151
54,3.191580,1.308554,1.563018,1.768903,1.615185
55,3.299878,1.342357,1.609399,1.815826,1.655059
56,3.390673,1.376496,1.644124,1.855209,1.699868
57,3.516727,1.415954,1.690921,1.899243,1.737942
58,3.630677,1.456273,1.741020,1.965881,1.787863
59,3.738957,1.494688,1.786351,2.005402,1.828545
60,3.852507,1.536778,1.834245,2.050685,1.875865
61,3.970999,1.574174,1.885769,2.101625,1.916291
62,4.079293,1.619141,1.942299,2.153193,1.973101
63,4.211125,1.658046,1.989069,2.196725,2.017785
64,4.320636,1.699673,2.034360,2.226968,2.051368
65,4.477763,1.740776,2.085555,2.270768,2.070171
66,4.582345,1.788415,2.142905,2.321214,2.120336
67,4.725981,1.828062,2.202030,2.379667,2.144505
68,4.835798,1.871539,2.257671,2.438772,2.181115
69,4.978039,1.921605,2.319713,2.476025,2.214456
70,5.120590,1.973866,2.390584,2.550439,2.272015
71,5.281704,2.019733,2.450082,2.600452,2.301617
72,5.376398,2.053343,2.501384,2.639480,2.344733
73,5.520184,2.108933,2.582157,2.684104,2.365793
74,5.658563,2.152137,2.640712,2.729170,2.422410
75,5.820179,2.202391,2.704719,2.773506,2.447884
76,5.975913,2.254831,2.770774,2.822299,2.490340
77,6.126681,2.311196,2.835979,2.875034,2.524973
78,6.254841,2.359200,2.914540,2.938669,2.582880
79,6.444373,2.410491,2.983684,2.989699,2.615377
80,6.573386,2.459089,3.041232,3.022258,2.664657
81,6.730274,2.513127,3.110198,3.065584,2.685371
82,6.893830,2.558409,3.179389,3.124920,2.746052
