n,Bubble Sort Fast,Insertion Sort Fast,Insertion Sort Indexes,AVX Sort,AVX Sort Discrete N,AVX Sort (Pointers),AVX Sort (Binary Search),Heap,State Machine (Compiled)
3,2.010660,1.813226,2.362521,2.430056,2.350861,2.859716,2.730955,2.015113,1.616239
4,3.088909,2.689530,3.782564,3.669201,3.639803,4.141019,4.739632,3.247381,2.720168
5,4.392463,3.619677,5.278967,4.958124,4.710121,5.407974,6.319478,4.341307,3.882621
6,5.714419,4.605384,6.863795,6.229681,6.061248,6.658826,8.347897,6.063741,5.992513
7,7.211196,5.636365,8.462529,7.535181,7.307557,8.046461,10.627313,7.784899,0.000004
8,8.754324,6.603394,10.084353,8.969235,8.659594,9.363517,13.281606,9.184027,0.000004
9,10.503252,7.716060,11.780348,10.448236,10.092074,0.000001,15.274305,10.516167,0.000004
10,12.328126,8.874502,13.592629,11.912337,11.364848,0.000001,17.452223,12.467394,0.000003
11,14.293759,10.133487,15.423012,13.446950,12.798985,0.000002,19.829096,14.280634,0.000004
12,16.117451,11.346593,17.377146,15.041184,14.255945,0.000002,22.459245,16.226546,0.000003
13,18.188396,12.810774,19.619062,16.677850,15.893776,0.000002,25.010426,18.132647,0.000005
14,20.275728,14.110913,21.765923,18.171234,17.443053,0.000002,27.750134,20.641425,0.000004
15,22.511364,15.564524,24.007772,19.983009,18.980114,0.000002,30.727559,23.184068,0.000004
16,24.871002,17.033000,26.356097,21.749399,20.582476,0.000002,34.024268,24.725641,0.000004
