n,Bubble Sort Fast,Insertion Sort Fast,Insertion Sort Indexes,AVX Sort,AVX Sort Discrete N,AVX Sort (Pointers),AVX Sort (Binary Search),Pseudo AVX Sort,Pseudo AVX Sort (Binary Search),Heap,State Machine (Compiled)
3,2.007550,1.830929,2.329941,2.414558,2.332196,2.875946,2.717275,3.475689,3.107458,2.017061,1.617565
4,3.089287,2.770005,3.568330,3.601023,3.577017,4.139715,4.748708,5.064451,5.367212,3.252186,2.721558
5,4.390678,3.755452,4.928053,4.817132,4.767039,5.463944,6.332817,6.636351,7.186163,4.323710,3.885079
6,5.710852,4.720336,6.413221,6.120592,6.112017,6.795176,8.338392,8.359523,9.396026,6.061631,5.993990
7,7.215996,5.808332,7.986327,7.493689,7.339766,8.211658,10.621144,10.060755,11.652507,7.766308,0.000004
8,8.770028,6.901398,9.557908,8.897762,8.434618,9.590215,13.269130,11.841113,14.453917,9.174024,0.000004
9,10.523842,8.002031,11.233664,10.355122,9.770700,0.000002,15.253907,13.740562,16.621463,10.510909,0.000004
10,12.345458,9.098867,13.009937,11.902989,11.179282,0.000001,17.453573,15.954858,18.973910,12.383243,0.000004
11,14.302070,10.370869,14.832984,13.502488,12.984626,0.000001,19.828300,18.066814,21.326630,14.242330,0.000005
12,16.139809,11.586536,16.743198,15.123558,14.082058,0.000002,22.411500,20.207317,24.134166,16.139241,0.000004
13,18.200870,12.879840,19.069160,16.795922,15.942930,0.000002,24.990183,22.458167,26.787831,18.123597,0.000004
14,20.268972,14.201862,21.273696,18.448759,17.327463,0.000002,27.798012,24.774041,29.745041,20.629294,0.000004
15,22.522464,15.523743,23.436557,20.261949,18.878123,0.000001,30.846610,27.296361,32.791333,23.098779,0.000004
16,24.882898,16.796284,25.662807,22.097873,20.508875,0.000001,34.164795,29.857853,36.045064,24.668166,0.000003
