n,Bubble Sort Fast,Insertion Sort Fast,Insertion Sort Indexes,AVX Sort,AVX Sort Discrete N,AVX Sort (Pointers),AVX Sort (Binary Search),Heap,State Machine (Compiled)
3,2.136278,1.820257,2.358900,2.394620,2.326981,2.882908,2.735603,2.193863,1.591193
4,3.475501,2.687446,3.779529,3.634974,3.577566,4.143948,4.779950,3.493365,2.715833
5,4.927177,3.624628,5.280816,4.808653,4.762646,5.463657,6.418747,4.836994,3.887007
6,6.570265,4.564140,6.865403,6.054841,6.105961,6.805388,8.462436,6.659356,5.984070
7,8.477705,5.579173,8.463021,7.312354,7.329639,8.208354,10.718430,8.746929,0.000004
8,10.408918,6.597557,10.086277,8.626788,8.448307,9.604387,13.345928,10.251078,0.000004
9,12.552230,7.728696,11.786612,10.052679,9.866986,0.000001,15.411149,11.778646,0.000004
10,14.756313,8.866492,13.592829,11.486838,11.179944,0.000002,17.715510,13.815179,0.000006
11,17.194063,10.128090,15.419734,13.060501,12.524808,0.000002,20.048112,16.222357,0.000003
12,19.715152,11.367906,17.382023,14.568500,14.029184,0.000002,22.728298,18.466716,0.000005
13,22.315843,12.775282,19.619299,16.131709,15.754199,0.000001,25.258680,20.644988,0.000004
14,25.291822,14.113185,21.770050,17.976613,17.271330,0.000002,27.943802,23.312818,0.000004
15,28.466123,15.513694,24.007034,19.405243,18.879230,0.000002,30.882630,26.359903,0.000004
16,31.806321,17.049148,26.361690,21.324586,20.623934,0.000002,33.961970,28.134056,0.000005
