n,Insertion Sort Fast,Pseudo AVX Sort,Pseudo AVX Sort (Binary Search),Heap
3,0.018235,0.030041,0.028330,0.022121
4,0.027456,0.044786,0.049623,0.034691
5,0.036985,0.059896,0.066323,0.048117
6,0.046304,0.075630,0.086156,0.066385
7,0.055516,0.090366,0.109693,0.087948
8,0.068307,0.104416,0.135938,0.101610
9,0.078863,0.119870,0.156195,0.117693
10,0.090532,0.136571,0.178116,0.137613
11,0.102617,0.153516,0.200685,0.162693
12,0.114016,0.171490,0.226163,0.181663
13,0.129951,0.188650,0.253060,0.207390
14,0.141904,0.206439,0.281414,0.234013
15,0.155454,0.224335,0.310494,0.265354
16,0.172308,0.244125,0.341718,0.280272
17,0.186260,0.267311,0.367238,0.298056
18,0.200982,0.290190,0.393917,0.324227
19,0.218830,0.312463,0.420090,0.350078
20,0.233203,0.335404,0.448208,0.374146
21,0.252864,0.357163,0.475991,0.400526
22,0.266800,0.379847,0.505913,0.431953
23,0.283543,0.403065,0.537042,0.462495
24,0.306349,0.428777,0.570083,0.493613
25,0.324471,0.452639,0.599798,0.515574
26,0.337220,0.476006,0.636646,0.550976
27,0.358722,0.498679,0.669370,0.582571
28,0.379276,0.524214,0.701130,0.615171
29,0.397445,0.549454,0.739027,0.651241
30,0.418372,0.576184,0.771513,0.691787
31,0.440565,0.609414,0.805773,0.729185
32,0.465984,0.638151,0.842765,0.755574
33,0.489995,0.668663,0.874468,0.780499
34,0.540456,0.699553,0.908266,0.815640
35,0.669169,0.738846,0.939409,0.839798
36,0.710936,0.796979,0.978233,0.871993
37,0.731074,0.880049,1.007596,0.899636
38,0.765891,0.920431,1.042415,0.942186
39,0.799068,0.960876,1.156683,1.023344
40,0.826094,0.998578,1.198513,1.072324
41,0.857466,1.025972,1.230084,1.090957
42,0.889343,1.062018,1.273975,1.141962
43,0.923489,1.100859,1.312066,1.167950
44,0.953479,1.145303,1.365808,1.207311
45,0.984710,1.183800,1.401070,1.239503
46,1.017699,1.216924,1.433375,1.291886
47,1.050472,1.253394,1.466844,1.320922
48,1.083528,1.293230,1.510317,1.359401
49,1.120651,1.334501,1.547797,1.390095
50,1.157370,1.383194,1.591837,1.436002
51,1.192682,1.427139,1.652690,1.477501
52,1.226381,1.461164,1.695972,1.516965
53,1.260989,1.504432,1.723703,1.560454
54,1.296395,1.547969,1.767847,1.610308
55,1.337277,1.592626,1.822887,1.650037
56,1.372449,1.637909,1.858600,1.698506
57,1.414336,1.686204,1.915116,1.735387
58,1.453609,1.732381,1.994269,1.785498
59,1.494184,1.784703,2.021283,1.827028
60,1.535035,1.830639,2.057645,1.872992
61,1.572716,1.877792,2.098718,1.915666
62,1.610785,1.932624,2.161107,1.970552
63,1.652827,1.985625,2.190560,2.014553
64,1.694730,2.024556,2.226124,2.047148
65,1.741580,2.078788,2.270940,2.069710
66,1.786728,2.153116,2.327209,2.119012
67,1.835663,2.209760,2.378436,2.145760
68,1.868749,2.256059,2.424652,2.181332
69,1.916323,2.321020,2.469787,2.212020
70,1.965052,2.379418,2.542958,2.267987
71,2.006965,2.442780,2.574287,2.296133
72,2.057922,2.505181,2.630856,2.343304
73,2.102849,2.584951,2.679957,2.365634
74,2.152276,2.652546,2.748756,2.424103
75,2.206078,2.719866,2.797612,2.448075
76,2.254945,2.783857,2.840224,2.490791
77,2.306324,2.851692,2.881029,2.525662
78,2.359016,2.930898,2.953196,2.583571
79,2.404304,3.000123,3.001333,2.615906
80,2.469561,3.073265,3.058354,2.669427
81,2.516651,3.145559,3.104967,2.690986
82,2.554459,3.204052,3.144234,2.747220
83,2.610168,3.275367,3.185499,2.774966
84,2.660170,3.344673,3.243323,2.818608
85,2.715272,3.415818,3.296901,2.859737
86,2.770925,3.483081,3.348631,2.928950
87,2.820370,3.556447,3.393118,2.961629
88,2.876219,3.629706,3.437037,3.018821
89,2.930708,3.643110,3.469315,3.046584
90,2.972368,3.737340,3.549387,3.114981
91,3.031157,3.810109,3.604411,3.147978
92,3.094056,3.879710,3.659959,3.200137
93,3.154403,3.952998,3.700238,3.245726
94,3.200432,4.021737,3.750158,3.308007
95,3.263353,4.100872,3.781944,3.344105
96,3.324312,4.179551,3.849911,3.396936
97,3.375013,4.256976,3.905114,3.420954
98,3.435740,4.336265,3.964094,3.482566
99,3.498394,4.417657,4.007681,3.507348
100,3.559116,4.513358,4.078083,3.553180
101,3.620851,4.592407,4.151397,3.593612
102,3.705332,4.668395,4.196928,3.665676
103,3.758234,4.747160,4.243607,3.699734
104,3.796388,4.815269,4.284950,3.752566
105,3.859165,4.899875,4.356765,3.780531
106,3.920724,4.985605,4.384177,3.843323
107,3.987467,5.091914,4.443211,3.883168
108,4.045147,5.156535,4.496401,3.933513
109,4.122455,5.248762,4.553215,3.983186
110,4.190018,5.356206,4.628697,4.053298
111,4.258060,5.449523,4.680503,4.087713
112,4.311365,5.525440,4.719461,4.147022
113,4.376048,5.613104,4.777282,4.173542
114,4.433635,5.687885,4.826774,4.230101
115,4.501108,5.776728,4.887356,4.269038
116,4.562023,5.871468,4.950444,4.320494
117,4.629242,5.964229,5.000970,4.370378
118,4.702318,6.081759,5.095296,4.443180
119,4.762205,6.177744,5.147496,4.484322
120,4.868077,6.255749,5.193833,4.556528
121,4.936205,6.368036,5.272986,4.584506
122,4.970941,6.429933,5.308983,4.642750
123,5.041978,6.527589,5.383555,4.683663
124,5.110938,6.625489,5.435134,4.740833
125,5.181532,6.725798,5.498231,4.794756
126,5.252930,6.824455,5.557190,4.861372
127,5.323880,6.924903,5.626691,4.914776
128,5.439451,7.067874,5.702888,4.964987
129,5.510133,7.168432,5.785010,4.994091
130,5.539912,7.227780,5.787492,5.043997
131,5.615856,7.332547,5.841766,5.068194
132,5.687573,7.442509,5.889668,5.108867
133,5.761875,7.553739,5.957471,5.151589
134,5.842404,7.661930,6.002425,5.208862
135,5.917541,7.771607,6.069641,5.249914
136,5.990212,7.882110,6.121315,5.301571
137,6.063980,7.993199,6.176065,5.329774
138,6.145141,8.103674,6.231411,5.389012
139,6.221621,8.216452,6.283041,5.419560
140,6.313003,8.330864,6.345613,5.465363
141,6.384406,8.442622,6.412923,5.509205
142,6.458551,8.556493,6.473116,5.571284
143,6.534139,8.670371,6.523990,5.605225
144,6.612369,8.785246,6.589739,5.664436
145,6.696650,8.901510,6.681977,5.684561
146,6.773231,9.020828,6.710656,5.750353
147,6.857330,9.134339,6.776121,5.780469
148,6.935898,9.254494,6.824361,5.826708
149,7.016412,9.369463,6.867062,5.875434
150,7.102663,9.492001,6.923023,5.940251
151,7.186636,9.613527,6.983921,5.977106
152,7.267782,9.734860,7.059295,6.038525
153,7.349338,9.996528,7.131036,6.065644
154,7.429961,10.119621,7.193061,6.133535
155,7.517007,10.245517,7.266927,6.166644
156,7.608119,10.373983,7.349980,6.218057
157,7.689881,10.495438,7.385056,6.266285
158,7.774870,10.613346,7.455791,6.332868
159,7.862664,10.748522,7.526773,6.373917
160,7.952334,10.865729,7.578789,6.437583
161,8.034355,11.003753,7.639608,6.459179
162,8.127556,11.133534,7.676474,6.520730
163,8.217656,11.260566,7.735811,6.550146
164,8.307037,11.393584,7.800003,6.596515
165,8.394638,11.521562,7.863228,6.643327
166,8.483896,11.653881,7.914959,6.712531
167,8.585169,11.787470,7.978797,6.750173
168,8.679111,11.921269,8.031014,6.814795
169,8.769252,12.002679,8.118004,6.841354
170,8.858677,12.138228,8.167560,6.911364
171,8.955698,12.267463,8.216025,6.942624
172,9.041340,12.401813,8.256023,6.992569
173,9.141939,12.538341,8.347164,7.043733
174,9.232409,12.671462,8.404739,7.118158
175,9.334116,12.807637,8.453054,7.157590
176,9.406328,12.939413,8.500340,7.224583
177,9.508862,13.074768,8.547360,7.243938
178,9.593731,13.208140,8.618750,7.317788
179,9.696011,13.346352,8.684682,7.347757
180,9.790654,13.488560,8.744841,7.401861
181,9.886449,13.626780,8.843560,7.453975
182,9.990332,13.770281,8.915134,7.530714
183,10.089174,13.906828,8.975644,7.569623
184,10.191031,14.048693,9.026017,7.649162
185,10.277759,14.588094,9.194558,7.666445
186,10.382206,14.728156,9.268558,7.741681
187,10.482432,14.880020,9.326698,7.777706
188,10.582302,15.031240,9.390106,7.834317
189,10.711435,15.182129,9.451530,7.949166
190,10.788645,15.323591,9.521246,7.963699
191,10.891125,15.469116,9.586997,8.009692
192,10.986134,15.620247,9.657280,8.077314
193,11.093747,15.775012,9.734075,8.093628
194,11.197264,15.922916,9.776887,8.162636
195,11.298665,16.077883,9.852287,8.189162
196,11.404817,16.231308,9.909491,8.237820
197,11.503053,16.389036,9.988264,8.284712
198,11.611981,16.535294,10.048012,8.353198
199,11.718359,16.692708,10.104988,8.387442
200,11.819127,16.857046,10.159618,8.459991
