n,Insertion Sort Fast,Heap
3,1845,2006
4,2780,3177
5,3797,4364
6,4754,6142
7,5820,7878
8,6900,9225
9,8050,10674
10,9147,12610
11,10394,14582
12,11570,16542
13,13028,18518
14,14259,21053
15,15571,23569
16,16828,25116
17,18268,26950
18,19654,29297
19,21167,31694
20,22791,33872
21,24385,36328
22,25979,39231
23,27614,41836
24,29170,44308
25,31017,46460
26,32764,49537
27,34634,52519
28,36363,55502
29,38326,58249
30,40371,61978
31,43078,65634
32,45160,67724
33,47586,70495
34,55573,73589
35,65863,76246
36,69035,79296
37,71791,82049
38,74460,88403
39,77156,94347
40,80190,97814
41,83010,99903
42,85940,103628
43,88830,106397
44,91913,110095
45,94890,112694
46,98170,116761
47,101000,119731
48,104366,122758
49,107578,126340
50,110874,130061
51,114211,134197
52,117951,137861
53,120889,141734
54,124531,145948
55,127667,150047
56,131637,153362
57,135022,157454
58,138675,161638
59,142322,165357
60,146586,169527
61,150077,173090
62,153691,177464
63,157279,181465
64,161340,183789
65,165291,186717
66,169392,190507
67,173413,193721
68,177442,197088
69,181230,200340
70,185733,204410
71,189316,207976
72,194206,211273
73,198180,214468
74,203685,218995
75,208243,222291
76,212026,225511
77,216885,228946
78,221734,233076
79,226173,236877
80,231031,240171
81,235324,243169
82,240398,247331
83,245249,250900
84,249994,254776
85,255224,258325
86,260479,263032
87,264800,267078
88,271647,271106
89,276003,274613
90,280580,278766
91,282980,282758
92,288028,286543
93,292280,290372
94,298517,295217
95,304384,299394
96,310342,302581
97,315894,306779
98,323205,311038
99,328883,315268
100,332560,317882
