n,Insert (O0),Insert (O1),Insert (O2),Insert (O3),Heap (O0),Heap (O1),Heap (O2),Heap (O3),State Machine (O0),State Machine (O1),State Machine (O2),State Machine (O3)
3,19445,10853,9414,9323,37146,13381,10741,10715,10508,10189,8637,8592
4,30119,16335,14108,14084,56784,22014,17505,17410,16865,15914,13887,14140
5,41382,22044,18753,19071,77705,30943,24140,24216,23690,21633,20097,20114
6,53425,27709,23456,23942,101276,42390,32613,32550,37622,30786,29299,29338
7,66673,33403,28463,29350,127421,54229,41640,41767,75165,46214,45419,45547
8,80905,38590,33470,34873,149165,62772,48532,48356,0,0,0,0
9,96424,44469,38579,40704,173860,73692,56307,56505,0,0,0,0
10,113228,50224,44713,45858,199866,86397,66583,65930,0,0,0,0
11,130884,55986,50116,52223,229217,100452,76001,76163,0,0,0,0
12,149668,62490,55253,58280,254769,110828,84858,84930,0,0,0,0
13,169824,69606,63416,65417,282979,124005,94174,94394,0,0,0,0
14,190818,78362,70261,71189,311750,138487,106077,105839,0,0,0,0
15,213398,83298,75552,77712,344804,152617,117166,117556,0,0,0,0
16,236790,90072,82878,83779,368256,161857,125169,125151,0,0,0,0
