n,Insert (O0),Insert (O1),Insert (O2),Insert (O3),Insert (Os),Insert (Oz),Heap (O0),Heap (O1),Heap (O2),Heap (O3),Heap (Os),Heap (Oz),State Machine (O0),State Machine (O1),State Machine (O2),State Machine (O3),State Machine (Os),State Machine (Oz)
3,18724,10072,9747,9202,10940,10858,37610,10906,10576,10542,27126,27646,10881,10694,8178,8306,8827,8939
4,29328,15233,14481,13957,16744,16532,58048,18437,17895,17875,43270,44277,17169,15994,13751,13950,13932,13743
5,39961,20569,19225,18786,22944,22583,80609,25092,24122,23909,61613,62661,24133,21595,20197,20178,19633,19549
6,51776,25982,24369,23682,29191,28741,104104,35248,33376,33237,80669,82027,39764,30791,29478,29453,29256,29287
7,63385,30328,29880,29008,35749,34608,131744,43577,42071,42163,103166,104329,81939,45540,45570,49713,51379,50183
8,76724,36071,35274,34115,42846,40907,153490,50719,50144,50075,121510,123232,0,0,0,0,0,0
9,90951,42058,41355,39655,50240,47761,180177,58513,57772,57783,144019,145381,0,0,0,0,0,0
10,107056,47487,47034,45213,58120,55069,206668,70365,68225,68017,166373,168362,0,0,0,0,0,0
11,122060,53294,52022,50515,67457,63307,237919,79807,78445,78335,193889,195820,0,0,0,0,0,0
12,138542,59469,57952,56937,76933,71235,263741,90106,88326,87891,215343,217387,0,0,0,0,0,0
13,155368,65755,65204,63667,87454,80698,293462,98889,97150,97151,240741,242350,0,0,0,0,0,0
14,175313,73868,72294,69553,97141,88683,322877,112299,109127,108664,265351,267708,0,0,0,0,0,0
15,193709,80683,79678,76049,106926,97496,357158,122233,120241,120760,295696,298342,0,0,0,0,0,0
16,213816,88168,87724,82728,117622,106236,381413,130729,129627,129501,317118,319228,0,0,0,0,0,0
