n,Insert (O2),Insert (O3)
3,979,967
4,1492,1431
5,2017,1916
6,2553,2423
7,3102,2984
8,3686,3561
9,4272,4210
10,4908,4764
11,5545,5284
12,6220,5880
13,7023,6703
14,7724,7422
15,8483,8257
16,9235,9064
17,9988,9884
18,10815,10754
19,11545,11562
20,12457,12564
21,13382,13433
22,14244,14282
23,15187,15229
24,16101,16299
25,17072,17265
26,18065,18272
27,19061,19333
28,20086,20468
29,21150,21510
30,22243,22650
31,23710,24115
32,24979,25394
33,26625,26993
34,32038,31642
35,36159,35793
36,37765,37395
37,39226,38956
38,40664,40703
39,42182,42079
40,43741,43901
41,45319,45332
42,46928,47052
43,48563,48462
44,50217,50382
45,51912,52198
46,53624,53807
47,55375,55537
48,57149,57258
49,58954,59282
50,60756,61209
51,62615,63052
52,64482,64666
53,66388,66812
54,68322,68998
55,70241,71141
56,72512,73377
57,74499,75468
58,76212,77209
59,78249,79461
60,80327,81510
61,82429,83748
62,84564,85856
63,86749,88065
64,88943,90342
65,91139,92465
66,93344,94819
67,95589,97059
68,97859,99575
69,100121,101806
70,102455,104141
71,104807,106558
72,107513,109377
73,109890,111785
74,111933,113835
75,114496,116433
76,117128,119371
77,119664,122037
78,122162,124511
79,124670,127133
80,127208,129474
81,129771,132156
82,132394,134931
83,134995,137217
84,138423,141070
85,141224,143837
86,142894,145598
87,145575,148288
88,148271,151127
89,151022,153979
90,153100,156855
91,155827,158773
92,158614,162059
93,161445,165292
94,164735,168297
95,167703,171434
96,171168,175082
97,174111,177748
98,176420,180357
99,179358,183452
100,182278,186420
101,185237,189675
102,188229,192674
103,191233,195674
104,194433,199142
105,197513,202140
106,201232,206343
107,204325,209361
108,206612,212049
109,209783,215476
110,212956,218757
111,216143,221914
112,219375,225594
113,222607,228932
114,226273,232680
115,229732,236206
116,232505,239402
117,235810,242680
118,239191,246485
119,242574,249994
120,245995,253491
121,249411,257163
122,253201,260994
123,256676,264512
124,260707,269051
125,264252,272655
126,266866,275675
127,270431,279458
128,274037,283220
129,277655,286906
130,281692,290974
131,285387,294944
132,289020,298384
133,292736,302435
134,296463,306406
135,300226,310385
136,303994,314344
137,307817,318189
138,311627,322552
139,315476,326389
140,319352,330662
141,323211,334686
142,327144,338902
143,331066,342954
144,335012,347265
145,338992,351030
146,343004,355709
147,347063,360012
148,351067,364313
149,355125,368448
150,359228,372768
151,363343,377097
152,367047,381187
153,371310,385817
154,375647,390095
155,380042,394687
156,384339,399278
157,388674,404009
158,393033,408576
159,397405,413124
160,401770,417717
161,406124,422323
162,410573,426831
163,415102,431545
164,419590,436372
165,424129,441127
166,428697,445865
167,433121,450873
168,437612,455385
169,442136,460298
170,446837,465301
171,451360,469914
172,456113,474743
173,460850,479433
174,465644,484658
175,470338,489525
176,475018,494500
177,480559,499606
178,484429,504534
179,489261,509434
180,494101,514345
181,498982,519587
182,503897,524528
183,508865,530003
184,513815,534871
185,518728,540386
186,523657,545766
187,528578,550714
188,533587,555727
189,538651,561111
190,543742,566789
191,548868,571852
192,553973,577219
193,559188,582405
194,564340,588014
195,569426,593367
196,574607,598722
197,579823,603888
198,585108,609470
199,590388,614986
200,595692,620670
