n,Insert (O2),Insert (O3),Heap (O2),Heap (O3)
3,977,973,929,933
4,1497,1455,1560,1560
5,2018,1937,2094,2095
6,2570,2467,2890,2894
7,3115,3116,3791,3798
8,3691,3719,4521,4517
9,4299,4334,5218,5226
10,4936,4925,6144,6145
11,5585,5383,7148,7218
12,6258,5986,8127,8140
13,7131,6849,9063,9098
14,7860,7778,10258,10264
15,8589,8598,11475,11539
16,9333,9410,12410,12413
17,10093,10263,13306,13346
18,10921,11013,14468,14437
19,11784,11978,15697,15725
20,12703,12901,16838,16804
21,13515,13825,17884,17979
22,14361,14678,19349,19311
23,15308,15640,20639,20701
24,16242,16608,21756,21826
25,17236,17647,23079,23116
26,18236,18662,24426,24509
27,19213,19641,25762,25856
28,20268,20886,27066,27204
29,21340,21958,28314,28492
30,22444,23207,29896,29997
31,23880,24526,31273,31370
32,25159,25842,32344,32462
33,26755,27491,33410,33520
34,31551,32489,34932,35040
35,36229,36692,36278,36403
36,37886,38415,39137,39192
37,39368,39994,44272,44418
38,40794,41479,46410,46483
39,42334,43046,48004,48142
40,43884,44558,49542,49621
41,45456,46232,51067,51208
42,47065,47805,52849,53026
43,48685,49640,54472,54677
44,50323,51338,56292,56512
45,52003,53039,57854,58134
46,53732,54727,59720,59964
47,55449,56491,61507,61814
48,57194,58206,63069,63310
49,58970,60083,64587,64899
50,60800,61992,66681,66980
51,62647,63922,68430,68811
52,64515,65767,70605,70927
53,66397,67815,72271,72716
54,68330,69710,74184,74674
55,70242,71779,76210,76688
56,72509,74159,78493,78859
57,74523,76180,80104,80596
58,76244,78127,81861,82388
59,78287,80039,83892,84419
60,80347,82081,85695,86184
61,82457,84222,87647,88254
62,84585,86575,89751,90254
63,86740,88691,91576,92299
64,88908,90909,93127,93599
65,91122,93265,94607,95080
66,93372,95440,96464,96959
67,95623,97892,98215,98821
68,97895,100082,99990,100362
69,100189,102446,101575,101984
70,102512,104859,103822,104260
71,104877,107215,105486,105982
72,107565,110054,107569,107960
73,109942,112424,109220,109638
74,112030,114569,111251,111651
75,114486,117175,112962,113407
76,116931,119786,114978,115406
77,119426,122400,116613,117060
78,121900,124880,118986,119380
79,124430,127490,120965,121383
80,126973,130100,122795,123248
81,129529,132679,124622,125218
82,132173,135356,126807,127389
83,134767,138077,128759,129335
84,138177,141628,130893,131546
85,140967,144451,132797,133517
86,142670,146253,134976,135657
87,145374,148983,137299,138065
88,148090,151840,139340,139998
89,150781,154581,141093,141868
90,152867,157551,143389,144222
91,155670,159955,145577,146419
92,158474,162753,147864,148618
93,161292,165637,150000,150755
94,164620,168963,152397,153063
95,167624,172162,154466,155215
96,171091,175619,156595,157152
97,174022,178888,158544,159137
98,176360,181144,160323,160850
99,179284,184493,162195,162904
100,182223,187393,164239,164913
101,185169,190515,166184,167008
102,188146,193817,168467,169134
103,191178,196721,170619,171425
104,194380,199864,172665,173407
105,197441,203305,174497,175426
106,201171,207068,176990,177884
107,204303,210379,179246,180153
108,206593,212992,181109,181946
109,209746,216286,183370,184201
110,212912,219618,186052,186915
111,216120,222974,188513,189328
112,219372,226321,190560,191276
113,222555,229773,192591,193528
114,226216,233577,194968,195871
115,229695,237104,197125,198120
116,232459,240321,199061,199986
117,235771,243968,201190,202186
118,239136,247307,203875,204725
119,242531,250826,206308,207068
120,245946,254757,208340,209202
121,249343,258419,210407,211342
122,253130,262056,212942,213943
123,256595,265808,215320,216328
124,260712,269936,218302,219175
125,264223,273709,220459,221505
126,266849,276760,222388,223482
127,270415,280254,224854,225923
128,273974,284370,226520,227657
129,277636,288008,228377,229430
130,281697,292170,230266,231421
131,285347,295902,232373,233475
132,289020,299906,234338,235427
133,292742,303837,236469,237573
134,296458,308518,238757,239687
135,300198,311654,241039,242084
136,304012,315795,242931,243996
137,307797,319747,244946,245976
138,311656,323822,247033,248042
139,315467,327919,249250,250246
140,319335,332148,251236,252092
141,323227,336105,253392,254299
142,327118,340167,255774,256631
143,331073,344438,258174,259092
144,335041,348639,260111,260990
145,338961,352801,262289,263172
146,343014,356996,264470,265283
147,347050,361251,266808,267687
148,351090,365640,268723,269623
149,355142,370023,271114,272002
150,359201,374132,273660,274293
151,363397,378454,276188,276801
152,367005,382723,278106,278689
153,371306,387265,280460,281164
154,375665,391914,282788,283264
155,380048,396153,285206,285712
156,384366,400934,287445,287867
157,388735,405419,289695,290292
158,393037,410026,292395,292823
159,397372,414544,294608,295069
160,401746,419138,296482,296902
161,406172,423778,298743,299113
162,410619,428412,300767,301188
163,415069,433017,303111,303562
164,419559,437846,305154,305587
165,424099,442540,307432,307979
166,428619,447309,309683,310154
167,433120,452119,312132,312799
168,437643,456934,314076,314749
169,442177,461646,316362,317067
170,446727,466495,318395,319078
171,451372,471374,320644,321546
172,456062,476147,322790,323654
173,460793,481160,325303,326232
174,465537,485982,328065,328934
175,470345,491081,330743,331589
176,475037,496023,332788,333559
177,479681,501117,335116,335947
178,484423,506107,337255,338008
179,489226,511081,339602,340460
180,494050,516091,341864,342509
181,499011,521222,344269,344990
182,503894,526362,346980,347646
183,508864,531548,349643,350230
184,513799,536656,351894,352360
185,518691,541789,354232,354675
186,523679,547020,356833,357259
187,528573,552266,359397,359684
188,533548,557452,361766,361932
189,538592,562722,364027,364356
190,543677,567920,366821,367149
191,548792,573253,369553,369764
192,553978,578579,371398,371514
193,559148,584173,373929,374030
194,564228,589466,375935,376096
195,569366,594759,378623,378721
196,574524,600326,380511,380569
197,579727,605712,383115,383223
198,585166,611306,385295,385248
199,590421,616825,387975,388088
200,595670,622247,389946,389903
