n,Insert (O2),Insert (O3),Heap (O2),Heap (O3)
3,15,15,17,17
4,23,23,27,28
5,31,32,38,38
6,40,42,54,54
7,49,54,71,71
8,59,65,83,84
9,69,77,99,99
10,80,89,117,117
11,92,101,139,139
12,104,114,156,156
13,117,127,178,177
14,132,140,200,199
15,147,152,226,225
16,162,164,241,240
17,177,183,262,261
18,193,203,284,282
19,208,222,308,308
20,226,244,327,329
21,243,264,354,355
22,260,284,380,381
23,278,305,408,408
24,296,326,429,430
25,315,347,455,456
26,335,370,479,480
27,353,391,509,509
28,370,411,533,532
29,389,432,562,563
30,408,454,593,590
31,428,477,624,622
32,447,499,644,644
33,469,524,666,667
34,491,550,696,694
35,514,575,721,723
36,534,602,750,752
37,557,628,776,778
38,580,654,811,811
39,604,681,842,844
40,628,708,866,869
41,652,736,894,897
42,677,748,926,944
43,678,793,959,962
44,726,822,986,995
45,748,849,1022,1026
46,775,880,1053,1059
47,801,912,1087,1096
48,828,940,1113,1123
49,853,970,1143,1159
50,880,1000,1178,1186
51,907,1033,1209,1223
52,935,1062,1240,1254
53,962,1091,1278,1285
54,987,1122,1311,1324
55,1014,1120,1346,1359
56,1039,1184,1372,1387
57,1062,1210,1404,1421
58,1090,1238,1441,1459
59,1115,1266,1475,1493
60,1144,1298,1509,1526
61,1171,1336,1542,1562
62,1202,1362,1577,1594
63,1226,1389,1615,1635
64,1252,1418,1642,1664
65,1280,1450,1674,1691
66,1299,1474,1706,1725
67,1336,1508,1739,1756
68,1365,1535,1767,1794
69,1395,1566,1798,1822
70,1414,1596,1840,1860
71,1444,1624,1872,1897
72,1480,1656,1905,1924
73,1515,1653,1931,1986
74,1538,1722,1965,1990
75,1570,1748,2001,2025
76,1599,1783,2036,2059
77,1638,1812,2068,2092
78,1597,1844,2106,2127
79,1691,1878,2141,2164
80,1721,1910,2176,2193
81,1754,1941,2200,2229
82,1794,1980,2239,2260
83,1816,2013,2269,2300
84,1836,2042,2305,2332
85,1890,2077,2337,2371
86,1912,2107,2381,2411
87,1937,2143,2418,2455
88,1975,2175,2455,2486
89,2004,2210,2485,2522
90,2052,2244,2520,2561
91,2087,2277,2559,2602
92,2121,2317,2593,2637
93,2153,2329,2631,2673
94,2192,2393,2672,2711
95,2232,2430,2713,2762
96,2258,2457,2741,2790
97,2293,2495,2774,2825
98,2329,2531,2822,2864
99,2369,2572,2860,2902
100,2405,2608,2895,2938
101,2447,2646,2934,2977
102,2478,2686,2971,3018
103,2516,2721,3012,3059
104,2563,2768,3046,3096
105,2599,2806,3080,3133
106,2632,2837,3118,3169
107,2663,2879,3154,3206
108,2714,2917,3194,3247
109,2758,2957,3234,3286
110,2794,2995,3274,3326
111,2832,3037,3315,3372
112,2877,3080,3350,3406
113,2921,3122,3385,3442
114,2958,3159,3421,3477
115,2996,3203,3460,3519
116,3039,3242,3497,3559
117,3079,3288,3539,3602
118,3123,3331,3580,3646
119,3167,3370,3623,3689
120,3217,3416,3656,3724
121,3252,3461,3697,3767
122,3310,3512,3739,3806
123,3353,3558,3778,3849
124,3381,3591,3816,3887
125,3423,3635,3857,3927
126,3464,3677,3901,3971
127,3502,3724,3942,4013
128,3560,3774,3972,4044
129,3608,3818,4006,4079
130,3667,3876,4049,4124
131,3709,3925,4086,4162
132,3754,3971,4124,4204
133,3802,4017,4160,4238
134,3850,4063,4202,4281
135,3896,4111,4241,4323
136,3944,4158,4278,4365
137,3998,4208,4314,4401
138,4040,4255,4352,4438
139,4103,4303,4390,4477
140,4148,4354,4429,4515
141,4200,4403,4469,4558
142,4242,4454,4510,4593
143,4302,4503,4552,4638
144,4342,4551,4589,4678
145,4402,4604,4628,4717
146,4447,4655,4665,4749
147,4500,4708,4700,4791
148,4552,4758,4740,4831
149,4611,4811,4779,4874
150,4659,4862,4818,4915
151,4712,4916,4864,4961
152,4767,4969,4900,5000
153,4821,5022,4938,5040
154,4872,5079,4977,5077
155,4925,5136,5019,5122
156,4985,5189,5054,5158
157,5043,5245,5096,5198
158,5101,5301,5137,5240
159,5158,5361,5180,5284
160,5215,5412,5218,5325
161,5270,5469,5262,5367
162,5312,5520,5300,5406
163,5381,5577,5342,5447
164,5435,5630,5380,5488
165,5494,5683,5420,5530
166,5553,5741,5461,5573
167,5612,5798,5507,5619
168,5671,5858,5541,5654
169,5730,5914,5580,5697
170,5791,5971,5620,5738
171,5849,6029,5660,5783
172,5908,6088,5699,5817
173,5965,6151,5740,5863
174,6025,6210,5785,5904
175,6087,6271,5829,5954
176,6147,6331,5866,5988
177,6207,6391,5904,6033
178,6270,6451,5941,6070
179,6329,6512,5981,6116
180,6392,6568,6023,6154
181,6453,6634,6062,6201
182,6515,6694,6104,6245
183,6577,6756,6153,6292
184,6637,6821,6188,6329
185,6700,6884,6225,6371
186,6765,6946,6263,6411
187,6826,7010,6310,6457
188,6891,7071,6348,6498
189,6955,7134,6393,6540
190,7019,7199,6430,6586
191,7086,7268,6477,6634
192,7152,7330,6512,6673
193,7218,7395,6559,6715
194,7283,7462,6601,6755
195,7348,7528,6641,6800
196,7414,7594,6681,6842
197,7484,7660,6727,6888
198,7549,7728,6773,6930
199,7615,7793,6820,6975
200,7683,7861,6856,7022
