n,Insert (O2),Insert (O3),Heap (O2),Heap (O3)
3,934,932,1120,1124
4,1386,1404,1759,1753
5,1851,1895,2420,2426
6,2313,2373,3283,3302
7,2793,2906,4306,4330
8,3306,3474,5012,5015
9,3830,4034,5784,5777
10,4416,4562,6743,6778
11,4986,5191,7891,7949
12,5570,5795,8865,8900
13,6347,6455,9998,10048
14,6998,7108,11288,11321
15,7676,7752,12665,12795
16,8351,8382,13505,13604
17,9069,9133,14290,14468
18,9883,9842,15524,15660
19,10571,10584,16731,17026
20,11441,11411,17935,18237
21,12214,12228,19175,19454
22,13021,13023,20712,20969
23,13889,13834,22115,22447
24,14784,14615,23386,23697
25,15681,15540,24444,25009
26,16608,16421,26033,26564
27,17543,17348,27562,28368
28,18532,18245,29129,29919
29,19511,19237,30627,31535
30,20563,20257,32597,33375
31,21944,21637,34539,35490
32,23020,22718,35676,36489
33,24358,23888,36842,37606
34,27834,27242,38396,39048
35,33774,33305,39681,40386
36,35355,34947,41171,41809
37,36835,36391,42552,43302
38,38189,37707,45845,46406
39,39665,39015,49122,49789
40,41135,40530,50944,51440
41,42634,41974,52044,52644
42,44157,43473,54037,54558
43,45720,44944,55600,56067
44,47321,46581,57468,57802
45,48937,47960,58870,59382
46,50572,49590,61000,61406
47,52242,50968,62691,63167
48,53916,52861,64386,64712
49,55638,54424,66105,66345
50,57373,56109,68029,68178
51,59151,57813,70115,70247
52,60941,59567,72090,72031
53,62782,61045,74043,74010
54,64638,62981,76309,76423
55,66503,64590,78331,78352
56,68662,66840,80427,80388
57,70623,68507,82380,82392
58,72312,70178,84456,84440
59,74294,71885,86679,86657
60,76312,73715,88918,88796
61,78355,75773,90867,90890
62,80391,77814,93351,93462
63,82501,79454,95672,95667
64,84565,81638,97059,97031
65,86696,83500,98206,98299
66,88844,85634,100138,100160
67,91029,87594,101677,101707
68,93248,89703,103554,103393
69,95414,91590,105021,105047
70,97695,94014,107231,107262
71,99947,95642,108982,108967
72,102524,98482,110978,110800
73,104857,100543,112330,112352
74,106878,102475,114265,114200
75,109291,104843,115905,115894
76,111721,107185,118057,117766
77,114156,109616,119562,119543
78,116591,112117,121805,121962
79,119046,114366,123725,123665
80,121508,116916,125642,125293
81,123985,119047,127031,126999
82,126549,121766,129230,129300
83,129087,124279,131061,131060
84,132368,127587,133463,133294
85,135036,130091,135356,135250
86,136844,132058,137653,137782
87,139456,134130,139753,139595
88,142078,136856,141907,141579
89,144795,138923,143739,143452
90,146836,141985,146201,146051
91,149565,143155,148379,148035
92,152309,145642,150728,150140
93,155493,147740,152697,152315
94,158358,151207,155349,155220
95,161213,154063,157545,157278
96,164596,157742,159808,159302
97,167480,160685,161477,160926
98,169888,162641,163281,163013
99,172792,165476,165154,164673
100,175654,168237,167343,166865
101,178611,171098,169315,168750
102,181547,174048,171728,171658
103,184495,177106,173847,173220
104,187596,180037,175973,175216
105,190610,183065,177740,177160
106,194199,187022,180449,180247
107,197232,189688,182478,181885
108,199690,191979,184658,183840
109,202801,195111,186721,186086
110,205857,198034,189303,189349
111,208999,201168,191643,191090
112,212190,204315,193856,193062
113,215359,207458,195613,194936
114,218971,210923,198257,197577
115,222363,214235,200502,199684
116,225135,217195,202796,201850
117,228407,220577,205078,204221
118,231676,223630,207910,207705
119,235010,226973,210360,209409
120,238448,230342,212711,211710
121,241791,233778,214720,213801
122,245418,237470,217370,216590
123,248840,240430,219760,218880
124,252955,245208,222864,221851
125,256416,248750,225207,224364
126,259054,250580,227670,227417
127,262574,254164,230257,229492
128,266093,257557,231840,231013
129,269716,261243,233330,232567
130,273591,265152,235457,234669
131,277187,268739,237246,236542
132,280822,272421,239281,238397
133,284483,276099,241256,240390
134,288182,279724,243594,243307
135,291895,283460,245760,244872
136,295617,287257,247762,246660
137,299366,290938,249599,248582
138,303132,294751,251745,250884
139,306988,298596,253865,252991
140,310745,302359,256165,255018
141,314582,306185,258154,257313
142,318440,310051,260485,260360
143,322311,313991,262790,262013
144,326243,317978,264652,263736
145,330151,321819,266455,265619
146,334134,325633,268616,267984
147,338125,329769,270719,269790
148,342107,333840,272887,271797
149,346176,337936,275021,273989
150,350217,341963,277468,277210
151,354297,346068,279764,278672
152,358153,350279,282030,280662
153,362371,354456,284193,282822
154,366642,358538,286558,285416
155,370955,362761,289034,287683
156,375229,366893,291406,289868
157,379510,371160,293596,292216
158,383780,375504,296157,295477
159,388054,379794,298619,297182
160,392232,383842,300666,299160
161,396579,388384,302590,301021
162,400963,392732,304878,303705
163,405373,397103,306982,305174
164,409824,401503,309325,307395
165,414319,405905,311439,309506
166,418805,410428,313922,313119
167,423193,414843,316059,314325
168,427707,419332,318369,316398
169,432181,423742,320402,318528
170,436713,428258,322868,321598
171,441288,432873,325294,323300
172,445906,437435,327892,325701
173,450589,442031,330213,328129
174,455307,446708,332819,331939
175,459964,451420,335397,333259
176,464610,456096,337563,335260
177,469282,460717,339715,337315
178,473998,465521,342135,340127
179,478757,470284,344554,342059
180,483488,474920,347024,344437
181,488372,479795,349500,346867
182,493227,484534,352167,350689
183,498109,489324,354649,352027
184,502977,494231,357047,354291
185,507848,499117,359196,356529
186,512776,504107,361760,359504
187,517713,508115,364300,361536
188,522588,513956,366937,363993
189,527658,518943,369378,366510
190,532647,523885,372072,370216
191,537646,528934,374759,371988
192,542803,533932,376650,373875
193,547855,539051,378963,376008
194,552915,544126,381159,378773
195,558035,549196,383531,380520
196,563189,554289,385677,382737
197,568261,559518,387927,384855
198,573561,564773,390229,388739
199,578778,570011,392719,389590
200,584035,575197,394917,391630
