n,Heap,Heap (STL),Heap (STL, opt),Heap (STL, naive)
3,177,218,217,271
4,290,424,422,393
5,404,638,625,654
6,561,826,806,764
7,732,875,857,985
8,857,1171,1154,1156
9,1048,1506,1514,1637
10,1197,1781,1744,1627
11,1419,1897,1858,2052
12,1576,2217,2163,2141
13,1810,2252,2217,2528
14,2023,2501,2441,2507
15,2269,2576,2532,2821
16,2415,2954,2898,3017
17,2636,3340,3284,3763
18,2875,3728,3654,3649
19,3125,4098,4022,4333
20,3332,4496,4415,4405
21,3699,4784,4829,5179
22,3895,5243,5136,5005
23,4196,5291,5210,5699
24,4482,5786,5787,5902
25,4674,5890,5771,6553
26,4905,6401,6175,6362
27,5232,6466,6251,6951
28,5463,6814,6627,6919
29,5854,7016,6885,7473
30,6172,7285,7198,7495
31,6450,7454,7279,7785
32,6734,7876,7765,8283
