n,Heap,Heap (STL)
3,17,21
4,27,43
5,37,64
6,53,83
7,70,89
8,81,120
9,95,153
10,113,183
11,132,196
12,150,228
13,171,241
14,194,262
15,220,270
16,232,306
17,255,348
18,270,379
19,293,418
20,315,461
21,341,491
22,363,532
23,383,526
24,400,570
25,425,576
26,509,617
27,476,621
28,503,660
29,528,672
30,558,699
31,590,716
32,608,760
33,633,805
34,658,849
35,685,894
36,710,972
37,733,985
38,763,1024
39,793,1071
40,816,1117
41,842,1165
42,871,1207
43,904,1234
44,995,1289
45,956,1298
46,986,1346
47,1016,1352
48,1041,1419
49,1075,1424
50,1160,1475
51,1128,1479
52,1158,1535
53,1188,1542
54,1228,1594
55,1259,1599
56,1291,1657
57,1321,1669
58,1359,1720
59,1391,1725
60,1427,1829
61,1462,1794
62,1499,1832
63,1535,1852
64,1558,1899
65,1592,1958
66,1620,2005
67,1651,2054
68,1674,2100
69,1706,2149
70,1778,2218
71,1805,2274
72,1811,2368
73,1824,2379
74,1891,2427
75,1920,2553
76,1921,2496
77,1954,2557
78,1987,2663
79,2012,2648
80,2042,2705
81,2121,2771
82,2110,2818
83,2149,2870
84,2171,2989
85,2208,2952
86,2240,3015
87,2278,3051
88,2311,3103
89,2337,3109
90,2426,3183
91,2410,3190
92,2452,3254
93,2532,3315
94,2535,3343
95,2564,3353
96,2586,3404
97,2621,3419
98,2704,3493
99,2694,3490
100,2718,3672
