n,Heap,Heap (STL)
3,1104,1234
4,1816,2572
5,2417,3573
6,3364,4733
7,4414,4817
8,5196,6794
9,5937,8365
10,6985,10066
11,8123,10433
12,9236,12257
13,10325,12330
14,11709,13546
15,13218,13706
16,14144,15575
17,15120,17623
18,16353,19849
19,17699,21265
20,18932,23851
21,20199,24344
22,21724,27032
23,23374,26028
24,24656,29154
25,26091,28261
26,27598,31019
27,29227,29967
28,30750,32457
29,32300,31963
30,34011,33915
31,35876,33572
32,37056,36280
33,38108,38113
34,39758,41050
35,41381,42759
36,46470,48558
37,49811,51750
38,51919,54858
39,53848,56456
40,55548,59875
41,57218,61158
42,59251,64721
43,61167,64460
44,63072,68486
45,64953,67500
46,67052,71369
47,69179,69984
48,70811,74100
49,72508,72993
50,74774,76726
51,76770,75503
52,78915,79318
53,80986,78356
54,83193,81868
55,85668,80801
56,87876,84539
57,89771,83915
58,91917,87353
59,94337,86564
60,96278,89779
61,98689,89648
62,101044,92413
63,103328,91821
64,104996,95163
65,106571,97631
66,108342,100818
67,110104,102449
68,111925,105870
69,113843,107640
70,116184,110947
71,118074,112530
72,119909,116160
73,121755,118331
74,124305,121908
75,126174,123609
76,128037,127652
77,130271,129298
78,132968,133559
79,135247,134404
80,136947,139642
81,139065,140188
82,141788,145502
83,144101,144954
84,145547,150821
85,148276,149795
86,151259,155563
87,153961,153672
88,155702,159922
89,158238,157796
90,160877,163977
91,163502,161162
92,165386,167501
93,168393,164753
94,171515,170771
95,173848,167714
96,175210,174078
97,177411,171460
98,179610,177491
99,181798,174710
100,183617,180875
101,186325,178245
102,189070,183983
103,191508,181221
104,193588,187290
105,196171,184869
106,198464,190613
107,200956,188135
108,203093,193896
109,205973,191711
110,209089,197028
111,211908,194708
112,213943,200463
113,216560,198735
114,218912,203845
115,221284,201998
116,223223,207216
117,226042,205625
118,229385,210280
119,231943,208914
120,233991,213550
121,236614,212798
122,240087,216810
123,242751,216139
124,245098,219805
125,247827,219865
126,250824,222692
127,253945,222253
128,255462,225880
129,257362,229211
130,259509,233600
131,261701,234371
132,263306,239315
133,266016,240137
134,268478,245031
135,270899,245402
136,272487,250959
137,274930,251471
138,277442,257048
139,279669,256932
140,281315,263209
141,284099,263064
142,286913,269490
143,289329,268774
144,290796,275835
145,293270,275456
146,295896,282598
147,297930,281326
148,299516,289708
149,302793,288263
150,305682,296176
151,308079,293785
152,309756,302449
153,312491,300122
154,315373,309050
155,317693,305824
156,319558,315138
157,322802,311727
158,325861,320909
159,328128,316804
160,329854,327025
161,332238,323272
162,334826,333505
163,336908,328670
164,338836,339433
165,341788,334672
166,344812,345384
167,347317,339899
168,349247,351076
169,352066,345897
170,355007,356594
171,357412,350735
172,359525,361734
173,362761,355995
174,366043,366576
175,368830,360480
176,370666,371447
177,373366,365811
178,376221,376278
179,378575,370174
180,380642,380825
181,383746,374726
182,387183,384862
183,389925,378604
184,391942,389069
185,394816,383358
186,398179,393281
187,400755,387327
188,403110,397378
189,406317,391473
190,409711,401265
191,412593,395059
192,414750,404998
193,416989,400625
194,419506,409680
195,422021,404943
196,424437,414114
197,426821,409625
198,429436,418095
199,432067,413162
200,434355,422016
