n,Heap,Tournament Tree
3,18,25
4,27,42
5,37,62
6,52,78
7,71,102
8,81,118
9,93,146
10,110,171
11,133,200
12,148,212
13,170,242
14,195,267
15,223,287
16,236,308
17,250,342
18,269,375
19,292,407
20,313,433
21,334,469
22,364,494
23,387,520
24,408,541
25,432,578
26,460,608
27,490,704
28,519,664
29,548,693
30,580,718
31,614,745
32,630,771
33,646,812
34,672,846
35,695,884
36,719,918
37,740,1068
38,771,989
39,802,1024
40,827,1055
41,854,1095
42,883,1133
43,917,1167
44,952,1205
45,981,1231
46,1024,1261
47,1054,1290
48,1079,1317
49,1102,1357
50,1134,1396
51,1174,1430
52,1208,1464
53,1242,1613
54,1284,1531
55,1325,1564
56,1359,1606
57,1389,1632
58,1433,1672
59,1478,1702
60,1521,1744
61,1559,1766
62,1600,1803
63,1652,1838
64,1669,1871
65,1690,1910
66,1715,1947
67,1807,1990
68,1771,2028
69,1800,2071
70,1830,2114
71,1868,2156
72,1890,2198
73,1915,2241
74,1947,2389
75,2008,2357
76,2046,2373
77,2051,2400
78,2096,2441
79,2134,2483
80,2182,2554
81,2175,2559
82,2213,2601
83,2254,2658
84,2319,2715
85,2338,2731
86,2374,2783
87,2426,2835
88,2479,2857
89,2515,2899
90,2539,2936
91,2578,2988
92,2627,3028
93,2661,3072
94,2703,3088
95,2784,3159
96,2808,3193
97,2837,3195
98,2889,3287
99,2891,3324
100,2929,3366
101,2962,3420
102,3012,3454
103,3158,3492
104,3092,3536
105,3231,3578
106,3168,3623
107,3324,3667
108,3273,3705
109,3383,3756
110,3360,3795
111,3405,3904
112,3439,3870
113,3472,4011
114,3514,3977
115,3557,4099
116,3602,4052
117,3645,4089
118,3706,4127
119,3754,4168
120,3752,4161
121,3807,4211
122,3840,4248
123,3888,4284
124,3939,4331
125,3988,4429
126,4038,4417
127,4088,4517
128,4119,4487
129,4213,4542
130,4180,4586
131,4209,4638
132,4243,4689
133,4272,4738
134,4313,4788
135,4352,4842
136,4385,4880
137,4413,4971
138,4449,5017
139,4553,5091
140,4580,5142
141,4613,5203
142,4657,5241
143,4705,5267
144,4694,5294
145,4713,5350
146,4737,5366
147,4784,5409
148,4810,5454
149,4909,5570
150,4923,5563
151,4943,5603
152,4993,5663
153,5007,5730
154,5076,5768
155,5088,5827
156,5152,5857
157,5177,5888
158,5278,5957
159,5259,5954
160,5299,6009
161,5357,6062
162,5357,6092
163,5415,6149
164,5445,6254
165,5568,6342
166,5582,6363
167,5624,6406
168,5669,6455
169,5704,6501
170,5750,6548
171,5797,6597
172,5835,6636
173,5916,6682
174,5937,6726
175,6018,6773
176,6030,6812
177,6066,6863
178,6108,6915
179,6160,6963
180,6251,7031
181,6255,7081
182,6300,7095
183,6356,7144
184,6393,7185
185,6439,7236
186,6488,7285
187,6538,7344
188,6609,7376
189,6629,7418
190,6697,7493
191,6743,7526
192,6809,7553
193,6813,7555
194,6795,7638
195,6808,7701
196,6853,7751
197,6880,7689
198,6948,7840
199,6963,7885
200,7006,7829
