n,Heap,Tournament Tree
3,1,2
4,2,4
5,3,6
6,5,7
7,7,10
8,8,11
9,9,14
10,11,17
11,12,19
12,14,20
13,16,23
14,18,25
15,21,28
16,22,30
17,23,33
18,25,36
19,27,39
20,29,42
21,31,45
22,33,48
23,36,50
24,38,52
25,40,56
26,43,59
27,46,62
28,48,64
29,51,67
30,54,70
31,57,72
32,59,75
33,60,80
34,62,83
35,64,87
36,66,91
37,68,94
38,71,96
39,73,99
40,76,102
41,78,106
42,81,111
43,83,114
44,87,117
45,89,120
46,92,121
47,96,124
48,97,129
49,99,131
50,104,134
51,106,138
52,110,141
53,113,144
54,117,148
55,121,153
56,123,154
57,127,157
58,130,161
59,140,169
60,140,169
61,142,173
62,148,176
63,151,177
64,151,181
65,155,185
66,157,190
67,161,195
68,163,199
69,166,202
70,170,210
71,172,210
72,175,214
73,180,218
74,184,221
75,190,227
76,184,229
77,187,234
78,192,236
79,194,240
80,196,244
81,199,250
82,204,252
83,206,256
84,209,260
85,212,264
86,217,268
87,222,272
88,223,276
89,320,279
90,230,284
91,239,288
92,239,291
93,242,295
94,247,298
95,251,302
96,254,306
97,255,310
98,259,314
99,262,320
100,266,323
101,268,327
102,273,332
103,277,335
104,281,339
105,284,344
106,288,348
107,293,352
108,296,356
109,301,361
110,305,365
111,309,369
112,312,372
113,315,440
114,320,380
115,325,385
116,328,392
117,332,393
118,337,397
119,343,401
120,346,404
121,350,409
122,354,413
123,359,416
124,363,421
125,367,425
126,373,429
127,377,433
128,380,437
129,383,443
130,386,447
131,389,452
132,394,456
133,424,462
134,399,467
135,402,473
136,405,476
137,408,481
138,412,483
139,417,490
140,418,495
141,422,499
142,426,505
143,429,508
144,433,513
145,436,519
146,438,523
147,442,528
148,446,533
149,453,535
150,454,542
151,457,546
152,461,550
153,464,555
154,468,559
155,472,564
156,479,578
157,484,581
158,494,591
159,502,592
160,503,597
161,509,609
162,500,601
163,502,600
164,507,605
165,509,610
166,514,614
167,518,619
168,526,625
169,525,628
170,530,635
171,535,639
172,542,643
173,550,650
174,549,656
175,556,660
176,561,661
177,561,666
178,569,679
179,576,682
180,585,686
181,578,685
182,583,687
183,588,694
184,591,697
185,595,700
186,600,705
187,604,710
188,610,719
189,622,723
190,628,726
191,625,733
192,632,735
193,632,737
194,634,740
195,638,745
196,644,750
197,646,755
198,651,761
199,661,778
200,669,783
201,675,789
202,676,778
203,676,785
204,676,789
205,679,794
206,684,796
207,691,808
208,692,806
209,695,810
210,702,825
211,704,820
212,710,825
213,714,829
214,720,834
215,725,838
216,728,843
217,733,846
218,737,852
219,743,861
220,751,860
221,765,864
222,758,868
223,763,874
224,770,876
225,769,882
226,774,886
227,777,891
228,782,895
229,786,899
230,799,904
231,796,912
232,802,914
233,809,918
234,810,925
235,817,927
236,823,932
237,827,937
238,832,939
239,865,946
240,842,950
241,847,954
242,851,958
243,864,979
244,881,985
245,888,1000
246,901,994
247,878,985
248,893,988
249,886,991
250,891,996
251,899,1000
252,902,1004
253,907,1009
254,913,1013
255,918,1019
256,949,1023
257,926,1030
258,941,1042
259,935,1039
260,937,1044
261,939,1049
262,945,1053
263,949,1060
264,959,1062
265,955,1068
266,960,1073
267,964,1081
268,1020,1115
269,985,1090
270,977,1093
271,981,1167
272,984,1104
273,988,1109
274,993,1115
275,998,1120
276,1006,1138
277,1018,1140
278,1023,1148
279,1148,1173
280,1029,1152
281,1021,1149
282,1025,1152
283,1031,1158
284,1044,1163
285,1038,1168
286,1044,1244
287,1049,1176
288,1051,1180
289,1056,1187
290,1059,1190
291,1078,1230
292,1067,1201
293,1072,1207
294,1075,1211
295,1080,1217
296,1088,1221
297,1089,1242
298,1104,1250
299,1127,1263
300,1108,1262
301,1120,1257
302,1144,1272
303,1118,1255
304,1129,1285
305,1133,1272
306,1145,1281
307,1154,1292
308,1156,1309
309,1143,1287
310,1147,1290
311,1156,1345
312,1225,1300
313,1162,1305
314,1168,1318
315,1195,1338
316,1194,1330
317,1201,1333
318,1188,1358
319,1199,1347
320,1196,1339
321,1200,1343
322,1213,1369
323,1235,1382
324,1221,1383
325,1232,1372
326,1256,1403
327,1227,1374
328,1231,1382
329,1238,1385
330,1240,1389
331,1246,1398
332,1239,1395
333,1244,1402
334,1253,1409
335,1223,1400
336,1249,1415
337,1229,1403
338,1208,1406
339,1212,1408
340,1204,1403
341,1196,1408
342,1202,1412
343,1202,1414
344,1207,1417
345,1212,1428
346,1221,1427
347,1225,1435
348,1242,1439
349,1289,1446
350,1269,1453
351,1294,1480
352,1304,1482
353,1322,1509
354,1320,1495
355,1330,1510
356,1336,1496
357,1366,1520
358,1357,1522
359,1372,1541
360,1375,1528
361,1366,1552
362,1384,1537
363,1390,1534
364,1396,1565
365,1405,1561
366,1407,1573
367,1387,1574
368,1415,1585
369,1434,1573
370,1396,1574
371,1421,1583
372,1442,1615
373,1412,1594
374,1431,1599
375,1429,1606
376,1455,1615
377,1438,1604
378,1443,1609
379,1445,1604
380,1451,1610
381,1457,1615
382,1463,1620
383,1467,1623
384,1473,1629
385,1482,1641
386,1502,1649
387,1494,1653
388,1491,1651
389,1536,1654
390,1502,1663
391,1512,1681
392,1512,1690
393,1517,1694
394,1555,1716
395,1557,1722
396,1538,1707
397,1559,1716
398,1561,1721
399,1560,1715
400,1561,1784
401,1568,1732
402,1572,1731
403,1588,1737
404,1593,1752
405,1610,1760
406,1615,1771
407,1604,1755
408,1599,1763
409,1614,1771
410,1621,1772
411,1623,1776
412,1639,1783
413,1642,1791
414,1645,1855
415,1670,1806
416,1649,1804
417,1650,1801
418,1654,1808
419,1666,1816
420,1675,1827
421,1675,1827
422,1693,1837
423,1689,1857
424,1696,1852
425,1697,1845
426,1702,1856
427,1705,1863
428,1727,1876
429,1746,1900
430,1753,1889
431,1737,1874
432,1743,1890
433,1740,1878
434,1743,1886
435,1756,1893
436,1758,1905
437,1763,1912
438,1767,1913
439,1820,1955
440,1792,1937
441,1812,1940
442,1804,1939
443,1806,1934
444,1825,1962
445,1817,2000
446,1831,1958
447,1831,1962
448,1849,1956
449,1834,1994
450,1865,1986
451,1849,1982
452,1867,1988
453,1854,1984
454,1861,1986
455,1864,1990
456,1881,1995
457,1881,2036
458,1891,2005
459,1905,2032
460,1908,2029
461,1914,2036
462,1920,2040
463,1924,2054
464,1935,2051
465,1936,2044
466,1947,2069
467,1950,2063
468,1958,2064
469,1950,2074
470,1968,2138
471,1955,2074
472,1966,2082
473,1984,2097
474,1990,2100
475,2016,2139
476,2028,2113
477,2010,2107
478,2007,2125
479,2031,2154
480,2044,2149
481,2049,2152
482,2057,2166
483,2040,2146
484,2043,2163
485,2043,2144
486,2047,2149
487,2052,2148
488,2063,2156
489,2082,2174
490,2081,2168
491,2079,2174
492,2091,2180
493,2095,2183
494,2112,2186
495,2104,2192
496,2110,2198
497,2118,2209
498,2119,2205
499,2130,2213
500,2136,2218
