n,Heap,Heap (STL),Tournament Tree,Tournament Tree 2
3,185,247,249,288
4,303,498,428,476
5,421,712,603,672
6,588,946,768,812
7,771,986,1022,1071
8,915,1385,1201,1238
9,1071,1683,1486,1531
10,1258,2039,1709,1756
11,1473,2089,1938,1979
12,1660,2450,2073,2097
13,1867,2487,2473,2440
14,2093,2705,2675,2639
15,2349,2755,2881,2844
16,2520,3182,3092,3026
17,2719,3561,3432,3383
18,2957,3983,3803,3721
19,3197,4313,4206,4057
20,3422,4792,4443,4363
21,3670,4934,4778,4650
22,3946,5415,4998,4862
23,4223,5302,5195,5076
24,4441,5813,5383,5245
25,4697,5741,5767,5597
26,4969,6199,6067,5891
27,5236,6126,6325,6161
28,5504,6523,6556,6388
29,5755,6534,6825,6644
30,6067,6820,7063,6879
31,6355,6854,7313,7141
32,6576,7387,7566,7340
33,6786,7806,7947,7773
34,7091,8297,8343,8164
35,7361,8683,8735,8601
36,7688,9866,9146,10187
37,8916,10530,9703,10598
38,9376,11128,10889,10983
39,9713,11510,11340,11358
40,10036,12125,11713,11714
41,10355,12459,12110,12159
42,10724,13055,12482,12540
43,11044,13147,12797,12899
44,11410,13803,13094,13239
45,11739,13744,13392,13541
46,12120,14362,13684,13836
47,12478,14234,13957,14137
48,12787,14896,14226,14423
49,13108,14859,14643,14831
50,13531,15455,15040,15178
51,13889,15344,15407,15544
52,14306,16009,15768,15886
53,14655,15937,16118,16228
54,15033,16550,16449,16543
55,15446,16458,16747,16867
56,15867,17108,17057,17150
57,16213,17063,17404,17554
58,16584,17685,17758,17881
59,16990,17612,18078,18207
60,17350,18207,18416,18514
61,17739,18212,18719,18855
62,18156,18742,19057,19151
63,18525,18771,19417,19486
64,18833,19465,19717,19763
65,19148,19799,20215,20277
66,19520,20557,20656,20758
67,19858,20828,21118,21245
68,20228,21621,21586,21683
69,20550,21876,22055,22149
70,21015,22680,22553,22612
71,21339,22893,23017,23045
72,21737,23740,23481,23487
73,22075,24032,23988,23960
74,22505,24887,24485,24419
75,22827,25118,24958,24858
76,23258,26063,25431,25277
77,23572,26430,25903,25706
78,24089,27249,26368,26124
79,24462,27537,26819,26504
80,24830,28451,27252,26913
81,25206,28745,27759,27382
82,25702,29615,28250,27846
83,26109,29689,28708,28324
84,26475,30683,29147,28709
85,26881,30679,29566,29137
86,27370,31616,29964,29547
87,27825,31406,30336,29924
88,28259,32459,30696,30303
89,28642,32194,31070,30727
90,29078,33215,31446,31156
91,29506,32837,31801,31522
92,29986,33953,32143,31899
93,30423,33548,32493,32286
94,30918,34604,32836,32662
95,31351,34139,33165,33011
96,31722,35300,33507,33362
97,32128,34902,33937,33784
98,32569,36006,34336,34213
99,32963,35522,34737,34610
100,33315,36685,35139,34964
