n,Heap,Tournament Tree,Tournament Tree 2
3,18,23,23
4,27,40,38
5,38,56,55
6,53,71,68
7,71,95,89
8,83,114,104
9,93,138,129
10,110,159,149
11,132,181,169
12,148,190,180
13,170,232,210
14,195,250,227
15,224,275,245
16,236,292,261
17,250,327,293
18,270,360,322
19,294,393,351
20,314,416,374
21,335,446,402
22,362,465,420
23,390,484,436
24,411,500,452
25,433,542,481
26,463,576,508
27,491,602,529
28,519,624,554
29,552,658,572
30,582,675,590
31,615,697,610
32,634,720,630
33,649,762,665
34,677,801,698
35,700,837,731
36,722,874,765
37,750,917,799
38,778,954,829
39,808,986,858
40,831,1125,883
41,855,1055,918
42,885,1087,949
43,921,1126,976
44,960,1155,999
45,989,1184,1127
46,1028,1213,1045
47,1061,1226,1069
48,1103,1263,1099
49,1107,1285,1117
50,1159,1333,1147
51,1179,1360,1175
52,1217,1410,1196
53,1264,1430,1235
54,1289,1444,1359
55,1335,1478,1270
56,1366,1494,1299
57,1395,1529,1322
58,1555,1560,1354
59,1501,1603,1384
60,1544,1626,1403
61,1571,1648,1417
62,1601,1737,1437
63,1645,1697,1463
64,1667,1727,1486
