n,Heap,Heap (STL),Tournament Tree,Tournament Tree 2
3,186,247,249,289
4,303,498,428,476
5,422,712,602,671
6,587,948,767,810
7,772,984,1021,1070
8,915,1382,1201,1237
9,1071,1684,1485,1531
10,1257,2039,1707,1754
11,1473,2089,1937,1978
12,1661,2449,2073,2099
13,1866,2467,2472,2439
14,2090,2706,2674,2639
15,2349,2757,2890,2846
16,2519,3189,3083,3025
17,2717,3566,3429,3380
18,2950,3980,3803,3719
19,3198,4319,4189,4060
20,3442,4792,4441,4336
21,3662,4917,4776,4655
22,3923,5407,4975,4882
23,4221,5296,5206,5073
24,4439,5813,5383,5244
25,4693,5738,5766,5596
26,4970,6197,6062,5891
27,5237,6125,6321,6150
28,5500,6508,6549,6386
29,5746,6493,6819,6643
30,6066,6837,7062,6880
31,6362,6856,7315,7125
32,6572,7395,7545,7340
33,6785,7757,7949,7774
34,7096,8320,8340,8168
35,7365,8710,8742,8901
36,7780,9854,9144,10051
37,8870,10520,9735,10588
38,9381,11113,10911,10969
39,9710,11537,11333,11348
40,10022,12116,11703,11708
41,10335,12428,12105,12147
42,10698,13042,12469,12529
43,11026,13117,12789,12885
44,11397,13779,13080,13232
45,11722,13717,13383,13528
46,12105,14318,13666,13818
47,12457,14178,13935,14123
48,12765,14861,14200,14407
49,13089,14808,14630,14806
50,13517,15415,15030,15172
51,13881,15337,15390,15529
52,14284,15980,15759,15867
53,14635,15925,16100,16215
54,15013,16516,16419,16529
55,15421,16459,16730,16854
56,15845,17084,17044,17142
57,16194,17041,17388,17520
58,16566,17672,17748,17867
59,16967,17604,18080,18199
60,17325,18190,18378,18502
61,17718,18219,18704,18844
62,18141,18709,19045,19135
63,18503,18754,19395,19453
64,18808,19494,19686,19759
65,19120,19807,20195,20269
66,19492,20556,20659,20750
67,19836,20848,21096,21232
68,20212,21608,21559,21673
69,20547,21928,22030,22143
70,20978,22652,22505,22607
71,21307,22892,22988,23030
72,21676,23760,23460,23460
73,22019,24039,23963,23936
74,22476,24901,24466,24408
75,22798,25152,24914,24824
76,23235,26072,25384,25248
77,23542,26400,25844,25678
78,24073,27233,26305,26091
79,24452,27439,26777,26497
80,24785,28437,27223,26878
81,25155,28698,27717,27359
82,25609,29586,28208,27813
83,26006,29667,28630,28280
84,26415,30654,29069,28673
85,26816,30586,29481,29107
86,27305,31584,29886,29511
87,27772,31369,30309,29903
88,28220,32423,30663,30278
89,28613,32224,31042,30713
90,29031,33211,31410,31127
91,29478,32840,31725,31488
92,29928,33915,32073,31878
93,30365,33550,32412,32263
94,30901,34572,32760,32641
95,31337,34153,33124,33008
96,31665,35268,33470,33352
97,32059,34852,33898,33771
98,32443,35956,34321,34178
99,32838,35512,34743,34570
100,33250,36642,35139,34940
101,33684,36216,35532,35344
102,34145,37282,35919,36354
103,34585,36856,36309,36092
104,34979,37946,36691,36448
105,35386,37564,37088,36880
106,35832,38644,37467,37291
107,36292,38211,37846,37653
108,36680,39320,38204,38019
109,37109,38896,38568,38401
110,37644,39961,38930,38783
111,38119,39433,39281,39155
112,38536,40658,39634,39505
113,38991,40233,40052,39909
114,39438,41350,40463,40315
115,39860,40917,40849,40719
116,40325,42028,41249,41116
117,40778,41604,41642,41508
118,41301,42684,42024,41874
119,41783,42195,42394,42211
120,42131,43377,42767,42539
121,42547,42929,43165,42941
122,43074,44067,43559,43336
123,43536,43550,43942,43698
124,44054,44707,44325,44047
125,44510,44349,44699,44433
126,44983,45378,45091,44814
127,45498,45006,45448,45154
128,45909,46137,45777,45531
129,46285,46128,46360,46047
130,46629,47418,46881,46515
131,47032,47266,47394,47003
132,47421,48614,47928,47489
133,47865,48477,48423,47968
134,48316,49801,48940,48414
135,48787,49598,49430,48874
136,49121,51023,49944,49323
137,49551,50826,50465,49807
138,49951,52267,50991,50293
139,50380,52091,51501,50740
140,50709,53500,52024,51198
141,51170,53232,52523,51633
142,51625,54777,53019,52092
143,52089,54526,53523,52519
144,52404,56027,54030,52960
145,52916,55866,54582,53433
146,53334,57402,55136,53919
147,53772,57030,55680,54372
148,54120,58739,56223,54856
149,54610,58383,56738,55279
150,55098,60131,57264,55730
151,55565,59708,57770,56147
152,55912,61482,58294,56596
153,56378,61078,58815,57056
154,56862,62862,59345,57513
155,57293,62395,59861,57955
156,57719,64258,60375,58417
157,58177,63628,60877,58830
158,58704,65529,61385,59272
159,59119,64865,61884,59683
160,59508,66900,62396,60105
161,59965,66315,62943,60588
162,60365,68302,63498,61081
163,60798,67580,64040,61542
164,61192,69417,64578,62004
165,61680,68888,65098,62452
166,62134,70709,65628,62915
167,62618,69888,66128,63335
168,63042,71784,66617,63771
169,63499,71085,67114,64229
170,63925,72847,67608,64703
171,64388,71982,68094,65114
172,64820,73887,68560,65571
173,65311,73053,69020,65997
174,65884,74822,69476,66411
175,66371,73868,69910,66827
176,66790,75783,70355,67245
177,67259,74916,70838,67716
178,67727,76721,71322,68163
179,68164,75687,71779,68603
180,68598,77566,72239,69046
181,69097,76518,72703,69474
182,69652,78405,73162,69896
183,70142,77264,73582,70307
184,70583,79194,74017,70719
185,71055,78125,74461,71174
186,71613,79997,74919,71626
187,72109,78817,75345,72033
188,72596,80792,75776,72484
189,73094,79641,76211,72896
190,73671,81539,76654,73314
191,74181,80298,77068,73727
192,74589,82284,77496,74133
193,75037,81171,77980,74574
194,75531,83156,78475,75048
195,75989,81912,78953,75467
196,76436,83927,79431,75908
197,76901,82659,79902,76332
198,77337,84695,80383,76755
199,77837,83355,80846,77159
200,78277,85466,81330,77586
