n,Heap,Heap (STL),Tournament Tree,Tournament Tree 2
3,185,221,227,229
4,277,362,398,384
5,380,515,553,538
6,532,716,696,670
7,709,912,943,898
8,811,1066,1118,1026
9,932,1261,1374,1272
10,1098,1509,1565,1547
11,1299,1765,1769,1671
12,1529,2005,1882,1774
13,1669,2258,2257,2074
14,1889,2553,2441,2251
15,2148,2838,2675,2420
16,2280,2987,2855,2574
17,2448,3209,3198,2903
18,2615,3537,3592,3191
19,2844,3789,3851,3508
20,3085,4087,4118,3753
21,3298,4337,4450,4036
22,3551,4718,4696,4221
23,3871,5028,4906,4415
24,4107,5341,5037,4553
25,4358,5621,5470,4870
26,4626,6057,5795,5111
27,4991,6360,6137,5366
28,5221,6713,6331,5545
29,5547,7009,6615,5758
30,5898,7456,6874,5940
31,6273,7775,7139,6181
32,6422,8173,7306,6363
33,6734,8223,7694,6698
34,6938,8660,8125,7063
35,7227,8942,8489,7521
36,7353,9325,8849,7734
37,7622,9671,9382,8093
38,7967,10034,9599,8527
39,8275,10383,9964,8789
40,8503,10815,10324,9026
41,8749,10967,10695,9439
42,9160,11415,11124,9715
43,9391,11772,11505,9907
44,9862,12144,11722,10132
45,10076,12732,11981,10388
46,10430,12997,12225,10601
47,10836,13197,12427,10815
48,11063,13730,12625,11044
49,11312,13770,13056,11315
50,11640,14406,13419,11603
51,12015,14723,13677,11917
52,12359,15122,14018,12202
53,12711,15575,14332,12406
54,13207,15933,14592,12648
55,13644,16144,14893,12968
56,13932,16802,15223,13124
57,14254,17070,15483,13393
58,14643,17551,15779,13627
59,15176,17904,16184,13879
60,15545,18482,16409,14125
61,15935,18603,16651,14376
62,16358,19210,16963,14641
63,16837,19562,17246,14870
64,17012,20035,17463,15101
65,17260,20132,17920,15497
66,17548,20656,18409,15896
67,17851,20855,18910,16266
68,18213,21495,19246,16627
69,18552,21690,19796,17073
70,18912,22155,20174,17412
71,19110,22361,20566,17815
72,19442,22903,20943,18162
73,19581,23144,21359,18499
74,19935,23730,21829,18857
75,20294,23741,22232,19260
76,20633,24392,22509,19527
77,20888,24491,23029,19880
78,21461,25488,23506,20365
79,21899,25330,23963,20702
80,22175,26123,24267,21034
81,22487,26553,24662,21390
82,22788,27270,25117,21777
83,23094,27087,25497,22047
84,23509,27654,25963,22465
85,23928,28153,26297,22773
86,24357,28407,26609,23001
87,24788,28848,27143,23334
88,25207,29326,27360,23636
89,25496,29826,27627,23889
90,25955,30302,27975,24088
91,26264,30524,28122,24358
92,26636,31172,28386,24727
93,27205,31508,28841,24972
94,27777,32205,29239,25155
95,27970,32310,29283,25389
96,28122,32500,29418,25599
97,28344,33137,29814,25790
98,28694,33320,30211,26161
99,29066,33868,30655,26479
100,29439,34358,30834,26779
