n,Heap,Tournament Tree 2
3,219,271
4,362,441
5,480,674
6,672,820
7,883,1048
8,1042,1188
9,1193,1549
10,1406,1805
11,1631,2045
12,1854,2221
13,2082,2506
14,2366,2717
15,2660,2916
16,2856,3076
17,3039,3513
18,3292,3881
19,3554,4203
20,3813,4490
21,4051,4792
22,4374,5058
23,4696,5306
24,4950,5544
25,5242,5880
26,5564,6186
27,5891,6476
28,6222,6746
29,6531,6872
30,6899,7119
31,7267,7368
32,7495,7604
33,7686,8000
34,8023,8393
35,8320,9038
36,9204,10536
37,10067,10958
38,10501,11351
39,10888,11722
40,11246,12106
41,11575,12457
42,11999,12828
43,12383,13179
44,12819,13522
45,13175,13866
46,13600,14209
47,14025,14536
48,14363,14860
49,14714,15244
50,15217,15636
51,15615,16013
52,16097,16391
53,16475,16729
54,16918,17094
55,17421,17447
56,17937,17584
57,18314,17926
58,18767,18274
59,19283,18608
60,19708,18942
61,20159,19289
62,20641,19615
63,21113,19929
64,21471,20271
65,21762,20757
66,22124,21194
67,22480,21633
68,22853,22443
69,23199,22859
70,23702,23275
71,24099,23690
72,24490,24114
73,24842,24530
74,25377,24949
75,25769,25342
76,26245,25763
77,26617,26165
78,27146,26570
79,27596,26942
80,27974,27337
81,28348,27750
82,28899,28174
83,29379,28561
84,29803,28972
85,30264,29362
86,30814,29769
87,31364,30142
88,31784,30537
89,32228,30933
90,32790,31339
91,33296,31724
92,33802,32119
93,34293,32499
94,34943,32899
95,35456,33289
96,35787,33667
97,36166,34088
98,36645,34516
99,37061,34936
100,37519,35344
101,37997,35756
102,38622,36181
103,39123,36617
104,39493,37003
105,39964,37414
106,40485,37828
107,41013,38229
108,41487,38640
109,42029,39054
110,42768,39448
111,43295,39836
112,43639,40238
113,44115,40660
114,44654,41059
115,45136,41192
116,45614,41904
117,46145,42307
118,46820,42269
119,47390,42655
120,47816,43042
121,48337,43437
122,48953,43862
123,49542,44217
124,50206,44628
125,50756,45016
126,51277,45420
127,51889,45797
128,52240,46127
129,52579,46646
130,53024,47106
131,53430,48068
132,53848,48524
133,54293,48970
134,54795,49425
135,55290,49866
136,55684,50316
137,56119,50761
138,56603,51225
139,57094,51665
140,57531,52109
141,57994,52547
142,58569,53008
143,59068,53437
144,59442,53873
145,59863,54319
146,60360,54768
147,60800,55210
148,61228,55660
149,61736,56091
150,62324,56537
151,62838,56970
152,63250,57419
153,63746,57845
154,64313,58301
155,64838,58732
156,65320,59167
157,65833,59587
158,66463,60027
159,66989,60450
160,67360,60886
161,67792,61333
162,68283,61791
163,68718,62241
164,69168,62695
165,69668,63135
166,70227,63582
167,70718,64014
168,71133,64462
169,71663,64899
170,72224,65347
171,72753,65783
172,73251,66220
173,73822,66651
174,74469,67095
175,75020,67515
176,75430,67956
177,75918,68392
178,76469,68845
179,76928,69273
180,77450,69722
181,77963,70156
182,78679,70599
183,79224,71024
184,79714,71459
185,80237,71895
186,80923,72340
187,81468,72770
188,82042,73207
189,82559,73634
190,83282,74070
191,83839,74495
192,84296,74941
193,84715,75383
194,85301,75841
195,85729,76287
196,86241,76727
197,86705,77172
198,87329,77628
199,87805,78054
200,88322,78502
