n,Find,Insertion Sort Fast,Heap,Tournament Tree 2
3,442,400,453,573
4,699,594,690,956
5,1044,856,990,1369
6,1406,1149,1425,1712
7,1777,1525,1954,2269
8,2260,1878,2270,2648
9,2928,2218,2626,3317
10,3706,2519,3123,3838
11,4512,2873,3724,4393
12,5240,3240,4249,4678
13,6131,3627,4867,5479
14,6950,3972,5584,5933
15,7872,4323,6381,6410
16,8896,4686,6789,6817
17,10315,5207,7199,7648
18,11547,5758,7749,8379
19,12596,6319,8376,9126
20,14005,6924,8959,9716
21,15156,7464,9584,10379
22,16204,8057,10343,10781
23,17260,8654,11138,11197
24,18514,9266,11759,11577
25,19543,9874,12428,12343
26,20632,10467,13210,12926
27,21974,11093,14071,13447
28,23088,11709,14879,13865
29,24416,12342,15740,14465
30,25648,12941,16631,14886
31,26997,13611,17563,15390
32,28266,14216,18128,15900
