n,Insert (O0),Insert (O1),Insert (O2),Insert (O3),Insert (Os),Insert (Oz),Heap (O0),Heap (O1),Heap (O2),Heap (O3),Heap (Os),Heap (Oz),State Machine (O0),State Machine (O1),State Machine (O2),State Machine (O3),State Machine (Os),State Machine (Oz)
3,705,448,406,401,402,408,1070,473,463,447,453,538,362,344,322,299,306,309
4,1105,684,646,595,592,591,1630,788,695,690,711,725,590,558,500,483,498,498
5,1568,947,890,821,806,810,2245,1057,973,948,969,1026,992,828,767,746,737,738
6,2070,1233,1180,1090,1039,1047,2993,1493,1388,1364,1392,1431,0,0,0,0,0,0
7,2610,1601,1461,1412,1295,1319,3843,2047,1851,1807,1879,1954,0,0,0,0,0,0
8,3198,1862,1740,1711,1549,1585,4532,2398,2126,2089,2156,2245,0,0,0,0,0,0
9,3796,2126,2018,1997,1819,1850,5260,2765,2432,2383,2476,2615,0,0,0,0,0,0
10,4406,2492,2302,2275,2108,2142,6099,3283,2858,2798,2932,3052,0,0,0,0,0,0
11,5056,2825,2597,2587,2395,2444,7126,3907,3369,3309,3442,3603,0,0,0,0,0,0
12,5740,3104,2915,2917,2693,2753,8025,4418,3820,3759,3932,4078,0,0,0,0,0,0
13,6449,3437,3251,3259,2993,3071,9018,5025,4332,4260,4467,4616,0,0,0,0,0,0
14,7172,3828,3582,3576,3298,3400,10099,5769,4972,4883,5057,5286,0,0,0,0,0,0
15,7971,4201,3899,3898,3620,3734,11305,6524,5598,5530,5781,6027,0,0,0,0,0,0
16,8775,4575,4226,4224,3964,4096,12097,6896,5938,5823,6064,6391,0,0,0,0,0,0
17,9602,4965,4666,4655,4313,4498,12957,7168,6275,6169,6436,6773,0,0,0,0,0,0
18,10502,5386,5169,5146,4671,4964,13947,7740,6749,6637,6846,7282,0,0,0,0,0,0
19,11414,5813,5664,5656,5049,5395,15067,8346,7282,7185,7402,7921,0,0,0,0,0,0
20,12378,6263,6199,6203,5448,5872,16015,8870,7763,7622,7870,8346,0,0,0,0,0,0
21,13310,6728,6702,6689,5863,6313,17149,9428,8317,8146,8393,8865,0,0,0,0,0,0
22,14313,7167,7228,7223,6239,6752,18311,10215,8955,8787,9046,9550,0,0,0,0,0,0
23,15348,7630,7756,7756,6648,7188,19564,10907,9600,9440,9685,10279,0,0,0,0,0,0
24,16427,8128,8284,8299,7081,7632,20555,11450,10113,9888,10201,10878,0,0,0,0,0,0
25,17466,8611,8843,8854,7533,8059,21630,12025,10643,10466,10749,11371,0,0,0,0,0,0
26,18598,9105,9398,9406,7999,8517,22866,12786,11359,11110,11483,12170,0,0,0,0,0,0
27,19724,9606,9948,9936,8444,8971,24242,13762,12097,11890,12225,12968,0,0,0,0,0,0
28,21069,10128,10509,10550,9002,9424,25531,14588,12757,12558,12908,13661,0,0,0,0,0,0
29,22258,10636,11116,11104,9475,9852,26835,15498,13425,13287,13595,14432,0,0,0,0,0,0
30,23245,11176,11606,11642,9890,10253,28137,16299,14238,14088,14549,15301,0,0,0,0,0,0
31,24436,11570,12179,12200,10488,10689,29560,17346,15030,14815,15373,16215,0,0,0,0,0,0
32,25793,12075,12750,12763,11000,11097,30474,17714,15415,15205,15682,16616,0,0,0,0,0,0
