n,Find (Cache SIMD),Insertion Sort Fast,Heap,Tournament Tree 2
3,196,82,90,114
4,274,129,136,194
5,357,174,190,268
6,428,229,263,333
7,508,282,353,438
8,594,337,405,514
9,643,393,461,637
10,704,449,541,738
11,783,508,641,846
12,863,569,723,901
13,944,633,824,1054
14,1029,696,943,1140
15,1114,755,1072,1233
16,1205,814,1131,1312
17,1292,899,1198,1472
18,1356,986,1286,1616
19,1432,1072,1391,1760
20,1516,1163,1482,1870
21,1602,1257,1587,1996
22,1688,1356,1710,2077
23,1779,1453,1842,2152
24,1874,1553,1939,2223
25,1945,1657,2049,2379
26,2009,1761,2184,2501
27,2113,1866,2329,2606
28,2239,1974,2458,2697
29,2294,2083,2605,2804
30,2378,2187,2755,2896
31,2451,2296,2914,2996
32,2548,2405,2990,3082
33,2734,2517,3059,3268
34,2767,2633,3173,3438
35,2826,2743,3274,3609
36,2909,2868,3384,3771
37,2997,2978,3484,3941
38,3097,3075,3627,4100
39,3215,3227,3770,4245
40,3318,3353,3884,4375
41,3404,3483,3991,4554
42,3471,3614,4141,4701
43,3614,3740,4308,4831
44,3702,3888,4469,4941
45,3802,4017,4612,5058
46,3877,4170,4784,5168
47,3953,4288,4952,5278
48,4058,4452,5075,5384
49,4305,4562,5193,5531
50,4358,4745,5353,5670
51,4446,4931,5537,5810
52,4572,5133,5744,5934
53,4668,5263,5920,6074
54,4781,5441,6119,6196
55,4910,5606,6334,6313
56,5025,5735,6490,6431
57,5166,5887,6648,6560
58,5231,5949,6847,6689
59,5375,6147,7068,6811
60,5474,6252,7261,6927
61,5578,6477,7454,7051
62,5670,6609,7655,7167
63,5744,6719,7867,7286
64,5855,6845,7973,7403
65,6273,7015,8070,7603
66,6337,7141,8214,7795
67,6437,7264,8358,7991
68,6537,7441,8497,8180
69,6555,7582,8623,8370
70,6672,7746,8787,8561
71,6791,7829,8948,8739
72,6915,8005,9078,8929
73,6963,8177,9186,9127
74,7036,8264,9353,9313
75,7131,8417,9515,9506
76,7229,8620,9696,9685
77,7435,8801,9851,9866
78,7539,8934,10021,10038
79,7651,9061,10203,10203
80,7764,9216,10347,10353
81,8002,9392,10481,10540
82,8073,9519,10636,10707
83,8173,9711,10823,10878
84,8277,9920,11019,11024
85,8250,10074,11184,11198
86,8354,10215,11385,11313
87,8468,10320,11606,11447
88,8588,10499,11805,11578
89,8864,10704,11950,11718
90,8931,10770,12133,11855
91,9034,10970,12357,11984
92,9131,11191,12592,12116
93,9404,11284,12762,12245
94,9514,11516,12955,12384
95,9628,11758,13170,12542
96,9754,11865,13318,12676
97,10047,12094,13442,12804
98,10135,12262,13618,12969
99,10250,12460,13776,13149
100,10344,12641,13953,13289
