n,Find,Find (Cache),Find (Cache SIMD),Insertion Sort Fast,Heap,Heap (STL),Tournament Tree 2,State Machine (Compiled)
3,24,26,40,20,21,29,38,15
4,41,41,57,30,32,43,59,25
5,50,59,73,43,45,69,82,38
6,73,80,90,55,63,92,101,0
7,97,103,109,68,84,123,133,0
8,122,128,133,81,98,137,152,0
9,145,113,147,97,114,176,187,0
10,196,152,162,112,136,207,217,0
11,232,178,181,128,159,244,246,0
12,259,203,200,145,181,283,266,0
13,338,229,222,162,205,339,302,0
14,360,255,243,181,234,382,327,0
15,390,284,264,197,271,426,352,0
16,423,318,288,216,288,439,376,0
17,520,370,306,235,307,492,417,0
18,549,396,317,252,332,517,458,0
19,591,429,335,270,356,558,496,0
20,640,465,356,289,382,596,530,0
21,757,506,378,310,410,648,570,0
22,794,546,404,329,444,693,598,0
23,844,590,427,350,485,741,623,0
24,896,636,452,373,510,771,648,0
25,1003,717,462,394,549,831,688,0
26,1045,758,475,417,584,883,723,0
27,1100,802,495,441,622,945,754,0
28,1158,850,514,465,657,1007,782,0
29,1254,913,535,490,711,1074,812,0
30,1304,971,560,516,758,1131,841,0
31,1377,1030,582,546,807,1182,868,0
32,1455,1088,606,576,826,1202,893,0
33,1538,1148,623,604,841,1256,946,0
34,1614,1207,636,630,887,1286,991,0
35,1698,1251,655,659,898,1339,1037,0
36,1779,1308,676,686,939,1381,1105,0
37,1865,1374,699,715,968,1443,1129,0
38,1943,1432,721,744,1009,1488,1176,0
39,2029,1496,743,775,1035,1548,1218,0
40,2115,1571,769,803,1068,1576,1261,0
41,2198,1582,789,836,1102,1640,1308,0
42,2276,1655,803,867,1144,1691,1352,0
43,2358,1709,824,899,1189,1754,1389,0
44,2452,1775,845,930,1218,1822,1429,0
45,2576,1848,864,961,1271,1889,1460,0
46,2652,1914,886,994,1321,1949,1491,0
47,2741,1980,914,1030,1380,2008,1523,0
48,2836,2065,936,1062,1422,2042,1553,0
49,2963,2169,954,1099,1432,2110,1594,0
50,3050,2248,968,1133,1469,2158,1631,0
51,3141,2312,992,1171,1499,2220,1667,0
52,3242,2392,1015,1207,1557,2283,1705,0
53,3354,2471,1036,1245,1591,2351,1741,0
54,3445,2545,1059,1285,1655,2408,1776,0
55,3540,2626,1084,1322,1685,2473,1810,0
56,3646,2716,1110,1361,1744,2522,1844,0
57,3759,2799,1144,1398,1788,2589,1879,0
58,3857,2892,1161,1437,1830,2655,1917,0
59,3957,2965,1183,1479,1872,2728,1952,0
60,4069,3053,1204,1517,1919,2796,1986,0
61,4186,3135,1229,1560,1976,2871,2020,0
62,4286,3218,1251,1599,2037,2928,2057,0
63,4391,3307,1274,1642,2081,3000,2090,0
64,4512,3405,1296,1687,2109,3016,2110,0
65,4637,3417,1382,1738,2147,3081,2177,0
66,4742,3515,1401,1780,2179,3112,2229,0
67,4852,3596,1423,1818,2198,3174,2282,0
68,4975,3693,1449,1860,2234,3216,2330,0
69,5110,3785,1471,1904,2277,3288,2381,0
70,5216,3870,1498,1947,2299,3339,2433,0
71,5330,3966,1526,1997,2330,3407,2481,0
72,5460,4071,1549,2034,2377,3441,2534,0
73,5599,4065,1597,2080,2424,3500,2584,0
74,5713,4167,1609,2124,2485,3555,2634,0
75,5851,4260,1629,2173,2537,3624,2682,0
76,5966,4359,1649,2230,2556,3685,2734,0
77,6123,4464,1677,2282,2612,3763,2782,0
78,6234,4559,1703,2337,2657,3828,2833,0
79,6352,4662,1728,2389,2708,3884,2876,0
80,6493,4773,1756,2444,2737,3923,2922,0
81,6647,4763,1781,2497,2747,3983,2975,0
82,6769,4879,1799,2553,2829,4033,3025,0
83,6905,4975,1830,2612,2858,4107,3076,0
84,7042,5091,1848,2662,2883,4164,3125,0
85,7203,5207,1879,2712,2929,4245,3175,0
86,7350,5319,1907,2768,2985,4291,3222,0
87,7475,5439,1937,2825,3043,4376,3264,0
88,7626,5555,1964,2872,3080,4409,3303,0
89,7806,5549,2001,2921,3113,4478,3345,0
90,7920,5679,2021,2968,3187,4533,3384,0
91,8059,5786,2047,2983,3222,4607,3424,0
92,8220,5909,2063,3038,3274,4672,3462,0
93,8386,6029,2101,3100,3310,4753,3505,0
94,8531,6146,2128,3158,3364,4823,3535,0
95,8675,6261,2155,3217,3402,4890,3566,0
96,8840,6380,2182,3282,3450,4928,3605,0
97,9018,6365,2204,3357,3472,4992,3651,0
98,9183,6475,2225,3399,3518,5048,3691,0
99,9361,6587,2256,3465,3558,5131,3736,0
100,9582,6724,2274,3516,3631,5185,3784,0
