n,Find,Find (Cache),Find (Cache SIMD),Insertion Sort Fast,State Machine (Compiled)
3,89,90,200,82,64
4,139,128,277,127,100
5,203,175,357,173,153
6,260,227,438,231,0
7,329,298,508,283,0
8,402,359,594,337,0
9,534,489,653,398,0
10,669,569,715,449,0
11,829,674,796,565,0
12,954,816,876,566,0
13,1093,940,960,649,0
14,1240,1066,1049,729,0
15,1391,1287,1130,804,0
16,1563,1392,1221,876,0
17,1796,1560,1280,957,0
18,2043,1785,1372,1094,0
19,2187,1921,1436,1124,0
20,2431,2059,1513,1211,0
21,2628,2331,1613,1299,0
22,2832,2530,1679,1391,0
23,3035,2696,1792,1485,0
24,3238,2862,1883,1579,0
25,3452,3051,2005,1683,0
26,3656,3221,2052,1780,0
27,3887,3412,2152,1886,0
28,4064,3600,2239,1993,0
29,4287,3788,2310,2100,0
30,4515,4000,2428,2208,0
31,4764,4205,2501,2312,0
32,4984,4436,2617,2423,0
33,5391,4706,2736,2539,0
34,5673,4942,2750,2643,0
35,5928,5185,2857,2748,0
36,6276,5405,2936,2884,0
37,6571,5773,3010,2993,0
38,6852,6063,3132,3117,0
39,7157,6304,3207,3221,0
40,7452,6558,3334,3345,0
41,7763,6810,3444,3492,0
42,8111,7058,3490,3627,0
43,8411,7334,3608,3770,0
44,8727,7585,3698,3904,0
45,9051,7853,3766,4042,0
46,9374,8114,3914,4185,0
47,9703,8350,3968,4326,0
48,10046,8661,4095,4466,0
49,10354,8943,4295,4614,0
50,10756,9219,4337,4745,0
51,11054,9528,4451,4903,0
52,11435,9938,4616,5049,0
53,11810,10183,4686,5239,0
54,12117,10403,4817,5347,0
55,12561,10748,4844,5533,0
56,12834,11030,5001,5628,0
57,13176,11269,5205,5766,0
58,13543,11659,5245,5909,0
59,13878,12045,5454,6011,0
60,14371,12252,5501,6174,0
61,14582,12629,5557,6385,0
62,15010,12876,5734,6545,0
63,15290,13225,5774,6634,0
64,15714,13589,5915,6802,0
65,16315,13956,6318,6981,0
66,16572,14234,6287,7053,0
67,17006,14630,6550,7280,0
68,17462,14991,6643,7383,0
69,17882,15321,6617,7475,0
70,18349,15727,6816,7649,0
71,18792,16095,6895,7823,0
72,19090,16431,7096,7966,0
73,19602,16834,7152,8094,0
74,20095,17219,7123,8223,0
75,20247,17547,7333,8349,0
76,20842,17896,7479,8592,0
77,21114,18293,7408,8576,0
78,21741,18515,7644,8772,0
79,21912,18863,7583,8942,0
80,22348,19246,7808,9136,0
81,22845,19791,7985,9141,0
82,23471,20091,8000,9552,0
83,23959,20716,8231,9548,0
84,24594,21080,8362,9744,0
85,24876,21338,8270,9888,0
86,25252,21733,8598,10084,0
87,25897,22020,8499,10200,0
88,26158,22543,8796,10415,0
89,26665,23026,9008,10616,0
90,27255,23406,9009,10737,0
91,27800,23832,9252,11006,0
92,28044,24165,9286,11061,0
93,28621,24816,9315,11266,0
94,29214,25133,9563,11468,0
95,29480,25642,9601,11651,0
96,30100,25895,9777,11756,0
97,30415,26288,9986,11875,0
98,30913,26755,9964,12102,0
99,31499,27256,10168,12295,0
100,31942,27686,10359,12429,0
