n,Find,Find (Cache),Find (Cache SIMD),Insertion Sort Fast,Heap,Heap (STL),Tournament Tree 2,State Machine (Compiled)
3,23,22,49,20,18,25,26,16
4,38,36,67,31,31,51,43,27
5,53,52,86,43,41,72,62,38
6,70,64,111,56,58,96,77,0
7,92,81,142,69,76,98,99,0
8,135,108,183,84,90,146,114,0
9,178,143,187,99,104,180,143,0
10,228,185,203,115,123,217,166,0
11,268,221,222,132,143,225,188,0
12,326,278,244,150,163,266,200,0
13,395,355,274,170,182,265,232,0
14,430,407,299,190,206,293,251,0
15,480,454,332,211,231,298,271,0
16,531,495,369,234,250,315,287,0
17,581,534,385,255,267,354,322,0
18,635,573,398,280,290,391,353,0
19,689,613,419,302,315,428,386,0
20,743,651,442,328,338,473,416,0
21,806,695,475,354,361,492,448,0
22,867,741,496,380,387,544,476,0
23,930,793,532,409,414,527,502,0
24,993,843,564,437,437,586,524,0
25,1058,896,580,467,463,571,557,0
26,1117,950,596,497,491,623,583,0
27,1178,1000,617,529,517,603,609,0
28,1261,1061,642,561,545,651,631,0
29,1324,1113,675,595,569,642,659,0
30,1417,1172,696,629,599,685,684,0
31,1516,1258,737,671,627,676,707,0
32,1600,1329,772,708,649,725,730,0
33,1690,1397,783,750,669,765,767,0
34,1773,1466,818,873,699,819,799,0
35,1935,1594,952,948,725,851,840,0
36,2075,1742,1002,1004,810,926,974,0
37,2178,1823,1023,1050,879,1027,1034,0
38,2280,1898,1070,1095,887,1096,1076,0
39,2379,1977,1101,1140,965,1132,1109,0
40,2488,2057,1136,1188,995,1193,1142,0
41,2585,2137,1151,1236,1027,1223,1185,0
42,2690,2219,1188,1284,1063,1295,1222,0
43,2799,2300,1200,1335,1097,1291,1255,0
44,2903,2384,1222,1384,1132,1371,1286,0
45,3009,2468,1264,1435,1163,1351,1322,0
46,3125,2555,1287,1488,1200,1424,1354,0
47,3222,2644,1334,1541,1237,1401,1385,0
48,3347,2733,1368,1593,1269,1475,1413,0
49,3467,2829,1341,1650,1297,1462,1449,0
50,3581,2917,1346,1707,1340,1533,1484,0
51,3705,3010,1376,1763,1374,1511,1519,0
52,3833,3105,1415,1824,1418,1583,1551,0
53,3962,3202,1436,1882,1452,1567,1586,0
54,4085,3298,1476,1941,1493,1635,1618,0
55,4222,3397,1495,2003,1531,1619,1650,0
56,4359,3503,1527,2067,1575,1691,1679,0
57,4495,3600,1555,2130,1606,1680,1718,0
58,4634,3702,1601,2196,1645,1749,1750,0
59,4776,3808,1610,2262,1687,1734,1780,0
60,4904,3911,1631,2328,1722,1793,1809,0
61,5040,4020,1679,2391,1761,1793,1841,0
62,5186,4126,1693,2459,1801,1841,1872,0
63,5335,4239,1740,2529,1840,1839,1903,0
64,5482,4345,1774,2600,1870,1909,1934,0
65,5633,4459,1828,2672,1901,1952,1982,0
66,5783,4570,1831,2742,1935,2028,2032,0
67,5939,4686,1874,2816,1970,2050,2074,0
68,6100,4798,1883,2890,2006,2127,2116,0
69,6257,4923,1931,2965,2039,2156,2164,0
70,6415,5042,1955,3041,2085,2228,2209,0
71,6577,5159,1976,3117,2117,2250,2251,0
72,6744,5278,2010,3194,2155,2333,2295,0
73,6908,5404,2119,3273,2188,2366,2340,0
74,7075,5528,2138,3352,2234,2447,2385,0
75,7246,5651,2161,3432,2266,2475,2427,0
76,7410,5778,2214,3514,2308,2565,2467,0
77,7586,5909,2220,3595,2341,2592,2510,0
78,7766,6035,2277,3692,2390,2690,2550,0
79,7946,6170,2306,3768,2430,2710,2589,0
80,8109,6298,2346,3844,2464,2811,2631,0
81,8288,6433,2377,3929,2501,2829,2676,0
82,8474,6565,2397,4017,2546,2932,2719,0
83,8653,6701,2408,4103,2583,2925,2759,0
84,8834,6839,2436,4194,2626,3037,2800,0
85,9023,6978,2492,4282,2662,3018,2845,0
86,9222,7115,2522,4373,2713,3131,2879,0
87,9420,7258,2554,4466,2755,3092,2915,0
88,9617,7400,2602,4555,2800,3223,2956,0
89,9806,7542,2702,4648,2834,3186,2997,0
90,9966,7689,2725,4741,2882,3301,3031,0
91,10124,7827,2737,4833,2927,3249,3067,0
92,10383,7986,2776,4929,2975,3372,3106,0
93,10573,8130,2794,5028,3015,3311,3145,0
94,10794,8310,2842,5129,3065,3434,3180,0
95,11032,8475,2882,5230,3109,3382,3218,0
96,11244,8636,2918,5326,3145,3504,3255,0
97,11458,8794,2993,5426,3182,3456,3295,0
98,11683,8957,3027,5523,3221,3570,3339,0
99,11902,9124,3054,5628,3258,3527,3378,0
100,12119,9292,3061,5730,3303,3636,3416,0
