n,Insert (O0),Insert (O1),Insert (O2),Insert (O3),Insert (Os),Insert (Oz),Heap (O0),Heap (O1),Heap (O2),Heap (O3),Heap (Os),Heap (Oz),State Machine (O0),State Machine (O1),State Machine (O2),State Machine (O3),State Machine (Os),State Machine (Oz)
3,28,18,16,16,16,16,43,19,19,18,18,19,14,14,13,12,12,12
4,45,28,26,24,24,24,66,31,28,28,29,29,24,22,20,20,20,20
5,63,37,35,32,32,32,90,42,39,37,39,41,41,32,31,30,29,29
6,82,48,46,43,41,41,120,60,54,54,55,57,0,0,0,0,0,0
7,105,62,57,55,50,51,153,81,72,71,74,77,0,0,0,0,0,0
8,128,72,69,67,60,62,180,95,83,82,85,89,0,0,0,0,0,0
9,153,82,80,78,70,72,210,109,95,93,97,103,0,0,0,0,0,0
10,176,97,91,89,80,83,242,129,112,109,115,121,0,0,0,0,0,0
11,202,110,103,101,91,95,282,153,132,129,135,142,0,0,0,0,0,0
12,227,120,115,114,103,106,321,174,148,147,153,160,0,0,0,0,0,0
13,255,133,128,127,115,118,359,198,169,167,173,181,0,0,0,0,0,0
14,284,149,140,140,127,130,400,226,193,190,199,209,0,0,0,0,0,0
15,314,162,152,151,138,143,449,257,219,216,225,237,0,0,0,0,0,0
16,345,177,164,162,151,157,479,269,230,264,237,250,0,0,0,0,0,0
17,382,192,182,180,164,173,515,280,243,241,251,265,0,0,0,0,0,0
18,416,206,199,198,178,189,552,301,261,259,267,286,0,0,0,0,0,0
19,450,223,217,216,194,204,596,324,282,280,286,310,0,0,0,0,0,0
20,482,238,236,235,207,223,635,345,302,297,307,328,0,0,0,0,0,0
21,521,257,254,254,221,241,679,369,322,318,326,347,0,0,0,0,0,0
22,564,274,274,273,239,259,727,395,347,344,354,375,0,0,0,0,0,0
23,602,290,293,293,254,277,778,423,372,368,377,402,0,0,0,0,0,0
24,634,310,313,312,268,293,816,444,392,390,398,423,0,0,0,0,0,0
25,681,328,331,332,285,309,862,465,413,407,417,446,0,0,0,0,0,0
26,720,345,352,352,301,325,908,494,442,435,448,475,0,0,0,0,0,0
27,773,363,373,373,319,343,964,531,469,463,478,505,0,0,0,0,0,0
28,814,380,393,391,338,361,1013,563,493,490,504,532,0,0,0,0,0,0
29,851,399,413,410,355,379,1064,595,521,516,530,562,0,0,0,0,0,0
30,896,417,433,430,385,397,1113,633,553,550,568,598,0,0,0,0,0,0
31,950,434,454,450,400,414,1167,671,583,578,596,633,0,0,0,0,0,0
32,998,452,475,471,421,432,1208,688,599,593,611,652,0,0,0,0,0,0
33,1047,469,494,492,441,451,1256,697,611,604,626,666,0,0,0,0,0,0
34,1100,487,517,513,461,471,1291,723,634,628,647,691,0,0,0,0,0,0
35,1141,507,538,534,483,490,1345,749,653,657,672,717,0,0,0,0,0,0
36,1201,525,562,559,504,516,1387,771,676,669,690,740,0,0,0,0,0,0
37,1257,548,587,584,527,538,1436,795,696,694,715,763,0,0,0,0,0,0
38,1327,570,605,606,546,557,1486,826,724,719,741,795,0,0,0,0,0,0
39,1383,589,620,627,567,579,1544,861,753,745,766,824,0,0,0,0,0,0
40,1443,607,648,648,586,596,1578,876,772,762,784,846,0,0,0,0,0,0
41,1482,630,677,671,611,622,1622,900,797,787,808,869,0,0,0,0,0,0
42,1573,651,696,696,637,642,1683,936,823,818,841,904,0,0,0,0,0,0
43,1621,671,722,721,658,669,1746,974,854,850,866,934,0,0,0,0,0,0
44,1691,692,739,743,682,707,1799,1007,885,880,895,962,0,0,0,0,0,0
45,1763,717,770,770,705,731,1855,1037,911,909,925,996,0,0,0,0,0,0
46,1825,740,794,792,730,754,1919,1079,944,942,959,1031,0,0,0,0,0,0
47,1909,764,821,822,755,778,1982,1112,979,972,983,1070,0,0,0,0,0,0
48,1975,787,840,840,780,798,2026,1142,1000,994,1005,1093,0,0,0,0,0,0
49,2056,811,871,865,804,823,2066,1171,1020,1017,1031,1116,0,0,0,0,0,0
50,2129,838,899,886,832,848,2116,1205,1053,1045,1065,1151,0,0,0,0,0,0
51,2223,861,923,922,856,875,2181,1238,1085,1075,1091,1184,0,0,0,0,0,0
52,2280,884,952,935,881,904,2236,1272,1117,1104,1123,1218,0,0,0,0,0,0
53,2372,908,974,978,911,931,2289,1303,1150,1134,1157,1259,0,0,0,0,0,0
54,2446,933,1006,1005,937,956,2367,1348,1188,1174,1200,1302,0,0,0,0,0,0
55,2514,957,1030,1025,960,984,2429,1386,1225,1212,1230,1339,0,0,0,0,0,0
56,2611,980,1053,1047,995,1012,2482,1467,1254,1237,1262,1372,0,0,0,0,0,0
57,2694,1007,1075,1077,1021,1036,2544,1449,1287,1268,1296,1404,0,0,0,0,0,0
58,2795,1023,1098,1097,1037,1056,2609,1499,1325,1303,1379,1444,0,0,0,0,0,0
59,2847,1049,1123,1124,1073,1089,2670,1539,1367,1344,1369,1487,0,0,0,0,0,0
60,2952,1076,1148,1155,1102,1117,2736,1574,1398,1383,1403,1523,0,0,0,0,0,0
61,2995,1083,1159,1158,1117,1120,2749,1596,1411,1398,1423,1599,0,0,0,0,0,0
62,3094,1113,1202,1197,1141,1178,2802,1624,1452,1435,1474,1653,0,0,0,0,0,0
63,3202,1135,1211,1212,1170,1191,2877,1668,1509,1474,1497,1636,0,0,0,0,0,0
64,3308,1168,1236,1243,1217,1228,2946,1687,1516,1501,1537,1675,0,0,0,0,0,0
65,3418,1190,1256,1274,1243,1254,2983,1706,1524,1517,1551,1688,0,0,0,0,0,0
66,3486,1231,1291,1295,1265,1270,3070,1754,1560,1537,1564,1762,0,0,0,0,0,0
67,3484,1268,1332,1340,1302,1337,3101,1771,1595,1566,1608,1742,0,0,0,0,0,0
68,3473,1309,1386,1395,1372,1372,3203,1834,1629,1619,1650,1802,0,0,0,0,0,0
69,3571,1326,1454,1458,1412,1421,3229,1852,1671,1641,1676,1832,0,0,0,0,0,0
70,3662,1406,1514,1509,1452,1468,3366,1905,1722,1682,1720,1882,0,0,0,0,0,0
71,3781,1478,1575,1568,1510,1532,3438,1969,1781,1737,1773,1930,0,0,0,0,0,0
72,3901,1532,1566,1616,1571,1592,3459,2015,1810,1775,1813,1970,0,0,0,0,0,0
73,3963,1560,1630,1646,1609,1629,3502,2045,1829,1798,1835,1992,0,0,0,0,0,0
74,4039,1587,1669,1682,1646,1661,3568,2081,1877,1827,1869,2036,0,0,0,0,0,0
75,4167,1620,1701,1711,1684,1694,3678,2135,1901,1857,1904,2070,0,0,0,0,0,0
