n,Find,Find (Cache),Find (Cache SIMD),Insertion Sort Fast,Heap,Heap (STL),Tournament Tree 2,State Machine (Compiled)
3,17,18,40,16,18,22,23,13
4,28,26,56,26,28,37,39,20
5,39,35,70,35,38,53,55,30
6,53,45,87,46,53,73,67,0
7,65,58,104,56,72,93,89,0
8,82,72,119,69,82,107,105,0
9,104,97,129,80,93,132,128,0
10,130,115,143,92,108,149,149,0
11,162,137,156,104,130,174,168,0
12,188,165,176,114,146,200,179,0
13,216,187,187,127,168,226,207,0
14,243,208,205,139,189,256,224,0
15,273,240,221,150,215,278,242,0
16,309,272,239,164,227,298,258,0
17,361,305,257,181,242,318,290,0
18,419,360,267,198,259,349,317,0
19,444,386,281,215,279,371,345,0
20,492,415,301,234,297,397,369,0
21,528,471,313,252,319,422,394,0
22,563,517,334,271,342,458,413,0
23,607,551,347,292,372,488,431,0
24,637,579,364,309,387,514,441,0
25,682,618,387,330,411,551,473,0
26,714,652,401,348,434,570,497,0
27,757,688,409,370,461,599,519,0
28,795,725,449,390,488,632,538,0
29,837,763,463,414,516,652,558,0
30,881,808,461,425,546,703,577,0
31,924,848,533,447,579,730,599,0
32,966,895,495,470,592,751,617,0
33,1030,935,517,492,605,765,651,0
34,1106,994,533,510,625,804,683,0
35,1160,1045,554,531,646,848,717,0
36,1227,1093,563,558,669,864,748,0
37,1281,1167,589,579,688,918,781,0
38,1334,1224,603,598,716,932,814,0
39,1387,1271,624,619,744,956,839,0
40,1444,1324,644,645,763,995,868,0
41,1494,1379,667,671,784,1038,904,0
42,1556,1424,695,687,814,1054,932,0
43,1616,1482,687,711,851,1097,957,0
44,1662,1539,712,737,871,1120,981,0
45,1724,1583,725,759,900,1133,1002,0
46,1813,1650,742,784,940,1201,1023,0
47,1863,1705,767,821,969,1216,1050,0
48,1986,1756,787,847,993,1271,1070,0
49,2003,1809,815,860,1019,1303,1093,0
50,2069,1855,837,888,1054,1340,1121,0
51,2135,1926,853,927,1084,1342,1158,0
52,2194,1978,866,938,1107,1402,1177,0
53,2260,2055,900,970,1144,1470,1217,0
54,2375,2114,908,1002,1175,1482,1237,0
55,2383,2160,926,1020,1219,1545,1263,0
56,2436,2207,963,1034,1244,1547,1277,0
57,2523,2292,994,1065,1274,1606,1299,0
58,2597,2353,1006,1069,1319,1620,1372,0
59,2669,2401,1014,1124,1359,1624,1358,0
60,2770,2488,1066,1143,1405,1698,1381,0
61,2843,2591,1065,1180,1437,1754,1415,0
62,2899,2606,1071,1202,1471,1783,1435,0
63,2965,2648,1098,1223,1521,1838,1453,0
64,3058,2801,1116,1248,1534,1857,1481,0
65,3146,2830,1178,1275,1554,1963,1527,0
66,3221,2895,1208,1293,1577,1919,1565,0
67,3299,3022,1210,1314,1603,1920,1603,0
68,3403,3041,1247,1340,1631,1985,1641,0
69,3478,3106,1246,1367,1656,2012,1678,0
70,3551,3205,1266,1404,1684,2064,1716,0
71,3632,3307,1287,1413,1710,2054,1750,0
72,3745,3331,1305,1454,1722,2107,1784,0
73,3766,3384,1336,1483,1736,2187,1813,0
74,3859,3470,1358,1497,1777,2184,1853,0
75,3944,3510,1400,1522,1814,2186,1884,0
76,4027,3614,1384,1567,1845,2260,1931,0
77,4148,3662,1429,1577,1854,2235,1950,0
78,4233,3725,1422,1625,1883,2301,1990,0
79,4281,3824,1451,1663,1940,2402,2034,0
80,4397,3912,1499,1687,1964,2406,2061,0
81,4507,3967,1510,1741,1997,2427,2111,0
82,4618,4048,1560,1799,2060,2515,2140,0
83,4775,4192,1620,1839,2121,2544,2182,0
84,4777,4183,1568,1884,2147,2644,2199,0
85,4925,4260,1616,1947,2199,2674,2235,0
86,5111,4401,1618,2013,2283,2782,2268,0
87,5261,4459,1641,2073,2328,2711,2289,0
88,5288,4503,1696,2127,2359,2787,2318,0
89,5393,4590,1763,2157,2392,2903,2349,0
90,5481,4737,1763,2195,2428,2891,2376,0
91,5582,4817,1758,2235,2475,2871,2398,0
92,5668,4833,1802,2259,2518,2963,2417,0
93,5774,4926,1790,2298,2553,3093,2448,0
94,5868,5011,1816,2330,2592,3040,2472,0
95,5969,5097,1838,2362,2640,3057,2499,0
96,6075,5186,1858,2398,2667,3117,2522,0
97,6155,5277,1912,2437,2695,3213,2564,0
98,6281,5370,1919,2474,2734,3212,2596,0
99,6383,5498,1968,2512,2766,3185,2633,0
100,6467,5553,1962,2555,2797,3278,2664,0
