n,Insert,Insert (Cache)
3,16,16
4,25,24
5,34,32
6,46,41
7,57,49
8,68,59
9,78,68
10,90,78
11,101,89
12,113,99
13,128,110
14,144,122
15,160,134
16,175,146
17,192,158
18,208,169
19,225,185
20,243,196
21,260,211
22,278,228
23,298,241
24,315,252
25,335,268
26,357,287
27,372,302
28,393,320
29,412,337
30,431,354
31,451,371
32,473,390
33,493,409
34,518,428
35,540,448
36,559,467
37,580,489
38,608,512
39,624,531
40,647,553
41,666,572
42,693,593
43,720,618
44,740,645
45,772,672
46,797,694
47,815,721
48,846,742
49,863,765
50,897,787
51,918,804
52,943,834
53,969,862
54,995,888
55,1021,916
56,1043,950
57,1064,972
58,1089,999
59,1112,1027
60,1140,1060
61,1169,1132
62,1195,1124
63,1216,1157
64,1240,1198
65,1260,1215
66,1284,1262
67,1324,1296
68,1355,1319
69,1375,1361
70,1403,1395
71,1417,1412
72,1449,1450
73,1490,1489
74,1517,1532
75,1539,1554
76,1574,1613
77,1600,1652
78,1629,1693
79,1656,1758
80,1668,1736
81,1697,1773
82,1729,1807
83,1764,1873
84,1798,1901
85,1829,1932
86,1851,1980
87,1940,2017
88,1901,2054
89,1946,2092
90,1983,2176
91,2014,2192
92,2039,2217
93,2080,2255
94,2099,2294
95,2139,2381
96,2195,2391
97,2219,2452
98,2251,2488
99,2242,2517
100,2308,2561
101,2347,2620
102,2384,2717
103,2413,2702
104,2450,2741
105,2496,2804
106,2527,2857
107,2558,2895
108,2590,2939
109,2658,2999
110,2721,3039
111,2708,3103
112,2747,3139
113,2800,3199
114,2832,3238
115,2868,3284
116,2918,3362
117,2969,3460
118,2983,3477
119,3024,3503
120,3070,3552
121,3115,3625
122,3159,3662
123,3195,3723
124,3171,3779
125,3290,3864
126,3355,3899
127,3370,3944
128,3430,4030
129,3455,4052
130,3520,4177
131,3563,4199
132,3595,4314
133,3639,4283
134,3700,4419
135,3658,4404
136,3840,4471
137,3841,4538
138,3946,4605
139,3967,4690
140,3985,4741
141,4025,4897
142,4106,4902
143,4227,4985
144,4181,4967
145,4249,5046
146,4279,5112
147,4359,5194
148,4424,5256
149,4458,5393
150,4521,5439
151,4565,5471
152,4608,5513
153,4647,5644
154,4705,5632
155,4749,5702
156,4841,5739
157,4835,5813
158,4895,5893
159,5005,5944
160,5005,6074
161,5052,6089
162,5110,6173
163,4958,6217
164,5224,6347
165,5280,6372
166,5343,6442
167,5397,6530
168,5459,6662
169,5525,6686
170,5586,6773
171,5676,6854
172,5786,6930
173,5782,7066
174,5849,7117
175,5925,7176
176,5989,7239
177,6095,7312
178,6162,7395
179,6242,7478
180,6325,7548
181,6415,7682
182,6501,7709
183,6590,7780
184,6622,7861
185,6816,7955
186,6886,8030
187,6953,8094
188,7067,8175
189,7147,8305
190,7125,8336
191,7284,8471
192,7360,8550
193,7273,8590
194,7496,8683
195,7554,8756
196,7602,8902
197,7693,8979
198,7763,9055
199,7834,9156
200,7908,9247
