n,Find,Find (Cache),Find (Cache SIMD),Insert,Insert (Cache),Heap,Heap (STL Naive),Tournament Tree,Tournament Tree 2,State Machine (Compiled)
3,17,17,39,16,16,18,26,23,23,13
4,28,26,56,25,24,27,41,40,38,20
5,39,35,71,34,32,38,59,55,54,31
6,52,45,87,46,40,53,73,69,67,57
7,65,58,101,57,49,71,94,94,88,0
8,80,70,118,68,60,81,114,112,103,0
9,106,97,127,79,69,93,140,137,128,0
10,136,114,139,90,79,110,154,156,148,0
11,167,136,156,102,88,129,182,176,167,0
12,191,164,172,113,99,146,207,189,178,0
13,219,187,188,128,111,166,237,269,207,0
14,249,213,203,145,122,190,251,245,224,0
15,278,245,220,160,133,215,282,267,242,0
16,312,280,237,176,146,228,300,288,258,0
17,359,314,256,193,158,241,336,319,290,0
18,407,358,269,210,170,262,346,350,319,0
19,437,388,283,226,183,278,383,382,351,0
20,489,416,300,244,196,297,404,408,376,0
