n,Find (Cache SIMD),Insert,Insert (Cache),Heap,Tournament Tree 2,State Machine (Compiled)
3,4,1,1,1,2,1
4,5,2,2,2,3,2
5,7,3,3,3,5,3
6,8,4,4,5,6,5
7,10,5,4,7,8,0
8,11,6,5,8,10,0
9,12,7,6,9,12,0
10,13,9,7,10,14,0
11,15,9,8,12,16,0
12,16,11,9,14,17,0
13,18,12,10,16,20,0
14,20,13,12,19,22,0
15,21,14,13,21,24,0
16,23,15,14,22,25,0
17,25,17,15,23,28,0
18,26,19,16,25,31,0
19,27,21,18,28,34,0
20,29,23,20,29,36,0
21,30,25,20,31,39,0
22,32,27,22,34,41,0
23,34,29,23,36,42,0
24,36,31,25,38,44,0
25,39,33,27,40,47,0
26,40,35,28,44,50,0
27,41,36,30,46,52,0
28,43,38,31,49,54,0
29,45,41,33,51,56,0
30,46,43,35,55,58,0
31,48,45,37,57,60,0
32,50,47,39,59,62,0
33,52,49,40,60,65,0
34,54,51,42,63,69,0
35,55,53,45,65,72,0
36,56,56,46,66,75,0
37,58,57,49,69,78,0
38,60,59,50,71,81,0
39,62,62,52,73,84,0
40,64,64,55,76,87,0
41,65,67,57,78,91,0
42,67,68,59,81,94,0
43,68,71,62,84,96,0
44,70,73,63,87,98,0
45,72,75,66,89,100,0
46,74,78,68,93,103,0
47,76,82,71,97,105,0
48,77,82,73,99,107,0
49,81,87,76,101,110,0
50,82,88,79,104,112,0
51,84,92,81,108,116,0
52,86,94,83,111,117,0
53,87,97,86,114,121,0
54,90,99,89,118,123,0
55,91,103,92,122,125,0
56,93,105,94,125,127,0
57,99,108,97,128,130,0
58,100,110,101,132,133,0
59,101,113,103,136,136,0
60,105,115,106,140,137,0
61,104,119,109,143,140,0
62,107,121,112,147,142,0
63,109,123,115,151,144,0
64,111,126,118,153,147,0
65,116,129,122,155,151,0
66,117,132,124,157,154,0
67,119,134,128,160,158,0
68,121,136,131,163,162,0
69,123,140,135,165,165,0
70,125,142,138,168,170,0
71,127,146,141,171,173,0
72,129,149,203,174,177,0
73,132,151,148,175,180,0
74,133,155,151,179,184,0
75,135,158,155,182,188,0
76,137,161,159,186,191,0
77,139,164,162,188,195,0
78,141,167,166,192,198,0
79,144,170,169,195,203,0
80,147,174,177,199,209,0
81,149,177,178,201,208,0
82,151,179,183,205,215,0
83,155,187,188,209,217,0
84,154,188,189,211,219,0
85,156,191,193,214,222,0
86,158,196,198,221,225,0
87,162,196,201,224,229,0
88,163,199,207,225,230,0
89,171,202,209,229,232,0
90,173,208,212,232,235,0
91,174,268,217,236,237,0
92,177,214,222,241,240,0
93,179,217,225,245,244,0
94,181,221,230,248,245,0
95,183,224,234,253,248,0
96,187,230,238,258,253,0
97,191,234,245,260,254,0
98,193,236,247,261,257,0
99,195,241,251,266,261,0
100,200,247,258,271,268,0
101,202,253,264,276,271,0
102,205,257,270,278,276,0
103,203,255,275,279,274,0
104,207,263,274,287,279,0
105,206,265,282,287,281,0
106,208,261,287,290,286,0
107,214,274,289,298,291,0
108,215,281,297,303,294,0
109,215,282,302,306,297,0
110,218,282,303,310,299,0
111,218,288,310,312,299,0
112,221,291,313,315,302,0
113,225,296,318,318,305,0
114,229,299,324,325,311,0
115,231,304,329,326,313,0
116,231,309,336,331,315,0
117,236,343,339,337,321,0
118,236,319,343,340,323,0
119,238,324,348,344,324,0
120,240,326,355,349,326,0
121,249,330,360,354,332,0
122,253,332,366,360,335,0
123,253,342,379,362,337,0
124,255,348,380,374,338,0
125,257,332,382,370,341,0
126,261,353,388,378,344,0
127,265,355,393,380,348,0
128,267,361,401,385,352,0
129,275,365,405,386,354,0
130,276,367,412,390,362,0
131,279,379,415,392,362,0
132,282,382,422,400,373,0
133,283,387,430,398,371,0
134,285,391,435,402,375,0
135,288,400,449,408,380,0
136,290,403,450,410,383,0
137,290,407,453,423,387,0
138,292,411,457,414,391,0
139,294,417,463,419,396,0
140,297,424,470,423,400,0
141,299,431,490,426,460,0
142,302,435,496,430,408,0
143,303,437,490,433,412,0
144,305,443,496,438,416,0
145,318,447,502,438,419,0
146,323,454,512,442,425,0
147,323,460,515,447,429,0
148,330,464,521,451,432,0
149,333,476,536,458,443,0
150,332,483,541,463,446,0
151,332,482,540,461,444,0
152,336,493,555,471,455,0
153,355,491,554,468,452,0
154,356,497,561,471,456,0
155,360,502,568,476,461,0
156,362,507,575,479,465,0
157,365,513,582,483,523,0
158,368,523,595,489,473,0
159,375,525,598,493,483,0
160,372,534,611,495,479,0
161,390,535,611,500,484,0
162,390,543,618,502,489,0
163,392,548,624,505,492,0
164,396,553,633,510,497,0
165,399,559,679,513,511,0
166,402,565,656,519,505,0
167,405,571,657,522,508,0
168,407,576,664,524,511,0
169,398,581,670,529,516,0
170,399,591,677,533,519,0
171,401,587,686,545,522,0
172,405,602,746,543,529,0
173,409,606,698,545,530,0
174,411,612,709,552,534,0
175,415,619,715,556,539,0
176,416,626,724,562,541,0
177,430,632,731,565,544,0
178,439,648,750,578,557,0
179,441,644,756,574,554,0
180,437,653,769,578,556,0
181,440,657,762,580,560,0
182,452,663,772,594,577,0
183,447,671,778,594,564,0
184,448,676,794,601,568,0
185,483,682,794,601,572,0
186,485,688,802,604,574,0
187,496,694,811,611,582,0
188,489,700,819,612,578,0
189,491,711,822,616,581,0
190,504,717,831,693,594,0
191,498,718,846,628,589,0
192,500,724,849,630,590,0
193,533,733,860,644,609,0
194,521,737,865,636,598,0
195,523,743,871,641,601,0
196,527,750,936,644,605,0
197,530,757,887,647,608,0
198,532,763,895,652,613,0
199,536,772,915,657,616,0
200,539,775,913,659,621,0
