n,Find (Cache SIMD),Insert,Insert (Cache),Heap,Tournament Tree 2,State Machine (Compiled)
3,39,16,16,18,23,13
4,56,25,24,27,38,20
5,71,34,32,38,54,31
6,87,46,40,53,67,57
7,101,57,49,71,88,0
8,118,68,60,81,103,0
9,127,79,69,93,128,0
10,139,90,79,110,148,0
11,156,102,88,129,167,0
12,172,113,99,146,178,0
13,188,128,111,166,207,0
14,203,145,122,190,224,0
15,220,160,133,215,242,0
16,237,176,146,228,258,0
17,256,193,158,241,290,0
18,269,210,170,262,319,0
19,283,226,183,278,351,0
20,300,244,196,297,376,0
