n,Heap,Tournament Tree 2
3,18,23
4,27,38
5,38,54
6,53,67
7,74,91
8,83,106
9,96,131
10,109,148
11,130,168
12,147,184
13,166,208
14,192,226
15,218,245
16,228,261
17,242,291
18,262,320
19,279,353
20,300,375
21,322,405
22,345,420
23,373,439
24,389,453
25,410,479
26,439,508
27,464,530
28,487,544
29,515,565
30,564,586
31,578,603
32,598,624
33,607,661
34,628,697
35,649,731
36,667,759
37,686,791
38,715,823
39,775,854
40,762,881
41,784,927
42,820,954
43,847,974
44,882,1000
45,902,1019
46,955,1048
47,965,1059
48,992,1081
49,1006,1120
50,1034,1136
51,1079,1169
52,1102,1185
53,1146,1223
54,1174,1239
55,1213,1263
56,1251,1283
57,1275,1322
58,1368,1346
59,1351,1367
60,1386,1385
61,1421,1413
62,1468,1441
63,1510,1500
64,1511,1484
65,1543,1521
66,1558,1560
67,1591,1604
68,1616,1640
69,1637,1676
70,1675,1724
71,1690,1749
72,1710,1783
73,1733,1814
74,1762,1862
75,1855,1895
76,1819,1921
77,1867,1986
78,1885,1991
79,1957,2052
80,1950,2066
81,1972,2093
82,2008,2143
83,2032,2186
84,2066,2195
85,2108,2226
86,2142,2263
87,2169,2284
88,2203,2307
89,2293,2339
90,2263,2357
91,2305,2387
92,2365,2412
93,2382,2437
94,2414,2466
95,2525,2492
96,2495,2525
97,2513,2550
98,2533,2578
99,2575,2610
100,2602,2657
101,2641,2689
102,2684,2717
103,2773,2738
104,2761,2778
105,2772,2806
106,2848,2902
107,2893,2910
108,2988,2918
109,2960,2937
110,3000,2980
111,3046,2994
112,3088,3045
113,3166,3072
114,3144,3101
115,3187,3130
116,3229,3164
117,3260,3192
118,3289,3239
119,3353,3233
120,3385,3268
121,3415,3362
122,3468,3327
123,3520,3374
124,3575,3386
125,3610,3436
126,3630,3442
127,3730,3471
128,3726,3530
129,3735,3593
130,3790,3592
131,3804,3710
132,3841,3681
133,3848,3734
134,3860,3765
135,3902,3795
136,3959,3818
137,3967,3904
138,4000,3913
139,4045,3958
140,4138,4036
141,4112,4062
142,4137,4142
143,4165,4118
144,4202,4215
145,4231,4242
146,4270,4285
147,4401,4293
148,4334,4355
149,4404,4381
150,4393,4438
151,4427,4443
152,4462,4478
153,4497,4533
154,4527,4555
155,4578,4600
156,4621,4643
157,4635,4679
158,4743,4711
159,4728,4762
160,4793,4805
161,4808,4827
162,4832,4877
163,4857,4971
164,4936,4960
165,4935,5009
166,4991,5056
167,5066,5102
168,5053,5109
169,5128,5154
170,5156,5202
171,5196,5257
172,5254,5274
173,5320,5333
174,5379,5352
175,5491,5437
176,5508,5399
177,5521,5473
178,5591,5488
179,5707,5554
180,5747,5571
181,5829,5643
182,5925,5674
183,5949,5689
184,6065,5737
185,6226,5807
186,6193,5809
187,6221,5857
188,6330,5884
189,6432,5962
190,6472,5957
191,6491,6003
192,6592,6038
193,6605,6074
194,6638,6123
195,6662,6113
196,6727,6159
197,6712,6174
198,6807,6176
199,6782,6248
200,6823,6256
