n,Find,Insert Cache,Heap,Tournament Tree,State Machine
3,393,182,199,205,134
4,553,269,309,340,221
5,708,359,419,509,325
6,870,435,591,599,0
7,1036,527,786,825,0
8,1224,627,908,958,0
9,1417,752,1035,1199,0
10,1596,871,1208,1418,0
11,1755,988,1430,1608,0
12,1906,1106,1616,1745,0
13,2066,1221,1821,1999,0
14,2245,1336,2094,2145,0
15,2420,1485,2375,2309,0
16,2615,1613,2504,2496,0
17,2787,1745,2649,2767,0
18,2955,1851,2854,3054,0
19,3094,2002,3085,3369,0
20,3305,2153,3277,3603,0
21,3456,2315,3496,3892,0
22,3671,2485,3771,4116,0
23,3789,2644,4057,4256,0
24,4013,2827,4256,4431,0
25,4216,2981,4484,4691,0
26,4324,3148,4783,4943,0
27,4524,3333,5078,5104,0
28,4702,3527,5368,5323,0
29,4890,3742,5668,5513,0
30,5077,3944,6002,5692,0
31,5258,4150,6381,5925,0
32,5481,4336,6517,6083,0
33,5721,4592,6701,6480,0
34,5870,4784,6968,6809,0
35,6058,4985,7237,7194,0
36,6250,5219,7452,7537,0
37,6453,5447,7712,7916,0
38,6627,5676,8023,8259,0
39,6853,5951,8361,8640,0
40,7053,6130,8549,8892,0
41,7462,6409,8805,9268,0
42,7610,6637,9198,9561,0
43,7824,6883,9532,9877,0
44,8046,7132,9832,10120,0
45,8264,7374,10195,10415,0
46,8462,7638,10593,10671,0
47,8713,7906,10949,10866,0
48,8954,8188,11256,11115,0
49,9424,8417,11457,11383,0
50,9604,8695,11760,11654,0
51,9854,8973,12188,11902,0
52,10044,9213,12512,12132,0
53,10229,9502,12827,12457,0
54,10480,9809,13380,12753,0
55,10690,10065,13751,13014,0
56,10901,10409,14087,13215,0
57,11322,10617,14368,13494,0
58,11459,10955,14816,13785,0
59,11666,11246,15196,13976,0
60,12033,11541,15637,14322,0
61,12103,11861,16111,14618,0
62,12346,12209,16602,14824,0
63,12582,12453,17022,15115,0
64,12755,12806,17295,15441,0
65,13357,13158,17476,15939,0
66,13569,13437,17768,16425,0
67,13727,13753,18005,16803,0
68,13931,14044,18319,17134,0
69,14184,14394,18651,17535,0
70,14358,14731,19010,17909,0
71,14611,15088,19260,18338,0
72,14838,15405,19672,18631,0
73,15584,15786,19828,19053,0
74,15820,16080,20213,19377,0
75,15974,16485,20530,19687,0
76,16232,16808,21006,20048,0
77,16459,17127,21249,20389,0
78,16694,17567,21630,20725,0
79,16909,17894,22032,21063,0
80,17135,18232,22294,21381,0
81,17691,18633,22610,21806,0
82,17880,18966,22906,22083,0
83,18122,19363,23323,22456,0
84,18336,19750,23759,22820,0
85,18500,20201,24102,23108,0
86,18751,20511,24440,23418,0
87,18977,20922,24933,23731,0
88,19300,21295,25331,23973,0
89,19765,21681,25632,24328,0
90,19993,22078,26145,24608,0
91,20143,22520,26517,24932,0
92,20445,22960,27044,25207,0
93,20611,23320,27352,25527,0
94,20909,23764,28021,25844,0
95,21150,24215,28415,26103,0
96,21388,24659,28772,26394,0
97,21718,24932,28903,26722,0
98,21987,25482,29274,26972,0
99,22139,25845,29720,27349,0
100,22354,26332,30221,27703,0
