n,Find (O0),Find (O1),Find (O2),Find (O3),Find (Os),Find (Oz),Insert (O0),Insert (O1),Insert (O2),Insert (O3),Insert (Os),Insert (Oz),Insert Cache (O0),Insert Cache (O1),Insert Cache (O2),Insert Cache (O3),Insert Cache (Os),Insert Cache (Oz),Heap (O0),Heap (O1),Heap (O2),Heap (O3),Heap (Os),Heap (Oz),Tournament Tree (O0),Tournament Tree (O1),Tournament Tree (O2),Tournament Tree (O3),Tournament Tree (Os),Tournament Tree (Oz),State Machine (O0),State Machine (O1),State Machine (O2),State Machine (O3),State Machine (Os),State Machine (Oz)
3,805,431,442,393,473,476,317,196,186,180,180,185,337,182,186,187,183,183,492,220,205,199,204,207,674,205,258,260,253,247,171,157,144,134,138,142
4,1081,618,615,553,648,671,502,307,284,269,267,269,526,270,274,275,269,270,748,352,309,310,322,332,1074,340,432,437,409,407,268,252,224,221,224,223
5,1360,791,783,708,823,846,701,416,389,358,357,359,730,364,359,365,363,367,1010,479,430,419,427,458,1503,509,602,630,601,590,438,366,338,330,325,325
6,1644,950,940,870,1000,1006,936,531,520,476,458,461,960,443,460,458,438,435,1337,670,595,591,600,636,1903,599,758,806,715,706,0,0,0,0,0,0
7,1964,1144,1136,1036,1168,1217,1187,680,635,609,561,578,1194,551,554,559,533,527,1728,904,793,786,814,850,2386,825,998,1053,950,937,0,0,0,0,0,0
8,2279,1376,1398,1224,1382,1459,1434,801,762,745,667,698,1477,654,651,660,627,641,2026,1051,911,908,942,986,2812,958,1148,1216,1101,1110,0,0,0,0,0,0
9,3141,1498,1549,1417,1569,1517,1707,911,886,870,780,804,1782,757,768,775,754,752,2326,1235,1048,1035,1069,1128,3375,1199,1433,1541,1380,1370,0,0,0,0,0,0
10,3506,1677,1704,1596,1717,1711,1988,1075,1020,1000,893,942,2102,871,878,892,872,873,2699,1443,1223,1208,1261,1336,3937,1418,1655,1794,1605,1600,0,0,0,0,0,0
11,3879,1830,1904,1755,1917,1880,2291,1220,1150,1141,1023,1058,2436,988,999,1001,991,992,3133,1705,1460,1430,1463,1572,4451,1608,1871,2045,1827,1825,0,0,0,0,0,0
12,4266,2030,2063,1906,2083,2056,2597,1330,1281,1266,1159,1195,2774,1106,1114,1118,1107,1110,3542,1931,1629,1616,1680,1753,4871,1745,1993,2202,1962,1936,0,0,0,0,0,0
13,4600,2214,2274,2066,2264,2252,2900,1462,1453,1410,1298,1326,3143,1231,1234,1240,1221,1228,3986,2197,1855,1821,1871,1987,5393,1999,2326,2488,2215,2207,0,0,0,0,0,0
14,4962,2395,2472,2245,2457,2441,3216,1648,1615,1561,1418,1461,3501,1336,1394,1372,1354,1362,4476,2506,2134,2094,2169,2273,5885,2145,2504,2690,2411,2399,0,0,0,0,0,0
15,5392,2581,2687,2420,2649,2642,3575,1800,1813,1687,1555,1608,3892,1485,1510,1536,1486,1497,4950,2811,2410,2375,2437,2563,6389,2309,2692,2905,2607,2580,0,0,0,0,0,0
