n,Find (O1),Find (O2),Find (O3),Find (Os),Find (Oz),Heap (O1),Heap (O2),Heap (O3),Heap (Os),Heap (Oz),Tournament Tree (O1),Tournament Tree (O2),Tournament Tree (O3),Tournament Tree (Os),Tournament Tree (Oz)
3,39,39,35,42,42,20,18,18,18,18,18,23,23,22,22
4,56,56,51,59,59,31,27,28,28,29,30,38,39,37,36
5,71,72,65,75,75,43,38,38,38,41,45,54,57,54,53
6,85,85,77,89,89,60,53,53,54,57,54,68,72,64,63
7,101,101,92,105,106,81,71,70,72,76,74,89,95,85,86
8,122,123,109,122,127,95,82,81,83,87,85,103,108,100,98
9,131,135,128,139,143,109,93,92,94,102,108,129,140,125,124
10,143,148,140,151,157,129,110,109,112,120,127,149,163,145,144
11,160,163,154,169,171,154,129,128,132,141,146,169,185,165,164
12,175,178,169,184,188,174,145,145,149,157,156,178,200,175,175
13,189,195,184,199,195,195,167,164,168,178,180,210,224,202,201
14,206,212,197,215,215,225,189,188,191,202,196,225,242,216,217
15,221,228,213,231,225,256,218,212,219,231,207,245,263,237,234
16,238,252,231,248,246,270,229,223,231,243,223,259,279,250,250
17,277,260,248,269,264,279,243,238,243,261,251,293,313,282,280
18,289,271,260,280,279,302,259,255,262,279,278,319,343,311,310
19,307,286,274,297,295,325,283,277,282,300,305,353,376,340,337
20,322,301,289,312,310,366,301,295,302,319,331,376,399,365,363
21,344,318,304,329,324,390,319,313,322,338,355,406,426,392,390
22,358,333,319,345,342,395,345,340,344,367,370,423,448,409,407
23,378,351,336,361,358,422,373,366,372,396,388,440,465,429,421
24,400,369,350,379,375,440,390,381,392,414,403,450,482,443,441
25,405,381,367,397,393,466,413,402,414,436,429,479,513,468,462
26,416,392,382,409,404,491,438,428,442,462,447,503,538,492,487
27,436,408,395,422,420,525,467,459,473,492,465,525,559,511,506
28,452,423,411,441,439,555,493,485,499,519,479,547,580,533,528
29,468,439,424,455,467,584,521,509,520,548,499,565,599,551,542
30,486,456,438,471,474,620,555,542,555,584,519,589,624,565,563
31,503,471,456,492,490,661,580,573,588,620,536,605,646,591,583
32,530,491,475,508,510,681,597,590,606,636,549,625,670,610,599
33,528,507,496,535,535,686,609,600,616,650,588,657,705,643,634
34,537,516,505,544,535,713,630,620,634,674,615,695,746,678,667
35,559,531,521,566,554,734,652,645,661,701,654,727,782,717,707
36,572,547,538,582,576,758,675,666,679,722,687,760,817,749,743
37,589,563,549,600,591,786,697,685,699,748,717,797,862,782,778
38,606,582,570,616,632,816,728,713,726,776,749,831,896,821,802
39,625,600,584,636,637,844,752,734,748,808,783,861,929,851,837
40,644,618,601,655,648,866,768,756,770,827,808,885,954,870,862
41,686,658,643,697,676,888,789,776,791,852,841,923,991,908,898
42,700,673,651,712,702,915,818,810,819,881,868,947,1023,941,930
43,717,685,669,729,711,954,849,837,850,916,894,974,1056,970,945
44,735,702,688,745,726,983,881,866,872,947,920,995,1083,996,974
45,755,719,704,766,756,1022,905,895,905,976,943,1017,1114,1015,1002
46,775,738,721,787,779,1048,939,933,940,1012,964,1039,1144,1043,1027
47,796,756,740,809,785,1089,973,963,977,1047,984,1066,1169,1066,1037
48,811,778,760,823,800,1120,992,983,993,1071,1001,1079,1194,1088,1065
49,863,827,806,861,834,1139,1013,999,1013,1100,1031,1112,1226,1106,1094
50,873,839,826,879,851,1179,1048,1035,1044,1129,1060,1140,1259,1140,1114
51,897,857,835,893,887,1204,1079,1059,1081,1160,1085,1168,1286,1180,1140
52,916,871,854,908,901,1245,1113,1091,1107,1199,1103,1193,1313,1199,1167
53,928,885,871,927,898,1275,1145,1116,1142,1225,1125,1217,1343,1222,1177
54,949,904,889,942,916,1310,1182,1160,1176,1265,1152,1243,1372,1248,1205
55,968,926,909,963,951,1349,1225,1197,1216,1312,1169,1268,1402,1267,1224
56,997,956,936,981,962,1404,1257,1217,1244,1349,1199,1291,1419,1282,1250
57,1019,972,952,993,1000,1425,1279,1242,1267,1374,1213,1316,1455,1311,1279
58,1025,979,967,1012,1002,1455,1314,1281,1308,1405,1246,1337,1480,1339,1297
59,1046,994,979,1029,1017,1493,1357,1323,1354,1461,1258,1362,1510,1366,1319
60,1056,1013,1002,1045,1046,1543,1394,1351,1384,1498,1291,1391,1539,1389,1346
61,1079,1036,1021,1065,1056,1577,1424,1400,1414,1536,1318,1409,1567,1439,1376
62,1097,1051,1034,1080,1067,1617,1464,1436,1453,1575,1337,1431,1595,1463,1402
63,1116,1068,1053,1097,1118,1655,1509,1476,1504,1622,1359,1461,1627,1486,1416
64,1139,1085,1076,1118,1113,1676,1521,1498,1526,1648,1405,1480,1656,1507,1480
65,1185,1131,1119,1165,1173,1698,1549,1509,1539,1664,1440,1529,1693,1555,1535
66,1187,1141,1127,1172,1171,1714,1562,1530,1554,1687,1481,1563,1722,1587,1559
67,1209,1158,1146,1190,1203,1754,1599,1556,1586,1718,1518,1600,1770,1632,1594
68,1223,1176,1159,1209,1209,1765,1625,1589,1609,1750,1550,1641,1809,1655,1637
69,1249,1192,1179,1228,1243,1787,1640,1602,1629,1772,1583,1675,1840,1688,1690
70,1275,1210,1199,1236,1256,1839,1673,1633,1661,1803,1614,1716,1884,1736,1707
71,1291,1235,1211,1264,1279,1864,1707,1655,1691,1831,1645,1750,1911,1771,1746
72,1300,1250,1225,1279,1291,1900,1721,1685,1712,1856,1683,1780,1944,1808,1779
73,1394,1324,1303,1341,1349,1911,1747,1704,1735,1880,1713,1816,1990,1833,1812
74,1411,1337,1316,1358,1354,1950,1778,1736,1763,1914,1743,1869,2026,1874,1844
75,1416,1350,1340,1382,1375,1974,1810,1763,1796,1950,1782,1891,2065,1897,1877
76,1457,1373,1352,1393,1395,2003,1836,1797,1824,1975,1810,1929,2097,1950,1906
77,1461,1391,1374,1418,1419,2042,1859,1814,1853,2004,1842,1964,2121,1962,1942
