n,Find (O1),Find (O2),Find (O3),Find (Os),Find (Oz),Insert (O1),Insert (O2),Insert (O3),Insert (Os),Insert (Oz),Insert Cache (O1),Insert Cache (O2),Insert Cache (O3),Insert Cache (Os),Insert Cache (Oz),Heap (O0),Heap (O1),Heap (O2),Heap (O3),Heap (Os),Heap (Oz),Tournament Tree (O0),Tournament Tree (O1),Tournament Tree (O2),Tournament Tree (O3),Tournament Tree (Os),Tournament Tree (Oz),State Machine (O0),State Machine (O1),State Machine (O2),State Machine (O3),State Machine (Os),State Machine (Oz)
3,39,39,35,42,42,19,16,16,16,16,16,16,16,16,16,43,20,18,18,18,18,60,18,23,23,22,22,15,14,13,12,12,12
4,56,56,51,59,59,27,25,24,24,24,24,24,24,24,24,65,31,27,28,28,29,95,30,38,39,37,36,24,22,20,19,20,20
5,71,72,65,75,75,37,34,32,32,32,32,32,32,33,33,88,43,38,38,38,41,137,45,54,57,54,53,39,32,30,29,29,29
6,85,85,77,89,89,47,47,42,41,41,40,41,40,39,39,119,60,53,53,54,57,171,54,68,72,64,63,0,0,0,0,0,0
7,101,101,92,105,106,62,57,54,52,52,49,49,50,47,47,153,81,71,70,72,76,213,74,89,95,85,86,0,0,0,0,0,0
8,122,123,109,122,127,72,68,66,60,62,58,59,59,57,56,181,95,82,81,83,87,252,85,103,108,100,98,0,0,0,0,0,0
9,131,135,128,139,143,81,80,78,69,72,68,69,69,67,67,207,109,93,92,94,102,306,108,129,140,125,124,0,0,0,0,0,0
10,143,148,140,151,157,96,90,89,80,83,78,79,79,77,78,244,129,110,109,112,120,353,127,149,163,145,144,0,0,0,0,0,0
11,160,163,154,169,171,109,103,102,91,95,88,89,89,89,88,277,154,129,128,132,141,396,146,169,185,165,164,0,0,0,0,0,0
12,175,178,169,184,188,120,115,115,103,107,99,100,100,99,99,314,174,145,145,149,157,429,156,178,200,175,175,0,0,0,0,0,0
13,189,195,184,199,195,131,129,127,116,118,110,111,111,110,110,354,195,167,164,168,178,474,180,210,224,202,201,0,0,0,0,0,0
14,206,212,197,215,215,148,145,139,128,131,121,122,124,121,121,403,225,189,188,191,202,525,196,225,242,216,217,0,0,0,0,0,0
15,221,228,213,231,225,163,162,150,140,143,132,135,135,134,132,441,256,218,212,219,231,566,207,245,263,237,234,0,0,0,0,0,0
16,238,252,231,248,246,176,177,161,151,157,144,146,147,145,145,477,270,229,223,231,243,612,223,259,279,250,250,0,0,0,0,0,0
17,277,260,248,269,264,192,195,180,164,171,157,159,159,155,156,506,279,243,238,243,261,669,251,293,313,282,280,0,0,0,0,0,0
18,289,271,260,280,279,207,209,199,176,189,171,171,171,166,166,543,302,259,255,262,279,736,278,319,343,311,310,0,0,0,0,0,0
19,307,286,274,297,295,222,229,217,191,205,185,184,183,179,179,585,325,283,277,282,300,788,305,353,376,340,337,0,0,0,0,0,0
20,322,301,289,312,310,238,245,237,205,222,199,197,197,193,192,702,366,301,295,302,319,848,331,376,399,365,363,0,0,0,0,0,0
21,344,318,304,329,324,258,263,254,219,238,213,212,213,208,209,747,390,319,313,322,338,918,355,406,426,392,390,0,0,0,0,0,0
22,358,333,319,345,342,274,282,273,234,256,227,225,227,220,222,719,395,345,340,344,367,940,370,423,448,409,407,0,0,0,0,0,0
23,378,351,336,361,358,291,300,294,251,274,241,240,242,236,238,768,422,373,366,372,396,982,388,440,465,429,421,0,0,0,0,0,0
24,400,369,350,379,375,309,319,312,266,293,256,256,257,252,252,806,440,390,381,392,414,1027,403,450,482,443,441,0,0,0,0,0,0
25,405,381,367,397,393,327,338,333,283,308,271,271,273,265,269,851,466,413,402,414,436,1086,429,479,513,468,462,0,0,0,0,0,0
26,416,392,382,409,404,347,357,354,299,326,287,287,289,282,287,900,491,438,428,442,462,1130,447,503,538,492,487,0,0,0,0,0,0
27,436,408,395,422,420,362,377,372,315,344,302,305,304,299,301,941,525,467,459,473,492,1188,465,525,559,511,506,0,0,0,0,0,0
28,452,423,411,441,439,381,397,393,335,360,317,320,321,317,318,996,555,493,485,499,519,1232,479,547,580,533,528,0,0,0,0,0,0
29,468,439,424,455,467,399,418,412,352,379,338,339,339,334,337,1044,584,521,509,520,548,1283,499,565,599,551,542,0,0,0,0,0,0
30,486,456,438,471,474,419,436,435,375,397,355,355,356,349,358,1100,620,555,542,555,584,1330,519,589,624,565,563,0,0,0,0,0,0
31,503,471,456,492,490,435,460,456,398,417,376,374,375,368,377,1158,661,580,573,588,620,1375,536,605,646,591,583,0,0,0,0,0,0
32,530,491,475,508,510,456,480,476,423,430,393,394,393,392,397,1196,681,597,590,606,636,1433,549,625,670,610,599,0,0,0,0,0,0
33,528,507,496,535,535,475,500,496,439,448,410,411,412,409,417,1231,686,609,600,616,650,1494,588,657,705,643,634,0,0,0,0,0,0
34,537,516,505,544,535,495,522,513,454,465,428,432,426,427,436,1270,713,630,620,634,674,1555,615,695,746,678,667,0,0,0,0,0,0
35,559,531,521,566,554,508,543,539,478,483,446,449,450,449,457,1319,734,652,645,661,701,1633,654,727,782,717,707,0,0,0,0,0,0
36,572,547,538,582,576,530,567,562,501,508,468,471,472,472,480,1364,758,675,666,679,722,1704,687,760,817,749,743,0,0,0,0,0,0
37,589,563,549,600,591,549,588,585,517,529,489,492,492,491,504,1415,786,697,685,699,748,1761,717,797,862,782,778,0,0,0,0,0,0
38,606,582,570,616,632,575,611,607,540,550,510,515,509,509,526,1464,816,728,713,726,776,1825,749,831,896,821,802,0,0,0,0,0,0
39,625,600,584,636,637,592,630,628,560,568,526,530,532,530,542,1512,844,752,734,748,808,1877,783,861,929,851,837,0,0,0,0,0,0
