n,Heap,Heap (Cache)
3,18,22
4,27,29
5,37,38
6,52,52
7,77,69
8,87,79
9,98,90
10,112,105
11,134,123
12,150,138
13,170,156
14,193,178
15,227,202
16,238,212
17,251,226
18,267,243
19,290,265
20,306,278
21,327,302
22,350,320
23,380,346
24,395,359
25,419,385
26,442,403
27,473,434
28,496,451
29,525,479
30,554,504
31,589,534
32,604,545
33,621,564
34,642,581
35,668,606
36,685,618
37,712,643
38,732,663
39,769,696
40,783,702
41,815,733
42,836,751
43,876,786
44,895,799
45,938,830
46,961,855
47,1007,887
48,1014,897
49,1055,933
50,1069,945
51,1113,982
52,1125,996
53,1164,1036
54,1193,1056
55,1239,1100
56,1258,1111
57,1295,1151
58,1323,1170
59,1366,1213
60,1394,1231
61,1438,1272
62,1471,1296
63,1515,1336
64,1532,1344
65,1558,1377
66,1574,1394
67,1608,1426
68,1629,1438
69,1668,1476
70,1684,1487
71,1737,1536
72,1744,1526
73,1777,1579
74,1801,1588
75,1850,1635
76,1863,1634
77,1906,1683
78,1914,1690
79,1977,1742
80,1976,1730
81,2037,1788
82,2040,1793
83,2100,1846
84,2097,1841
85,2161,1900
86,2177,1906
87,2241,1967
88,2237,1954
89,2301,2025
90,2309,2022
91,2376,2070
92,2375,2084
93,2444,2148
94,2453,2150
95,2522,2208
96,2519,2187
97,2582,2263
98,2576,2256
99,2642,2326
100,2641,2307
