n,Heap (Cache),Tournament Tree (Cache)
3,22,23
4,29,38
5,39,56
6,52,71
7,69,93
8,78,107
9,89,137
10,104,161
11,123,184
12,138,199
13,157,223
14,177,243
15,201,262
16,212,280
17,226,312
18,243,342
19,264,371
20,278,396
21,301,423
22,319,443
23,348,461
24,358,479
25,385,508
26,405,532
27,434,554
28,452,575
29,479,596
30,504,618
31,533,641
32,544,662
33,563,699
34,580,736
35,605,774
36,619,810
37,645,848
38,663,883
39,695,914
40,705,942
41,734,981
42,752,1013
43,786,1041
44,799,1067
45,830,1096
46,855,1126
47,890,1151
48,897,1176
49,932,1209
50,946,1238
51,986,1267
52,996,1297
53,1034,1327
54,1056,1354
55,1099,1382
56,1110,1409
57,1141,1438
58,1171,1467
59,1213,1494
60,1233,1521
61,1273,1551
62,1296,1579
63,1335,1607
64,1342,1634
65,1377,1672
66,1391,1707
67,1428,1743
68,1433,1782
69,1461,1820
70,1487,1859
71,1533,1896
72,1525,1933
73,1575,1970
74,1587,2009
75,1637,2041
76,1635,2077
77,1684,2109
78,1692,2142
79,1740,2175
80,1730,2206
81,1789,2247
82,1792,2282
83,1846,2317
84,1840,2350
85,1897,2388
86,1906,2418
87,1965,2447
88,1953,2478
89,2028,2509
90,2022,2541
91,2065,2576
92,2086,2605
93,2152,2640
94,2154,2666
95,2209,2700
96,2188,2730
97,2230,2766
98,2259,2804
99,2315,2838
100,2305,2870
