n,Find (Cache SIMD),Insert (Cache),Heap (Cache),Tournament Tree (Cache)
3,37,16,22,23
4,49,24,29,38
5,62,32,38,56
6,76,41,53,71
7,91,49,69,93
8,110,58,78,108
9,126,68,90,138
10,140,78,104,162
11,154,88,123,184
12,169,99,138,199
13,183,109,157,224
14,198,121,178,243
15,213,133,201,262
16,229,146,212,280
17,245,157,227,311
18,259,169,243,341
19,273,181,264,371
20,287,195,279,397
21,343,210,300,422
22,317,224,319,442
23,332,238,348,460
24,347,253,359,479
25,363,268,385,507
26,376,285,403,532
27,391,301,434,554
28,404,317,451,573
29,419,335,477,597
30,435,352,504,618
31,451,369,585,639
32,464,388,545,661
33,492,407,567,698
34,501,425,580,734
35,516,445,607,772
36,529,466,620,811
37,546,486,644,848
38,560,560,663,880
39,575,527,695,913
40,593,548,705,941
41,638,569,733,980
42,650,590,751,1014
43,667,613,786,1042
44,682,634,799,1070
45,700,657,831,1099
46,716,681,855,1123
47,736,705,889,1149
48,754,729,945,1175
49,802,753,931,1207
50,816,777,946,1238
51,834,804,986,1268
52,849,830,997,1346
53,865,856,1034,1326
54,881,884,1056,1354
55,900,912,1104,1387
56,918,941,1111,1410
57,943,970,1153,1440
58,960,995,1170,1465
59,976,1025,1214,1495
60,990,1057,1231,1524
61,1009,1088,1274,1550
62,1021,1117,1295,1580
63,1040,1151,1338,1607
64,1056,1179,1343,1634
65,1103,1210,1381,1674
66,1116,1241,1392,1711
67,1133,1272,1428,1750
68,1147,1305,1434,1785
69,1166,1340,1479,1824
70,1179,1371,1486,1859
71,1195,1406,1531,1896
72,1215,1437,1526,1932
73,1288,1472,1579,1974
74,1302,1508,1588,2004
75,1319,1542,1630,2041
76,1337,1578,1633,2076
77,1355,1613,1681,2110
78,1372,1650,1691,2143
79,1417,1686,1710,2183
80,1435,1753,1763,2241
81,1462,1797,1823,2282
82,1480,1818,1815,2308
83,1495,1869,1892,2355
84,1520,1909,1875,2383
85,1535,1941,1924,2413
86,1554,1991,1934,2444
87,1584,2022,2006,2486
88,1591,2056,1985,2501
89,1622,2103,2057,2555
90,1636,2149,2048,2579
91,1651,2213,2132,2606
92,1685,2247,2109,2639
93,1717,2282,2166,2673
94,1709,2297,2166,2683
95,1732,2360,2213,2716
96,1727,2416,2207,2738
97,1809,2420,2282,2803
98,1829,2511,2302,2848
99,1814,2539,2356,2864
100,1863,2591,2356,2918
101,1880,2647,2446,2966
102,1862,2659,2382,2945
103,1911,2697,2480,3017
104,1911,2731,2431,3058
105,1989,2778,2506,3045
106,2003,2832,2516,3086
107,2024,2879,2572,3113
108,2045,2951,2581,3149
109,2055,2978,2640,3184
110,2080,3024,2641,3215
111,2095,3074,2701,3241
112,2127,3125,2682,3274
113,2206,3170,2758,3308
114,2219,3224,2764,3346
115,2239,3280,2830,3378
116,2265,3325,2817,3411
117,2281,3378,2897,3443
118,2300,3432,2900,3477
119,2322,3485,2968,3513
120,2346,3536,2947,3546
121,2332,3589,3027,3575
122,2346,3641,3038,3611
123,2367,3701,3093,3645
124,2389,3757,3095,3676
125,2410,3808,3157,3708
126,2427,3865,3173,3741
127,2448,3927,3223,3778
128,2465,3981,3213,3806
129,2547,4037,3280,3850
130,2560,4092,3294,3891
131,2580,4159,3340,3929
132,2598,4222,3341,3966
133,2623,4278,3409,4006
134,2637,4339,3413,4046
135,2673,4390,3472,4095
136,2685,4459,3455,4128
137,2854,4512,3539,4171
138,2875,4579,3533,4210
139,2896,4635,3604,4247
140,2918,4698,3582,4287
141,2942,4762,3663,4325
142,2964,4825,3654,4361
143,2986,4887,3724,4404
144,3007,4948,3692,4441
145,3090,5071,3829,4541
146,3127,5154,3817,4590
147,3170,5159,3874,4598
148,3160,5258,3862,4643
149,3192,5306,3944,4673
150,3208,5419,3953,4718
151,3258,5416,4016,4749
152,3278,5553,3991,4862
153,3303,5525,4078,4803
154,3306,5602,4048,4854
155,3303,5679,4150,4905
156,3308,5733,4099,4924
157,3339,5833,4204,5024
158,3353,5868,4184,5013
159,3392,5968,4287,5047
160,3412,6021,4224,5070
161,3493,6083,4337,5113
162,3547,6240,4303,5153
163,3552,6292,4415,5202
164,3582,6324,4371,5251
165,3600,6378,4486,5272
166,3650,6544,4496,5332
167,3688,6530,4566,5418
168,3746,6607,4496,5396
169,3889,6691,4626,5494
170,3916,6770,4603,5535
171,3944,6830,4724,5513
172,3971,6972,4666,5551
173,4023,7044,4778,5591
174,4030,7067,4751,5668
175,4047,7193,4850,5723
176,4082,7229,4782,5730
177,4232,7309,4967,5735
178,4267,7387,4884,5772
179,4340,7461,4999,5811
180,4317,7542,4948,5911
181,4338,7617,5115,5886
182,4367,7752,5032,5926
183,4417,7773,5146,5962
184,4413,7856,5131,5999
185,4311,7935,5202,6041
186,4331,8011,5230,6073
187,4359,8149,5248,6113
188,4384,8166,5210,6194
189,4407,8252,5359,6240
190,4437,8334,5348,6218
191,4465,8508,5389,6254
192,4487,8527,5406,6287
193,4615,8670,5470,6334
194,4639,8695,5439,6417
195,4660,8743,5597,6409
196,4746,8880,5492,6444
197,4715,8910,5640,6487
198,4800,9038,5590,6531
199,4759,9087,5696,6622
200,4777,9226,5624,6605
201,5157,9249,5766,6696
202,5176,9396,5733,6680
203,5201,9421,5822,6782
204,5228,9556,5793,6759
205,5259,9588,5907,6853
206,5314,9729,5876,6833
207,5311,9820,6046,6875
208,5339,9965,5898,6910
209,5476,10056,6045,6949
210,5510,10086,6011,6990
211,5591,10182,6125,7029
212,5560,10210,6114,7079
213,5590,10348,6188,7108
214,5638,10392,6167,7203
215,5653,10486,6293,7189
216,5671,10573,6202,7279
217,5630,10719,6335,7267
218,5598,10752,6354,7303
219,5618,10850,6407,7403
220,5703,10995,6355,7389
221,5679,11036,6483,7428
222,5706,11183,6468,7528
223,5790,11289,6559,7517
224,5780,11388,6483,7565
225,5917,11428,6689,7612
226,5946,11521,6610,7712
227,5983,11670,6710,7696
228,6052,11755,6659,7737
229,6029,11800,6829,7783
230,6120,11893,6752,7868
231,6151,12056,6865,7854
232,6122,12089,6852,7895
233,6493,12185,6977,7930
234,6518,12279,6892,8030
235,6546,12385,7002,8044
236,6595,12523,6961,8049
237,6651,12634,7078,8084
238,6631,12731,7056,8124
239,6730,12758,7174,8158
240,6692,12856,7131,8196
241,6968,12960,7269,8237
242,6985,13064,7245,8280
243,7024,13166,7333,8317
244,7075,13277,7309,8361
245,7120,13381,7432,8404
246,7150,13564,7363,8498
247,7182,13647,7454,8539
248,7219,13782,7420,8534
249,6978,13905,7527,8633
250,7081,14011,7534,8661
251,7130,14121,7604,8649
252,7147,14243,7591,8681
253,7341,14357,7684,8782
254,7095,14445,7681,8816
255,7225,14702,7745,8833
256,7293,14669,7713,8843
257,7939,14746,7871,8934
258,7459,14974,7805,8986
259,7573,15150,7951,8967
260,8128,15222,7928,9018
261,8145,15527,7974,9063
262,7897,15677,7982,9167
