COMPILER_VERSION 15.1.1 20250528
ARRAY_LENGTH 1000000
ARRAY_COUNT 500
ITER_COUNT 1
NUM_TESTS 20
SEED 1752201404

Init: 26348

## MERGING 3 LISTS ##
Baseline (copy+sort) 46
Name                                     | Success | Init   | Min, Med, Max     | Standard Deviation | Error Msg
----------------------------------------------------------------------------------------------------------------
Heap Cache (Os)                          | true    |      ? |          22,22,22 |             0.0000 |
Insert Cache (Oz)                        | true    |      ? |          16,16,16 |             0.0000 |
Tournament Tree (Os)                     | true    |      ? |          22,22,22 |             0.0000 |
Find (Os)                                | true    |      ? |          42,42,42 |             0.0000 |
Find (Oz)                                | true    |      ? |          41,41,41 |             0.0000 |
Heap Cache (O1)                          | true    |      ? |          21,21,21 |             0.0000 |
Find (O3)                                | true    |      ? |          34,34,34 |             0.0000 |
Insert Cache (Os)                        | true    |      ? |          16,16,16 |             0.0000 |
Tournament Tree (O2)                     | true    |      ? |          23,23,23 |             0.0000 |
Insert Cache (O1)                        | true    |      ? |          16,16,16 |             0.0000 |
Heap Cache (Oz)                          | true    |      ? |          22,22,22 |             0.0000 |
Tournament Tree (O3)                     | true    |      ? |          23,23,23 |             0.0000 |
Tournament Tree (Oz)                     | true    |      ? |          22,22,22 |             0.0000 |
Heap Cache (O3)                          | true    |      ? |          22,22,22 |             0.0000 |
Heap Cache (O2)                          | true    |      ? |          22,22,22 |             0.0000 |
Tournament Tree (O1)                     | true    |      ? |          17,17,17 |             0.0000 |
Find (O1)                                | true    |      ? |          39,39,39 |             0.0000 |
Insert Cache (O3)                        | true    |      ? |          16,16,16 |             0.0000 |
Insert Cache (O2)                        | true    |      ? |          16,16,16 |             0.0000 |
Find (O2)                                | true    |      ? |          39,39,39 |             0.0000 |

## MERGING 4 LISTS ##
Baseline (copy+sort) 98
Name                                     | Success | Init   | Min, Med, Max     | Standard Deviation | Error Msg
----------------------------------------------------------------------------------------------------------------
Heap Cache (Os)                          | true    |      ? |          29,29,29 |             0.0000 |
Insert Cache (Oz)                        | true    |      ? |          24,24,24 |             0.0000 |
Tournament Tree (Os)                     | true    |      ? |          37,37,37 |             0.0000 |
Find (Os)                                | true    |      ? |          58,58,58 |             0.0000 |
Find (Oz)                                | true    |      ? |          57,57,57 |             0.0000 |
Heap Cache (O1)                          | true    |      ? |          30,30,30 |             0.0000 |
Find (O3)                                | true    |      ? |          49,49,49 |             0.0000 |
Insert Cache (Os)                        | true    |      ? |          23,23,23 |             0.0000 |
Tournament Tree (O2)                     | true    |      ? |          38,38,38 |             0.0000 |
Insert Cache (O1)                        | true    |      ? |          23,23,23 |             0.0000 |
Heap Cache (Oz)                          | true    |      ? |          30,30,30 |             0.0000 |
Tournament Tree (O3)                     | true    |      ? |          39,39,39 |             0.0000 |
Tournament Tree (Oz)                     | true    |      ? |          36,36,36 |             0.0000 |
Heap Cache (O3)                          | true    |      ? |          29,29,29 |             0.0000 |
Heap Cache (O2)                          | true    |      ? |          29,29,29 |             0.0000 |
Tournament Tree (O1)                     | true    |      ? |          30,30,30 |             0.0000 |
Find (O1)                                | true    |      ? |          55,55,55 |             0.0000 |
Insert Cache (O3)                        | true    |      ? |          24,24,24 |             0.0000 |
Insert Cache (O2)                        | true    |      ? |          24,24,24 |             0.0000 |
Find (O2)                                | true    |      ? |          54,54,54 |             0.0000 |

## MERGING 5 LISTS ##
Baseline (copy+sort) 81
Name                                     | Success | Init   | Min, Med, Max     | Standard Deviation | Error Msg
----------------------------------------------------------------------------------------------------------------
Heap Cache (Os)                          | true    |      ? |          39,39,39 |             0.0000 |
Insert Cache (Oz)                        | true    |      ? |          32,32,32 |             0.0000 |
Tournament Tree (Os)                     | true    |      ? |          52,52,52 |             0.0000 |
Find (Os)                                | true    |      ? |          73,73,73 |             0.0000 |
Find (Oz)                                | true    |      ? |          72,72,72 |             0.0000 |
Heap Cache (O1)                          | true    |      ? |          40,40,40 |             0.0000 |
Find (O3)                                | true    |      ? |          62,62,62 |             0.0000 |
Insert Cache (Os)                        | true    |      ? |          32,32,32 |             0.0000 |
Tournament Tree (O2)                     | true    |      ? |          53,53,53 |             0.0000 |
Insert Cache (O1)                        | true    |      ? |          31,31,31 |             0.0000 |
Heap Cache (Oz)                          | true    |      ? |          39,39,39 |             0.0000 |
Tournament Tree (O3)                     | true    |      ? |          56,56,56 |             0.0000 |
Tournament Tree (Oz)                     | true    |      ? |          53,53,53 |             0.0000 |
Heap Cache (O3)                          | true    |      ? |          38,38,38 |             0.0000 |
Heap Cache (O2)                          | true    |      ? |          38,38,38 |             0.0000 |
Tournament Tree (O1)                     | true    |      ? |          45,45,45 |             0.0000 |
Find (O1)                                | true    |      ? |          69,69,69 |             0.0000 |
Insert Cache (O3)                        | true    |      ? |          32,32,32 |             0.0000 |
Insert Cache (O2)                        | true    |      ? |          32,32,32 |             0.0000 |
Find (O2)                                | true    |      ? |          70,70,70 |             0.0000 |

## MERGING 6 LISTS ##
Baseline (copy+sort) 126
Name                                     | Success | Init   | Min, Med, Max     | Standard Deviation | Error Msg
----------------------------------------------------------------------------------------------------------------
Heap Cache (Os)                          | true    |      ? |          53,53,53 |             0.0000 |
