n,Find (O1),Find (O2),Find (O3),Find (Os),Find (Oz),Insert Cache (O1),Insert Cache (O2),Insert Cache (O3),Insert Cache (Os),Insert Cache (Oz),Heap Cache (O1),Heap Cache (O2),Heap Cache (O3),Heap Cache (Os),Heap Cache (Oz),Tournament Tree (O1),Tournament Tree (O2),Tournament Tree (O3),Tournament Tree (Os),Tournament Tree (Oz),State Machine (O1),State Machine (O2),State Machine (O3),State Machine (Os),State Machine (Oz)
3,388,392,346,422,416,160,163,163,161,160,214,221,225,220,221,180,229,230,221,220,136,128,128,131,131
4,546,547,490,579,575,236,242,241,240,235,302,295,297,297,299,300,383,387,367,363,225,200,201,207,207
5,695,697,629,734,736,318,321,322,325,320,405,382,388,392,394,451,538,563,528,531,321,361,315,298,295
6,846,846,768,887,887,402,407,404,388,389,558,518,528,531,528,530,665,718,630,626,608,571,570,550,551
7,1007,1039,916,1042,1076,487,491,492,472,472,731,684,696,695,695,729,882,935,848,858,0,0,0,0,0
8,1224,1257,1101,1226,1279,581,586,585,566,565,827,800,787,859,795,849,1029,1077,989,982,0,0,0,0,0
9,1347,1413,1284,1391,1359,673,684,683,666,665,957,886,897,971,924,1074,1270,1375,1236,1225,0,0,0,0,0
10,1466,1514,1393,1523,1522,773,784,785,771,772,1129,1059,1049,1075,1084,1267,1470,1621,1472,1428,0,0,0,0,0
11,1625,1676,1540,1686,1653,873,883,883,879,874,1319,1237,1235,1257,1275,1455,1665,1906,1633,1625,0,0,0,0,0
12,1777,1851,1736,1841,1814,978,991,994,976,975,1468,1383,1385,1407,1424,1554,1769,1996,1745,1738,0,0,0,0,0
13,1937,2028,1844,2054,2035,1086,1108,1108,1131,1102,1695,1585,1588,1610,1623,1797,2069,2264,2047,2005,0,0,0,0,0
14,2117,2191,1988,2221,2320,1199,1220,1220,1207,1199,1919,1776,1798,1813,1822,1924,2244,2434,2177,2146,0,0,0,0,0
15,2272,2436,2144,2330,2337,1309,1336,1337,1319,1324,2107,2003,2011,2058,2051,2071,2418,2623,2338,2317,0,0,0,0,0
16,2440,2623,2313,2520,2525,1430,1453,1453,1439,1501,2237,2129,2129,2163,2179,2226,2570,2861,2494,2471,0,0,0,0,0
17,2836,2651,2514,2717,2701,1552,1572,1576,1540,1551,2362,2271,2263,2340,2323,2497,2875,3123,2788,2762,0,0,0,0,0
18,2968,2809,2643,2844,2854,1713,1691,1691,1642,1651,2529,2444,2431,2472,2502,2794,3152,3468,3071,3128,0,0,0,0,0
19,3157,3029,2801,3045,3033,1822,1835,1844,1786,1845,2734,2657,2656,2673,2714,3075,3487,3759,3498,3441,0,0,0,0,0
20,3380,3107,2956,3187,3191,1949,2014,1955,1927,1925,2943,2836,2807,2879,2897,3263,3668,3955,3601,3568,0,0,0,0,0
