n,Find,Insert Cache,Heap Cache,Tournament Tree
3,349,159,213,181
4,490,243,299,307
5,629,319,384,450
6,778,388,522,533
7,917,470,682,728
8,1089,567,786,851
9,1288,665,889,1072
10,1426,771,1051,1266
11,1569,873,1238,1451
12,1713,977,1382,1551
13,1854,1069,1553,1791
14,2043,1215,1794,1955
15,2169,1327,2024,2103
16,2347,1447,2131,2219
17,2520,1557,2263,2503
18,2654,1647,2449,2777
19,2799,1815,2612,3065
20,2953,1935,2810,3286
21,3116,2080,2971,3560
22,3248,2197,3196,3766
23,3432,2350,3475,3905
24,3624,2517,3653,4023
25,3803,2650,3874,4302
26,3902,2829,4072,4488
27,4049,2992,4363,4644
28,4200,3139,4525,4864
29,4445,3355,4750,4951
30,4607,3520,5110,5140
31,4738,3697,5321,5316
32,4966,3897,5486,5573
33,5139,4090,5627,5845
34,5323,4312,5889,6151
35,5466,4437,6008,6447
36,5593,4656,6233,6737
37,5764,4853,6485,7091
38,5915,5067,6627,7439
39,6102,5284,7003,7741
40,6296,5512,7074,8058
41,6695,5728,7397,8366
42,6837,5934,7585,8725
43,7019,6142,7923,8919
44,7205,6348,8080,9126
45,7391,6577,8339,9381
46,7609,6803,8593,9595
47,7835,7048,8904,9820
48,8016,7279,9024,10009
49,8451,7551,9384,10314
50,8654,7739,9547,10565
51,8754,8029,9941,10835
52,9021,8247,10060,11089
53,9173,8530,10405,11368
54,9453,8703,10650,11481
55,9602,8979,11131,12022
56,9810,9226,11148,11929
57,10170,9561,11714,12319
58,10194,9724,11719,12536
59,10471,10070,12179,12791
60,10597,10435,12590,13233
61,10932,10534,12841,13348
62,10995,10799,12958,13541
63,11154,11148,13426,13793
64,11357,11442,13422,14021
65,11859,11624,13778,14446
66,12084,11932,13973,14877
67,12211,12195,14304,15206
68,12498,12476,14341,15487
69,12601,12762,14733,15838
70,12782,13149,14862,16147
71,12976,13416,15317,16468
72,13193,13694,15364,16820
73,13859,13996,15749,17159
74,14001,14353,15878,17474
75,14267,14590,16282,17799
76,14409,14935,16325,18073
77,14667,15294,16809,18391
78,14871,15651,16908,18693
79,15074,15879,17387,19044
80,15222,16306,17364,19280
81,15734,16687,17816,19680
82,15907,16964,17916,19977
83,16149,17226,18357,20281
84,16326,17573,18417,20561
85,16553,17870,18837,20865
86,16759,18217,19076,21072
87,16920,18589,19534,21347
88,17136,19006,19555,21601
89,17544,19268,20055,21913
90,17667,19699,20289,22203
91,17902,20063,20716,22454
92,18125,20539,20894,22733
93,18262,20884,21328,22992
94,18478,21181,21560,23257
95,18702,21513,21986,23466
96,18919,21950,21894,23726
97,19238,22278,22445,24068
98,19472,22840,22722,24373
99,19660,23047,23009,24654
100,19879,23540,23091,24878
