n,Find (O1),Find (O2),Find (O3),Find (Os),Find (Oz),Insert Cache (O1),Insert Cache (O2),Insert Cache (O3),Insert Cache (Os),Insert Cache (Oz),Heap Cache (O1),Heap Cache (O2),Heap Cache (O3),Heap Cache (Os),Heap Cache (Oz),Tournament Tree (O1),Tournament Tree (O2),Tournament Tree (O3),Tournament Tree (Os),Tournament Tree (Oz)
3,395,393,349,424,418,159,163,162,162,161,213,221,226,221,222,181,229,230,221,223
4,544,554,490,582,593,243,247,247,248,246,321,302,303,305,299,307,389,390,373,363
5,695,698,629,735,732,319,322,323,325,323,401,384,390,389,398,450,537,566,529,533
6,844,854,778,888,889,401,402,407,389,388,557,522,527,532,531,533,666,727,632,625
7,1014,1001,917,1055,1065,491,494,492,473,470,725,682,698,697,703,728,880,936,845,845
8,1216,1237,1089,1226,1281,578,585,585,567,569,831,804,786,797,797,851,1023,1076,991,981
9,1346,1375,1288,1392,1408,674,683,682,677,665,954,889,897,914,923,1072,1278,1373,1252,1226
10,1478,1523,1426,1545,1542,775,787,785,773,771,1125,1057,1051,1076,1103,1266,1481,1623,1438,1426
11,1642,1684,1569,1699,1725,873,887,883,877,876,1338,1255,1238,1264,1273,1451,1711,1847,1632,1636
12,1796,1851,1713,1866,1874,977,1002,992,978,977,1477,1382,1398,1414,1432,1551,1813,2045,1749,1743
13,2011,2024,1854,2013,2044,1069,1097,1102,1084,1089,1664,1553,1573,1609,1612,1791,2112,2238,2004,1990
14,2126,2239,2043,2174,2221,1219,1215,1229,1227,1221,1924,1794,1825,1822,1819,1955,2284,2438,2204,2147
15,2323,2419,2169,2345,2443,1327,1351,1355,1340,1392,2113,2024,2032,2088,2052,2103,2501,2628,2370,2323
16,2473,2647,2347,2559,2597,1493,1460,1457,1448,1447,2237,2131,2144,2177,2190,2219,2638,2820,2506,2478
17,2831,2649,2520,2739,2689,1568,1587,1587,1557,1558,2365,2263,2290,2306,2396,2503,2972,3126,2868,2787
18,3030,2794,2654,2884,2830,1760,1699,1703,1648,1647,2542,2464,2449,2504,2520,2777,3244,3440,3102,3072
19,3144,2932,2799,3043,2983,1830,1828,1834,1815,1825,2734,2612,2646,2737,2721,3065,3579,3788,3415,3363
20,3326,3094,2953,3211,3181,1969,1974,1970,1935,1978,2910,2810,2810,2891,2917,3286,3771,3974,3653,3600
21,3511,3264,3116,3378,3347,2121,2121,2109,2080,2133,3106,2971,3036,3077,3147,3560,4030,4258,3901,3862
22,3677,3421,3248,3560,3539,2299,2246,2240,2197,2208,3331,3266,3196,3284,3360,3766,4216,4510,4063,4091
23,3887,3603,3432,3690,3673,2428,2425,2418,2350,2410,3542,3490,3475,3526,3599,3905,4368,4607,4260,4192
24,4149,3868,3624,3944,3880,2562,2566,2592,2517,2517,3768,3712,3653,3771,3731,4023,4523,4807,4450,4387
25,4208,3976,3803,4069,4094,2716,2723,2699,2650,2698,3967,3874,3973,3936,3921,4302,4790,5118,4698,4642
26,4288,4145,3902,4192,4135,2849,2859,2883,2829,2870,4149,4104,4072,4188,4210,4488,5021,5426,4922,4830
27,4446,4205,4049,4353,4372,3029,3023,3060,2992,3024,4467,4375,4363,4386,4422,4644,5208,5593,5128,5025
28,4596,4365,4200,4528,4486,3179,3187,3185,3139,3219,5028,4525,4574,4620,4655,4864,5391,5743,5226,5177
29,4802,4592,4445,4699,4663,3406,3374,3449,3355,3386,4924,4750,4887,4916,4901,4951,5663,6050,5495,5386
30,4988,4795,4607,4911,4878,3568,3559,3567,3520,3604,5189,5145,5110,5175,5267,5140,5791,6216,5737,5628
31,5187,4930,4738,5109,5078,3770,3737,3736,3697,3809,5474,5321,5371,5451,5493,5316,6023,6450,5863,5844
32,5423,5142,4966,5309,5300,3944,3936,3921,3897,3991,5618,5500,5486,5606,5734,5573,6265,6682,6057,6056
33,5467,5292,5139,5555,5512,4130,4133,4120,4090,4207,5767,5627,5734,5753,5844,5845,6597,7110,6458,6338
34,5633,5472,5323,5674,5651,4352,4338,4349,4312,4355,5966,5924,5889,5977,5992,6151,6949,7382,6838,6678
35,5751,5598,5466,5920,5805,4464,4469,4473,4437,4584,6111,6008,6106,6133,6322,6447,7212,7753,7184,6997
36,5900,5717,5593,6070,5999,4657,4675,4682,4656,4862,6299,6247,6233,6368,6423,6737,7533,8113,7437,7311
37,6085,5896,5764,6250,6200,4860,4878,4885,4853,5024,6566,6485,6504,6535,6673,7091,7876,8485,7805,7660
38,6287,6089,5915,6462,6409,5082,5103,5148,5067,5253,6760,6760,6627,6775,6944,7439,8249,8819,8134,7956
39,6524,6363,6102,6671,6635,5340,5381,5403,5284,5485,7062,7071,7003,7094,7165,7741,8607,9154,8493,8256
