n,Find (O1),Find (O2),Find (O3),Find (Os),Find (Oz)
3,395,393,349,424,418
4,544,554,490,582,593
5,695,698,629,735,732
6,844,854,778,888,889
7,1014,1001,917,1055,1065
8,1216,1237,1089,1226,1281
9,1346,1375,1288,1392,1408
10,1478,1523,1426,1545,1542
11,1642,1684,1569,1699,1725
12,1796,1851,1713,1866,1874
13,2011,2024,1854,2013,2044
14,2126,2239,2043,2174,2221
15,2323,2419,2169,2345,2443
16,2473,2647,2347,2559,2597
17,2831,2649,2520,2739,2689
18,3030,2794,2654,2884,2830
19,3144,2932,2799,3043,2983
20,3326,3094,2953,3211,3181
21,3511,3264,3116,3378,3347
22,3677,3421,3248,3560,3539
23,3887,3603,3432,3690,3673
24,4149,3868,3624,3944,3880
25,4208,3976,3803,4069,4094
26,4288,4145,3902,4192,4135
27,4446,4205,4049,4353,4372
28,4596,4365,4200,4528,4486
29,4802,4592,4445,4699,4663
30,4988,4795,4607,4911,4878
31,5187,4930,4738,5109,5078
32,5423,5142,4966,5309,5300
33,5467,5292,5139,5555,5512
34,5633,5472,5323,5674,5651
35,5751,5598,5466,5920,5805
36,5900,5717,5593,6070,5999
37,6085,5896,5764,6250,6200
38,6287,6089,5915,6462,6409
39,6524,6363,6102,6671,6635
40,6702,6537,6296,6899,6871
41,7193,6907,6695,7383,7124
42,7260,7012,6837,7535,7330
43,7456,7194,7019,7749,7581
44,7665,7391,7205,7908,7693
45,7920,7570,7391,8107,7887
46,8174,7813,7609,8399,8177
47,8323,8044,7835,8557,8345
48,8547,8225,8016,8811,8548
49,9079,8654,8451,9133,8871
50,9216,8805,8654,9293,8982
51,9418,8963,8754,9517,9253
52,9626,9228,9021,9708,9373
53,9828,9377,9173,9925,9574
54,10023,9563,9453,10087,9739
55,10209,9808,9602,10220,9938
56,10526,9978,9810,10438,10184
57,10818,10257,10170,10576,10566
58,10949,10361,10194,10797,10732
59,11161,10581,10471,11057,10875
60,11341,10917,10597,11219,11278
61,11661,11095,10932,11512,11316
62,11786,11125,10995,11573,11517
63,12011,11342,11154,11726,11744
64,12173,11616,11357,11941,11938
65,12752,12036,11859,12504,12330
66,12882,12124,12084,12733,12527
67,13097,12377,12211,12880,12675
68,13246,12506,12498,13107,12874
69,13474,12703,12601,13294,13079
70,13705,12974,12782,13481,13341
71,13922,13185,12976,13696,13493
72,14203,13417,13193,13934,13764
73,15216,14241,13859,14403,14268
74,15307,14443,14001,14507,14446
75,15545,14654,14267,14766,14599
76,15774,14796,14409,14915,14857
77,15995,15064,14667,15155,15072
78,16225,15287,14871,15320,15279
79,16551,15509,15074,15534,15429
80,16720,15738,15222,15809,15647
81,17152,16368,15734,16176,16328
82,17261,16499,15907,16377,16425
83,17375,16691,16149,16656,16643
84,17675,16908,16326,16789,16936
85,17899,17122,16553,16945,17150
86,18164,17407,16759,17159,17302
87,18375,17594,16920,17376,17526
88,18570,17866,17136,17591,17747
89,18909,17645,17544,17904,18030
90,19064,17830,17667,18089,18274
91,19356,18082,17902,18420,18494
92,19551,18251,18125,18564,18682
93,19801,18491,18262,18778,18933
94,20005,18702,18478,18928,19085
95,20225,18874,18702,19169,19302
96,20496,19122,18919,19364,19537
97,20818,19645,19238,19854,20206
98,21071,19798,19472,20041,20399
99,21292,19966,19660,20345,20631
100,21428,20166,19879,20531,20857
