n,Insert Cache (O1),Insert Cache (O2),Insert Cache (O3),Insert Cache (Os),Insert Cache (Oz)
3,159,163,162,162,161
4,243,247,247,248,246
5,319,322,323,325,323
6,401,402,407,389,388
7,491,494,492,473,470
8,578,585,585,567,569
9,674,683,682,677,665
10,775,787,785,773,771
11,873,887,883,877,876
12,977,1002,992,978,977
13,1069,1097,1102,1084,1089
14,1219,1215,1229,1227,1221
15,1327,1351,1355,1340,1392
16,1493,1460,1457,1448,1447
17,1568,1587,1587,1557,1558
18,1760,1699,1703,1648,1647
19,1830,1828,1834,1815,1825
20,1969,1974,1970,1935,1978
21,2121,2121,2109,2080,2133
22,2299,2246,2240,2197,2208
23,2428,2425,2418,2350,2410
24,2562,2566,2592,2517,2517
25,2716,2723,2699,2650,2698
26,2849,2859,2883,2829,2870
27,3029,3023,3060,2992,3024
28,3179,3187,3185,3139,3219
29,3406,3374,3449,3355,3386
30,3568,3559,3567,3520,3604
31,3770,3737,3736,3697,3809
32,3944,3936,3921,3897,3991
33,4130,4133,4120,4090,4207
34,4352,4338,4349,4312,4355
35,4464,4469,4473,4437,4584
36,4657,4675,4682,4656,4862
37,4860,4878,4885,4853,5024
38,5082,5103,5148,5067,5253
39,5340,5381,5403,5284,5485
40,5581,5555,5554,5512,5816
41,5791,5745,5764,5728,5950
42,5934,6020,5961,5977,6239
43,6144,6207,6195,6142,6456
44,6348,6406,6413,6352,6698
45,6621,6631,6647,6577,6903
46,6840,6876,6893,6803,7150
47,7062,7198,7139,7048,7463
48,7279,7352,7367,7357,7693
49,7592,7601,7613,7551,7975
50,7739,7866,7866,7803,8162
51,8029,8111,8145,8055,8442
52,8247,8393,8390,8381,8753
53,8530,8665,8662,8575,8994
54,8703,9021,8890,8916,9239
55,8979,9238,9168,9111,9653
56,9226,9479,9465,9485,9869
57,9561,9760,9819,9648,10209
58,9724,10016,10102,9925,10567
59,10070,10382,10270,10268,10829
60,10435,10621,10619,10572,11196
61,10534,11088,10925,10897,11312
62,10799,11223,11271,11050,11658
63,11148,11580,11558,11366,11995
64,11442,11835,11844,11746,12575
65,11624,12166,12212,12114,12930
66,11932,12465,12503,12435,13234
67,12195,12843,12843,12753,13557
68,12476,13116,13105,13026,13921
69,12762,13439,13433,13350,14274
70,13149,13772,13765,13690,14629
71,13416,14108,14156,14010,15036
72,13694,14441,14499,14356,15286
73,13996,14779,14783,14759,15702
74,14353,15146,15181,15093,16031
75,14590,15546,15515,15388,16469
76,14935,15839,15844,15743,16791
77,15294,16260,16247,16135,17173
78,15651,16612,16561,16513,17621
79,15879,16979,16983,16889,17972
80,16306,17412,17414,17286,18409
81,16687,17751,17786,17710,18829
82,16964,18117,18118,18007,19245
83,17226,18442,18484,18372,19512
84,17573,18825,18854,18780,19964
85,17870,19271,19273,19163,20378
86,18217,19653,19657,19551,20787
87,18589,20003,20007,19902,21129
88,19006,20403,20400,20304,21566
89,19268,20823,20853,20764,22039
90,19699,21238,21270,21165,22454
91,20063,21695,21635,21561,22901
92,20539,22162,22096,22030,23369
93,20884,22572,22562,22460,23837
94,21181,22963,22954,22788,24213
95,21513,23328,23338,23213,24609
96,21950,23762,23777,23657,25068
97,22278,24196,24262,24154,25573
98,22840,24656,24665,24539,26046
99,23047,25122,25145,25076,26508
100,23540,25600,25547,25475,26944
