n,Find,Heap Cache,Tournament Tree
3,34,21,18
4,49,29,30
5,64,39,46
6,76,52,53
7,92,69,73
8,108,79,85
9,126,89,107
10,140,105,126
11,155,122,145
12,168,137,155
13,186,155,180
14,198,177,194
15,213,199,207
16,229,211,228
17,248,224,250
18,258,241,277
19,272,264,309
20,286,280,334
21,305,296,353
22,316,320,372
23,331,345,391
24,347,358,404
25,363,381,426
26,383,406,448
27,392,435,463
28,405,452,482
29,420,473,494
30,437,504,513
31,451,529,531
32,466,543,546
33,488,564,589
34,500,580,623
35,516,610,646
36,540,619,685
37,547,645,708
38,561,665,738
39,578,701,779
40,592,705,796
41,633,736,838
42,648,753,857
43,662,790,886
44,684,805,914
45,699,842,939
46,713,858,950
47,730,899,974
48,759,909,994
49,797,932,1022
50,820,947,1067
51,826,984,1081
52,841,998,1095
53,875,1052,1123
54,875,1059,1147
55,893,1101,1174
56,911,1116,1191
57,947,1154,1224
58,969,1175,1253
59,977,1214,1276
60,996,1243,1287
61,1028,1287,1328
62,1037,1300,1353
63,1054,1344,1380
64,1064,1360,1405
65,1106,1382,1442
66,1122,1399,1472
67,1137,1428,1503
68,1153,1442,1536
69,1171,1481,1572
70,1201,1502,1614
71,1207,1535,1648
72,1230,1527,1673
73,1287,1580,1707
74,1292,1590,1731
75,1310,1628,1762
76,1327,1637,1795
77,1344,1678,1826
78,1362,1692,1856
79,1381,1754,1887
80,1401,1729,1912
81,1447,1783,1947
82,1464,1789,1978
83,1480,1836,2011
84,1499,1846,2035
85,1515,1888,2062
86,1533,1908,2088
87,1555,1953,2119
88,1569,1956,2142
89,1602,2005,2170
90,1616,2023,2198
91,1631,2070,2224
92,1655,2087,2248
93,1669,2131,2275
94,1688,2151,2300
95,1702,2205,2333
96,1724,2191,2355
97,1776,2247,2383
98,1790,2262,2414
99,1807,2299,2440
100,1824,2309,2472
101,1842,2350,2499
102,1862,2380,2523
103,1879,2417,2552
104,1899,2418,2580
105,1991,2473,2607
106,2008,2506,2636
107,2027,2539,2658
108,2042,2560,2688
109,2065,2605,2712
110,2083,2641,2739
111,2102,2681,2765
112,2129,2678,2793
113,2193,2735,2821
114,2205,2762,2847
115,2226,2803,2880
116,2247,2816,2900
117,2271,2872,2932
118,2285,2899,2962
119,2308,2953,2982
120,2330,2952,3012
121,2350,3007,3041
122,2368,3037,3064
123,2387,3082,3091
124,2406,3094,3118
125,2428,3156,3149
126,2446,3168,3174
127,2462,3224,3202
128,2491,3214,3231
129,2567,3273,3268
130,2582,3288,3298
131,2601,3326,3331
132,2622,3340,3364
133,2644,3372,3408
134,2665,3411,3439
135,2687,3436,3473
136,2703,3449,3508
137,2838,3481,3552
138,2856,3519,3586
139,2880,3540,3621
140,2898,3576,3655
141,2921,3598,3692
142,2946,3643,3731
143,2968,3663,3771
144,2991,3691,3805
145,3062,3703,3842
146,3083,3743,3874
147,3105,3770,3914
148,3129,3805,3947
149,3150,3827,3983
150,3179,3872,4020
151,3198,3900,4056
152,3220,3940,4090
153,3234,3953,4128
154,3254,4007,4167
155,3275,4032,4204
156,3299,4069,4236
157,3324,4088,4273
158,3344,4133,4314
159,3375,4159,4345
160,3392,4193,4382
161,3497,4209,4419
162,3519,4245,4459
163,3546,4273,4496
164,3579,4311,4537
165,3606,4341,4577
166,3633,4383,4613
167,3657,4413,4649
168,3695,4452,4685
169,3900,4478,4723
170,3920,4521,4754
171,3952,4553,4793
172,3976,4595,4822
173,4008,4622,4879
174,4033,4675,4890
175,4059,4697,4917
176,4079,4732,4946
177,4219,4760,4979
178,4239,4806,5018
179,4272,4826,5044
180,4298,4865,5073
