n,Find (O1),Find (O2),Find (O3),Find (Os),Find (Oz),Heap Cache (O1),Heap Cache (O2),Heap Cache (O3),Heap Cache (Os),Heap Cache (Oz),Tournament Tree (O1),Tournament Tree (O2),Tournament Tree (O3),Tournament Tree (Os),Tournament Tree (Oz)
3,38,40,34,42,41,21,22,22,22,22,18,23,23,21,22
4,54,54,49,58,58,30,29,30,29,29,30,38,38,37,36
5,71,69,64,74,73,41,39,39,39,40,46,54,56,53,53
6,85,86,76,90,88,55,53,52,54,53,53,68,73,63,64
7,103,100,92,105,105,74,69,71,69,70,73,88,93,85,84
8,121,124,108,120,130,86,79,80,82,79,85,105,107,100,99
9,131,138,126,136,139,96,89,90,90,92,107,127,140,123,123
10,148,148,140,150,148,112,105,105,108,110,126,146,162,144,142
11,161,165,155,169,175,131,122,125,127,128,145,170,186,167,165
12,176,180,168,182,188,147,137,138,143,145,155,178,199,175,174
13,192,196,186,198,196,165,155,157,160,161,180,209,225,204,203
14,207,212,198,215,211,189,177,180,181,182,194,228,243,216,215
15,224,230,213,227,228,210,199,201,204,205,207,242,262,234,232
16,238,252,229,245,248,230,211,214,216,218,228,256,284,249,250
17,275,257,248,264,262,235,224,227,230,232,250,287,313,283,276
18,288,269,258,276,279,253,241,243,252,250,277,316,342,307,305
19,304,284,272,292,296,275,264,268,273,271,309,344,372,336,334
20,320,300,286,308,307,291,280,281,284,290,334,367,397,361,358
21,338,317,305,324,322,308,296,301,304,309,353,395,429,390,385
22,355,331,316,339,339,332,324,320,326,331,372,411,442,404,404
23,374,351,331,360,354,356,345,348,351,354,391,429,466,420,418
24,396,366,347,376,372,373,367,358,368,376,404,441,480,435,432
25,402,379,363,397,394,394,381,392,393,392,426,473,518,462,463
26,416,390,383,402,404,416,413,406,418,418,448,497,532,484,479
27,430,407,392,421,428,442,437,435,438,443,463,526,559,503,504
28,446,422,405,435,435,466,452,459,462,465,482,536,574,528,516
29,465,437,420,451,451,488,473,483,488,488,494,557,597,544,537
30,489,460,437,474,468,518,513,504,513,525,513,584,619,577,567
31,498,467,451,485,494,543,529,535,541,557,531,596,640,583,576
32,518,486,466,500,507,562,543,545,555,562,546,617,663,602,594
33,527,511,488,529,519,572,569,564,577,580,589,654,708,649,643
34,537,516,500,540,536,606,584,580,590,600,623,689,739,670,661
35,550,531,516,559,555,613,616,618,610,625,646,716,774,716,707
36,565,546,540,576,569,631,631,619,630,643,685,747,809,737,729
37,583,561,547,593,586,661,649,645,650,663,708,780,851,770,764
38,600,579,561,614,604,680,681,665,677,691,738,815,882,800,809
39,629,606,578,640,634,713,713,701,715,730,779,848,924,832,839
40,637,612,592,646,644,731,724,705,724,736,796,865,944,865,852
41,682,661,633,688,679,740,743,736,740,755,838,901,983,889,887
42,702,667,648,704,690,768,782,753,765,784,857,930,1013,912,912
43,711,684,662,721,709,793,809,790,793,813,886,955,1043,935,940
44,723,710,684,742,735,820,838,805,819,835,914,984,1078,958,965
45,757,721,699,767,755,850,863,842,854,871,939,1011,1103,985,990
46,766,738,713,780,771,884,886,858,883,899,950,1020,1126,995,1008
47,786,765,730,807,784,918,923,899,905,923,974,1042,1164,1022,1040
48,811,781,759,825,797,940,945,909,926,939,994,1065,1182,1038,1057
49,859,816,797,843,832,944,954,932,944,961,1022,1093,1207,1062,1076
50,863,845,820,858,856,969,980,947,968,990,1067,1127,1257,1095,1111
51,881,848,826,875,857,997,1007,984,997,1018,1081,1147,1270,1130,1129
52,896,864,841,896,875,1037,1038,998,1023,1046,1095,1172,1296,1139,1148
53,915,882,875,914,891,1064,1063,1052,1052,1076,1123,1199,1331,1193,1172
54,932,900,875,928,915,1086,1093,1059,1101,1111,1147,1224,1357,1188,1191
55,964,917,893,947,927,1113,1130,1101,1128,1149,1174,1254,1381,1207,1212
56,973,938,911,963,946,1137,1146,1116,1144,1171,1191,1272,1412,1228,1235
57,1004,968,947,989,975,1163,1168,1154,1178,1205,1224,1297,1441,1258,1260
58,1020,979,969,1004,1013,1198,1199,1175,1204,1232,1253,1323,1465,1280,1283
59,1038,998,977,1020,1009,1240,1228,1214,1235,1262,1276,1348,1495,1302,1308
60,1074,1031,996,1062,1023,1264,1263,1243,1271,1299,1287,1399,1537,1336,1375
61,1085,1035,1028,1071,1040,1289,1313,1287,1311,1348,1328,1410,1560,1360,1381
62,1091,1046,1037,1081,1072,1324,1329,1300,1348,1356,1353,1419,1581,1368,1390
63,1112,1068,1054,1096,1079,1353,1359,1344,1384,1386,1380,1450,1606,1400,1410
64,1142,1088,1064,1106,1112,1382,1381,1360,1394,1423,1405,1464,1660,1423,1442
65,1172,1129,1106,1149,1153,1399,1396,1382,1414,1428,1442,1504,1681,1453,1502
66,1189,1162,1122,1167,1165,1431,1425,1399,1426,1457,1472,1546,1716,1491,1562
67,1217,1174,1137,1202,1175,1434,1473,1428,1448,1487,1503,1594,1764,1522,1610
68,1232,1176,1153,1214,1207,1466,1499,1442,1491,1521,1536,1613,1785,1560,1620
69,1238,1197,1171,1227,1211,1481,1507,1493,1506,1535,1572,1668,1821,1616,1671
70,1264,1220,1201,1234,1221,1535,1547,1502,1536,1568,1614,1689,1863,1628,1707
71,1287,1228,1207,1265,1256,1535,1567,1537,1572,1604,1648,1724,1903,1679,1726
72,1296,1255,1230,1268,1295,1560,1587,1527,1597,1605,1673,1760,1939,1700,1765
73,1377,1319,1287,1325,1334,1589,1607,1580,1584,1626,1707,1802,1971,1740,1807
74,1377,1334,1292,1331,1329,1624,1637,1590,1619,1656,1731,1854,2019,1776,1861
75,1401,1341,1310,1348,1343,1628,1664,1638,1640,1684,1762,1873,2042,1808,1864
76,1423,1359,1327,1369,1377,1654,1694,1637,1671,1713,1795,1906,2081,1845,1894
77,1439,1375,1344,1381,1389,1678,1724,1684,1695,1736,1826,1942,2114,1879,1918
78,1461,1396,1362,1398,1401,1714,1753,1692,1728,1763,1856,1976,2148,1911,1956
79,1485,1411,1381,1417,1424,1769,1784,1766,1754,1792,1887,2007,2179,1963,1984
80,1501,1435,1401,1437,1436,1765,1813,1729,1773,1820,1912,2036,2208,1967,2009
81,1551,1500,1447,1478,1495,1783,1831,1790,1795,1840,1947,2076,2247,2003,2047
82,1552,1511,1464,1493,1507,1813,1862,1789,1829,1869,1978,2110,2284,2041,2081
83,1565,1530,1480,1512,1525,1836,1894,1848,1852,1898,2011,2145,2319,2063,2107
84,1583,1549,1499,1530,1534,1864,1919,1846,1885,1925,2035,2177,2351,2101,2138
85,1623,1562,1515,1548,1560,1888,1943,1902,1907,1954,2062,2206,2382,2127,2167
86,1627,1581,1533,1564,1579,1923,1979,1908,1946,1984,2088,2239,2418,2151,2195
87,1641,1607,1555,1581,1602,1953,2007,1970,1977,2013,2119,2260,2451,2179,2225
88,1672,1631,1569,1599,1611,1984,2038,1956,2009,2042,2142,2284,2478,2191,2250
89,1731,1622,1602,1633,1637,2005,2064,2027,2033,2069,2170,2318,2511,2219,2288
90,1740,1638,1616,1649,1664,2041,2095,2023,2071,2098,2198,2340,2549,2248,2312
91,1767,1652,1631,1665,1681,2070,2132,2093,2096,2130,2224,2365,2578,2268,2340
92,1789,1668,1655,1685,1711,2105,2163,2087,2135,2159,2248,2388,2606,2285,2359
93,1807,1690,1669,1703,1722,2131,2193,2151,2160,2189,2275,2415,2638,2308,2387
94,1839,1711,1688,1719,1725,2169,2227,2151,2208,2222,2300,2440,2668,2337,2414
95,1857,1725,1702,1744,1738,2205,2252,2210,2233,2257,2333,2465,2705,2361,2450
96,1876,1749,1724,1758,1762,2233,2282,2191,2257,2279,2355,2491,2737,2378,2477
97,1868,1802,1776,1811,1827,2247,2309,2264,2279,2301,2383,2523,2768,2410,2500
98,1908,1820,1790,1826,1828,2284,2337,2262,2307,2327,2414,2559,2809,2454,2541
99,1929,1836,1807,1846,1855,2299,2364,2328,2329,2357,2440,2595,2836,2472,2567
100,1949,1852,1824,1864,1890,2329,2397,2309,2356,2385,2472,2623,2873,2505,2591
101,1961,1872,1842,1883,1887,2350,2429,2386,2386,2413,2499,2659,2912,2534,2628
102,1976,1893,1862,1903,1903,2392,2458,2380,2421,2448,2523,2688,2946,2562,2656
103,2000,1912,1879,1918,1934,2417,2486,2454,2453,2478,2552,2720,2980,2593,2683
104,2033,1933,1899,1938,1949,2452,2513,2418,2481,2512,2580,2752,3012,2623,2708
105,2147,2049,1991,2020,2065,2473,2544,2509,2507,2536,2607,2782,3043,2651,2742
106,2175,2064,2008,2036,2068,2512,2577,2506,2543,2569,2636,2814,3077,2668,2767
107,2196,2084,2027,2059,2103,2539,2614,2575,2572,2606,2658,2846,3113,2694,2798
108,2236,2104,2042,2077,2112,2576,2644,2560,2606,2637,2688,2876,3148,2727,2824
109,2227,2119,2065,2095,2132,2605,2676,2631,2639,2667,2712,2904,3176,2743,2853
110,2261,2144,2083,2118,2144,2648,2706,2641,2676,2706,2739,2934,3210,2769,2880
111,2270,2164,2102,2132,2177,2681,2739,2707,2714,2744,2765,2962,3245,2795,2911
112,2309,2189,2129,2158,2194,2712,2769,2678,2748,2775,2793,2991,3275,2819,2941
113,2383,2275,2193,2232,2274,2735,2799,2762,2775,2806,2821,3020,3313,2854,2967
114,2431,2291,2205,2245,2268,2774,2835,2762,2812,2838,2847,3052,3344,2880,3006
115,2431,2311,2226,2271,2316,2803,2861,2838,2839,2871,2880,3088,3377,2903,3031
116,2465,2329,2247,2291,2320,2835,2893,2816,2875,2905,2900,3116,3417,2932,3063
117,2485,2353,2271,2308,2343,2872,2925,2894,2912,2937,2932,3144,3444,2964,3090
118,2523,2374,2285,2327,2377,2910,2958,2899,2945,2979,2962,3173,3476,2985,3118
119,2518,2398,2308,2352,2396,2953,2995,2963,2982,3012,2982,3202,3506,3014,3143
120,2559,2426,2330,2372,2417,2982,3020,2952,3015,3062,3012,3232,3544,3040,3176
121,2544,2424,2350,2403,2459,3007,3050,3024,3049,3079,3041,3262,3582,3063,3206
122,2566,2431,2368,2422,2481,3048,3087,3037,3089,3126,3064,3290,3611,3087,3237
123,2617,2460,2387,2440,2514,3082,3123,3095,3120,3158,3091,3322,3644,3117,3267
124,2598,2474,2406,2460,2544,3124,3152,3094,3157,3190,3118,3349,3676,3140,3289
125,2646,2499,2428,2481,2534,3158,3186,3156,3187,3223,3149,3379,3711,3170,3326
126,2664,2518,2446,2501,2582,3202,3220,3168,3234,3272,3174,3407,3741,3194,3352
127,2675,2542,2462,2524,2602,3228,3258,3224,3276,3304,3202,3435,3777,3217,3379
128,2693,2564,2491,2542,2601,3262,3287,3214,3301,3332,3231,3463,3808,3244,3412
129,2765,2636,2567,2654,2736,3273,3322,3281,3323,3359,3268,3504,3850,3289,3450
130,2829,2652,2582,2672,2754,3309,3346,3288,3356,3394,3298,3545,3887,3323,3485
131,2805,2674,2601,2693,2771,3326,3382,3348,3389,3420,3331,3586,3926,3362,3526
132,2864,2690,2622,2720,2799,3359,3406,3340,3411,3450,3364,3627,3972,3425,3561
133,2881,2712,2644,2735,2811,3372,3434,3407,3437,3479,3408,3674,4007,3449,3598
134,2904,2737,2665,2757,2821,3411,3466,3418,3464,3513,3439,3711,4044,3487,3639
135,2918,2757,2687,2776,2874,3436,3500,3478,3493,3546,3473,3751,4087,3523,3683
136,2928,2778,2703,2801,2890,3465,3525,3449,3527,3577,3508,3791,4127,3559,3711
137,3085,2935,2838,2995,3029,3481,3559,3537,3548,3605,3552,3832,4167,3600,3751
138,3116,2956,2856,3010,3047,3519,3582,3533,3581,3632,3586,3875,4208,3639,3792
139,3148,2983,2880,3033,3070,3540,3618,3608,3611,3665,3621,3916,4253,3679,3837
140,3130,2999,2898,3054,3075,3576,3647,3585,3637,3692,3655,3952,4289,3717,3868
141,3201,3028,2921,3081,3112,3598,3677,3668,3668,3721,3692,3996,4333,3756,3908
142,3223,3054,2946,3104,3134,3643,3712,3662,3709,3757,3731,4037,4363,3797,3938
143,3229,3073,2968,3129,3147,3663,3743,3736,3736,3787,3771,4074,4405,3834,3973
144,3219,3097,2991,3150,3181,3692,3774,3691,3766,3818,3805,4115,4446,3874,4014
145,3335,3158,3062,3270,3251,3703,3800,3796,3785,3843,3842,4155,4486,3918,4053
146,3372,3178,3083,3287,3264,3743,3835,3775,3822,3876,3874,4197,4525,3960,4090
147,3380,3199,3105,3312,3285,3770,3870,3862,3851,3907,3914,4239,4567,3998,4133
148,3424,3228,3129,3337,3320,3805,3898,3830,3881,3937,3947,4279,4609,4042,4167
149,3469,3251,3150,3357,3353,3827,3931,3927,3910,3970,3983,4322,4646,4084,4208
150,3473,3281,3179,3390,3379,3872,3959,3917,3955,4009,4020,4362,4685,4120,4247
151,3525,3303,3198,3412,3390,3900,4001,3998,3978,4036,4056,4398,4725,4164,4295
152,3520,3329,3220,3437,3422,3940,4027,3956,4010,4072,4090,4437,4770,4202,4330
153,3456,3337,3234,3507,3537,3953,4066,4072,4049,4104,4128,4478,4804,4245,4365
154,3526,3355,3254,3524,3553,4007,4091,4039,4076,4127,4167,4515,4842,4280,4411
155,3596,3386,3275,3549,3568,4032,4130,4135,4106,4192,4204,4560,4882,4319,4444
156,3583,3402,3299,3574,3615,4069,4166,4091,4137,4194,4236,4591,4920,4363,4484
157,3588,3429,3324,3605,3619,4088,4194,4202,4169,4224,4273,4633,4961,4399,4512
158,3633,3452,3344,3623,3668,4133,4231,4181,4213,4260,4314,4669,4996,4436,4544
159,3673,3480,3375,3655,3680,4159,4258,4279,4241,4295,4345,4699,5035,4471,4586
160,3663,3502,3392,3686,3698,4193,4288,4220,4277,4332,4382,4742,5072,4510,4630
161,3770,3616,3497,3737,3808,4209,4321,4339,4307,4362,4419,4786,5114,4564,4661
162,3791,3643,3519,3760,3858,4245,4349,4304,4337,4395,4459,4835,5154,4611,4709
163,3872,3664,3546,3787,3904,4273,4376,4409,4371,4426,4496,4868,5194,4643,4743
164,3876,3687,3579,3812,3928,4311,4423,4362,4414,4463,4537,4910,5236,4702,4794
165,3906,3718,3606,3838,3913,4341,4453,4492,4443,4501,4577,4950,5283,4728,4822
166,3922,3748,3633,3865,3978,4383,4489,4464,4479,4536,4613,4989,5322,4779,4868
167,3932,3781,3657,3901,4020,4413,4522,4567,4516,4575,4649,5028,5357,4809,4901
168,3938,3811,3695,3934,4043,4452,4565,4509,4548,4610,4685,5070,5399,4843,4939
169,4241,4064,3900,4117,4189,4478,4594,4643,4577,4640,4723,5106,5449,4887,4985
170,4266,4094,3920,4141,4206,4521,4626,4612,4617,4676,4754,5143,5480,4913,5014
171,4246,4127,3952,4173,4258,4553,4661,4709,4662,4717,4793,5183,5520,4945,5061
172,4304,4152,3976,4203,4290,4595,4706,4675,4701,4749,4822,5217,5560,4976,5098
173,4303,4176,4008,4227,4316,4622,4732,4780,4743,4784,4879,5247,5594,5012,5132
174,4319,4208,4033,4262,4336,4675,4776,4745,4777,4824,4890,5285,5629,5053,5170
175,4379,4243,4059,4283,4345,4697,4801,4854,4821,4858,4917,5314,5668,5075,5199
176,4363,4259,4079,4307,4408,4732,4839,4787,4853,4886,4946,5346,5702,5197,5377
