n,Find,Insert,Insert Cache,Heap,Heap Cache,Tournament Tree,State Machine,State Machine Cache
3,392,159,159,179,215,167,127,116
4,544,234,235,272,295,296,202,182
5,691,313,315,370,381,429,311,263
6,838,391,397,522,520,516,561,466
7,1008,475,481,697,684,708,0,0
8,1217,566,573,802,779,823,0,0
9,1350,666,666,915,891,1038,0,0
10,1455,759,776,1075,1055,1195,0,0
11,1626,872,865,1271,1226,1344,0,0
12,1786,981,965,1446,1389,1405,0,0
13,1985,1099,1065,1650,1584,1710,0,0
14,2099,1232,1185,1880,1783,1850,0,0
15,2264,1327,1339,2118,2005,2006,0,0
16,2454,1480,1403,2233,2135,2141,0,0
17,2640,1573,1538,2365,2252,2405,0,0
18,2771,1693,1650,2560,2426,2647,0,0
19,2955,1813,1781,2768,2621,2904,0,0
20,3147,1950,1929,2934,2815,3105,0,0
