n,Find (O0),Find (O1),Find (O2),Find (O3),Find (Os),Find (Oz),Insert (O0),Insert (O1),Insert (O2),Insert (O3),Insert (Os),Insert (Oz),Insert Cache (O0),Insert Cache (O1),Insert Cache (O2),Insert Cache (O3),Insert Cache (Os),Insert Cache (Oz),Heap (O0),Heap (O1),Heap (O2),Heap (O3),Heap (Os),Heap (Oz),Heap Cache (O0),Heap Cache (O1),Heap Cache (O2),Heap Cache (O3),Heap Cache (Os),Heap Cache (Oz),Tournament Tree (O0),Tournament Tree (O1),Tournament Tree (O2),Tournament Tree (O3),Tournament Tree (Os),Tournament Tree (Oz),State Machine (O0),State Machine (O1),State Machine (O2),State Machine (O3),State Machine (Os),State Machine (Oz),State Machine Cache (O0),State Machine Cache (O1),State Machine Cache (O2),State Machine Cache (O3),State Machine Cache (Os),State Machine Cache (Oz)
3,730,392,392,489,434,420,282,180,159,161,162,161,294,159,163,170,167,169,434,191,179,182,186,189,466,215,226,223,228,223,964,172,167,167,214,219,149,139,129,127,134,131,149,130,125,116,125,128
4,992,544,549,681,605,582,448,269,245,253,235,234,452,235,241,250,243,245,661,298,272,276,294,295,688,311,303,295,304,303,1469,300,296,301,355,379,240,220,202,202,210,203,233,202,194,182,195,197
5,1227,697,691,818,745,736,622,354,323,344,313,313,677,315,324,332,325,325,890,402,370,372,397,405,930,416,395,381,393,404,1994,447,429,430,513,523,386,331,322,328,311,312,379,289,287,263,294,295
6,1453,848,838,973,901,941,834,442,425,460,395,391,843,400,405,434,400,397,1248,588,522,533,551,569,1226,572,530,520,530,539,2487,530,516,516,613,627,695,638,575,576,562,561,844,541,486,466,509,511
7,1774,1009,1008,1142,1098,1069,1030,574,552,562,488,475,1052,484,491,525,487,481,1543,773,706,697,730,752,1564,743,696,684,689,710,3134,728,709,708,824,847,0,0,0,0,0,0,0,0,0,0,0,0
8,1995,1217,1283,1323,1313,1298,1261,677,657,675,566,567,1297,573,585,649,586,576,1781,894,802,808,838,874,1859,842,793,779,819,816,3683,860,823,824,959,988,0,0,0,0,0,0,0,0,0,0,0,0
9,2821,1350,1403,1560,1478,1450,1518,775,770,796,666,678,1577,666,683,760,690,686,2068,1043,915,920,971,1006,2149,985,907,891,911,943,4351,1075,1040,1038,1192,1230,0,0,0,0,0,0,0,0,0,0,0,0
10,3120,1455,1502,1667,1670,1571,1750,930,879,901,759,786,1873,776,782,874,786,786,2398,1241,1075,1078,1143,1199,2422,1150,1065,1055,1078,1102,4991,1226,1197,1195,1350,1437,0,0,0,0,0,0,0,0,0,0,0,0
11,3475,1626,1670,1849,1775,1709,2028,1064,1001,1018,879,872,2169,865,894,972,894,904,2789,1524,1280,1271,1335,1397,2800,1421,1251,1226,1254,1293,5613,1443,1344,1351,1513,1619,0,0,0,0,0,0,0,0,0,0,0,0
12,3814,1786,1882,2017,1953,1903,2331,1183,1135,1134,1014,981,2565,965,990,1102,1004,1016,3160,1642,1446,1455,1518,1577,3121,1520,1408,1389,1402,1449,6112,1441,1406,1405,1616,1719,0,0,0,0,0,0,0,0,0,0,0,0
13,4207,1985,2010,2230,2123,2042,2666,1329,1266,1283,1109,1099,2869,1065,1107,1355,1112,1109,3517,1860,1659,1650,1703,1766,3601,1703,1619,1629,1584,1645,6998,1784,1725,1710,1915,1985,0,0,0,0,0,0,0,0,0,0,0,0
14,4478,2099,2193,2375,2302,2242,2849,1465,1396,1461,1232,1234,3150,1185,1219,1529,1230,1232,3943,2140,1900,1880,1948,1998,3909,1912,1815,1783,1790,1863,7527,1915,1850,1850,2074,2164,0,0,0,0,0,0,0,0,0,0,0,0
15,4840,2264,2370,2567,2502,2405,3126,1599,1497,1595,1327,1360,3497,1339,1340,1448,1362,1411,4427,2352,2163,2118,2163,2257,4376,2149,2044,2010,2005,2084,8199,2085,2006,2015,2242,2317,0,0,0,0,0,0,0,0,0,0,0,0
16,5281,2454,2603,2723,2727,2607,3415,1749,1607,1751,1480,1518,3853,1403,1451,1550,1468,1460,4702,2504,2271,2233,2308,2393,4651,2256,2166,2139,2135,2213,8756,2211,2142,2141,2393,2478,0,0,0,0,0,0,0,0,0,0,0,0
17,6194,2833,2640,2948,2864,2699,3789,1917,1777,1924,1573,1586,4259,1538,1570,1783,1591,1632,5058,2635,2392,2365,2444,2532,5022,2401,2285,2252,2299,2375,9544,2504,2438,2405,2676,2784,0,0,0,0,0,0,0,0,0,0,0,0
18,6547,2983,2771,3120,2983,2855,4106,2075,1965,2143,1693,1707,4657,1650,1687,1962,1711,1725,5433,2870,2560,2599,2642,2765,5449,2560,2454,2426,2464,2560,10363,2755,2648,2647,2942,3051,0,0,0,0,0,0,0,0,0,0,0,0
19,6990,3176,2955,3336,3171,3060,4469,2234,2136,2252,1813,1821,5090,1781,1818,2524,1842,1865,5834,3080,2770,2768,2901,3037,5841,2770,2672,2621,2704,2840,11199,3035,2913,2904,3227,3421,0,0,0,0,0,0,0,0,0,0,0,0
20,7315,3327,3147,3479,3344,3195,4910,2396,2386,2428,1950,1997,5590,1929,1979,2660,1975,1969,6203,3343,2961,2934,3031,3164,6167,2942,2846,2815,2888,2987,11917,3276,3105,3145,3455,3596,0,0,0,0,0,0,0,0,0,0,0,0
