COMPILER_VERSION 15.1.1 20250528
ARRAY_LENGTH 10000000
ARRAY_COUNT 20
ITER_COUNT 1
NUM_TESTS 48
SEED 1753074900

Init: 12173

## MERGING 3 LISTS ##
Baseline (copy+sort) 596
Name                                     | Success | Init   | Min, Med, Max     | Standard Deviation | Error Msg
----------------------------------------------------------------------------------------------------------------
Heap (O1)                                | true    |      ? |       191,191,191 |             0.0000 |
State Machine Cache (O1)                 | true    |      ? |       130,130,130 |             0.0000 |
State Machine Cache (O0)                 | true    |      ? |       149,149,149 |             0.0000 |
Insert (O0)                              | true    |      ? |       282,282,282 |             0.0000 |
Find (O2)                                | true    |      ? |       392,392,392 |             0.0000 |
Insert (O2)                              | true    |      ? |       159,159,159 |             0.0000 |
Heap (O0)                                | true    |      ? |       434,434,434 |             0.0000 |
Insert (Os)                              | true    |      ? |       162,162,162 |             0.0000 |
State Machine (Oz)                       | true    |      ? |       131,131,131 |             0.0000 |
Find (Os)                                | true    |      ? |       434,434,434 |             0.0000 |
Tournament Tree (O0)                     | true    |      ? |       964,964,964 |             0.0000 |
Heap Cache (O0)                          | true    |      ? |       466,466,466 |             0.0000 |
Insert Cache (Os)                        | true    |      ? |       167,167,167 |             0.0000 |
Tournament Tree (O1)                     | true    |      ? |       172,172,172 |             0.0000 |
Find (O3)                                | true    |      ? |       489,489,489 |             0.0000 |
Insert Cache (O0)                        | true    |      ? |       294,294,294 |             0.0000 |
State Machine (O0)                       | true    |      ? |       149,149,149 |             0.0000 |
Find (O0)                                | true    |      ? |       730,730,730 |             0.0000 |
State Machine Cache (O2)                 | true    |      ? |       125,125,125 |             0.0000 |
State Machine (Os)                       | true    |      ? |       134,134,134 |             0.0000 |
State Machine (O2)                       | true    |      ? |       129,129,129 |             0.0000 |
State Machine Cache (O3)                 | true    |      ? |       116,116,116 |             0.0000 |
Tournament Tree (O3)                     | true    |      ? |       167,167,167 |             0.0000 |
State Machine (O1)                       | true    |      ? |       139,139,139 |             0.0000 |
Insert (O1)                              | true    |      ? |       180,180,180 |             0.0000 |
Tournament Tree (O2)                     | true    |      ? |       167,167,167 |             0.0000 |
Tournament Tree (Oz)                     | true    |      ? |       219,219,219 |             0.0000 |
State Machine (O3)                       | true    |      ? |       127,127,127 |             0.0000 |
Tournament Tree (Os)                     | true    |      ? |       214,214,214 |             0.0000 |
Heap Cache (O3)                          | true    |      ? |       223,223,223 |             0.0000 |
Heap (O2)                                | true    |      ? |       179,179,179 |             0.0000 |
Insert Cache (O2)                        | true    |      ? |       163,163,163 |             0.0000 |
Insert (O3)                              | true    |      ? |       161,161,161 |             0.0000 |
Insert Cache (O1)                        | true    |      ? |       159,159,159 |             0.0000 |
Insert (Oz)                              | true    |      ? |       161,161,161 |             0.0000 |
State Machine Cache (Oz)                 | true    |      ? |       128,128,128 |             0.0000 |
Heap Cache (O1)                          | true    |      ? |       215,215,215 |             0.0000 |
Heap (Oz)                                | true    |      ? |       189,189,189 |             0.0000 |
Find (Oz)                                | true    |      ? |       420,420,420 |             0.0000 |
Heap Cache (Oz)                          | true    |      ? |       223,223,223 |             0.0000 |
Heap Cache (O2)                          | true    |      ? |       226,226,226 |             0.0000 |
State Machine Cache (Os)                 | true    |      ? |       125,125,125 |             0.0000 |
Insert Cache (O3)                        | true    |      ? |       170,170,170 |             0.0000 |
Heap (O3)                                | true    |      ? |       182,182,182 |             0.0000 |
Heap Cache (Os)                          | true    |      ? |       228,228,228 |             0.0000 |
Find (O1)                                | true    |      ? |       392,392,392 |             0.0000 |
Insert Cache (Oz)                        | true    |      ? |       169,169,169 |             0.0000 |
Heap (Os)                                | true    |      ? |       186,186,186 |             0.0000 |

## MERGING 4 LISTS ##
Baseline (copy+sort) 971
Name                                     | Success | Init   | Min, Med, Max     | Standard Deviation | Error Msg
----------------------------------------------------------------------------------------------------------------
Heap (O1)                                | true    |      ? |       298,298,298 |             0.0000 |
State Machine Cache (O1)                 | true    |      ? |       202,202,202 |             0.0000 |
State Machine Cache (O0)                 | true    |      ? |       233,233,233 |             0.0000 |
Insert (O0)                              | true    |      ? |       448,448,448 |             0.0000 |
