n,Heap Cache,Tournament Tree
3,0,0
4,0,0
5,0,0
6,0,0
7,0,0
8,0,0
9,1,1
10,1,1
11,1,1
12,1,1
13,1,1
14,1,1
15,2,2
16,2,2
17,2,2
18,2,2
19,2,2
20,2,3
21,3,3
22,3,3
23,3,3
24,3,3
25,3,4
26,4,4
27,4,4
28,4,4
29,4,4
30,5,4
31,5,5
32,5,5
33,5,5
34,5,5
35,6,6
36,6,6
37,6,6
38,6,6
39,6,7
40,7,7
41,7,7
42,7,8
43,7,8
44,8,8
45,8,8
46,8,8
47,8,9
48,9,9
49,9,9
50,9,9
51,9,10
52,10,10
53,10,10
54,10,10
55,10,10
56,11,11
57,11,11
58,11,11
59,12,11
60,12,11
61,12,12
62,13,12
63,13,12
64,13,12
65,13,13
66,13,13
67,14,13
68,14,14
69,14,14
70,14,14
71,15,15
72,15,15
73,15,15
74,15,16
75,16,16
76,16,16
77,16,17
78,16,17
79,17,17
80,17,18
81,17,18
82,17,18
83,18,18
84,18,19
85,18,19
86,19,19
87,19,20
88,19,20
89,19,20
90,20,20
91,20,20
92,21,21
93,21,21
94,21,21
95,21,22
96,22,22
97,22,22
98,22,22
99,22,22
100,23,23
101,23,23
102,23,23
103,23,23
104,23,24
105,24,24
106,24,24
107,25,24
108,25,25
109,25,25
110,25,25
111,26,25
112,26,26
113,26,26
114,27,26
115,27,26
116,27,27
117,28,27
118,28,27
119,28,27
120,29,28
121,29,28
122,29,28
123,30,28
124,30,28
125,31,28
126,31,29
127,31,29
128,31,29
129,32,30
130,32,30
131,32,30
132,32,31
133,32,31
134,33,32
135,33,32
136,33,32
137,34,33
138,34,33
139,34,34
140,34,34
141,35,34
142,35,35
143,36,35
144,36,35
145,36,36
146,36,36
147,36,36
148,36,37
149,37,37
150,37,38
151,38,38
152,38,38
153,38,39
154,38,39
155,39,39
156,39,40
157,39,40
158,40,40
159,40,41
160,41,41
161,40,41
162,41,42
163,41,42
164,41,42
165,41,43
166,42,43
167,42,43
168,42,44
169,43,44
170,43,44
171,44,44
172,44,45
173,44,45
174,45,45
175,45,45
176,46,46
177,46,46
178,46,46
179,46,47
180,46,46
181,48,48
182,47,48
183,47,48
184,48,48
185,48,48
186,48,48
187,49,49
188,49,49
189,49,49
190,50,49
191,51,50
192,51,50
193,51,50
194,52,51
195,52,51
196,52,51
197,52,51
198,53,52
199,53,52
200,53,53
201,53,53
202,53,53
203,54,53
204,54,53
205,55,54
206,55,54
207,55,54
208,56,55
209,56,54
210,56,55
211,57,55
212,57,56
213,57,56
214,58,56
215,58,57
216,58,57
217,60,58
218,59,57
219,60,58
220,61,59
221,61,59
222,61,58
223,61,58
224,63,60
225,63,60
226,62,59
227,62,60
228,63,61
229,63,61
230,65,61
231,64,61
232,64,61
233,65,62
234,65,62
235,66,62
236,66,62
237,67,63
238,66,63
239,68,63
240,68,64
241,69,64
242,68,65
243,68,64
244,69,65
245,70,66
246,70,66
247,70,66
248,71,67
249,71,67
250,71,67
251,72,67
252,72,68
253,73,68
254,73,68
255,74,68
256,74,69
257,74,69
258,74,70
259,75,70
260,75,70
261,75,71
262,76,71
263,77,72
264,76,72
265,76,72
266,77,73
267,77,73
268,78,74
269,79,74
270,78,75
271,79,75
272,79,76
273,80,76
274,80,77
275,80,77
276,80,78
277,81,78
278,82,78
279,81,79
280,82,79
281,82,79
282,82,80
283,83,81
284,83,81
285,84,82
286,85,82
287,84,82
288,85,84
289,86,84
290,85,84
291,85,84
292,86,85
293,86,85
294,86,85
295,87,86
296,88,87
297,88,87
298,88,87
299,88,88
300,88,88
301,89,89
302,90,89
303,90,90
304,91,90
305,90,90
306,91,91
307,93,91
308,95,97
309,93,92
310,93,93
311,94,93
312,94,93
313,93,93
314,94,94
315,96,95
316,95,95
317,95,95
318,95,96
319,96,96
320,96,97
321,96,97
322,98,98
323,97,98
324,98,98
325,97,99
326,99,100
327,98,100
328,99,100
329,100,100
330,100,100
331,101,101
332,100,101
333,101,102
334,102,102
335,101,103
336,102,102
337,102,103
338,103,104
339,103,104
340,104,104
341,104,104
342,105,104
343,105,105
344,105,105
345,106,106
346,106,106
347,106,106
348,107,107
349,107,106
350,107,107
351,108,108
352,108,107
353,108,108
354,109,108
355,109,108
356,110,109
357,110,109
358,110,109
359,111,109
360,111,110
361,111,110
362,113,111
363,113,111
364,113,111
365,113,111
366,114,112
367,114,112
368,114,112
369,115,113
370,115,113
371,115,113
372,116,114
373,116,114
374,117,115
375,117,115
376,118,114
377,118,115
378,118,115
379,119,116
380,120,116
381,119,117
382,120,116
383,120,117
384,121,117
385,121,118
386,121,118
387,121,118
388,122,119
389,121,119
390,123,119
391,122,120
392,124,120
393,124,121
394,125,121
395,124,121
396,125,123
397,127,122
398,126,123
399,126,123
400,127,123
401,126,123
402,127,124
403,127,125
404,128,125
405,127,125
406,130,123
407,130,123
408,130,123
409,131,124
410,131,124
411,132,124
412,133,125
413,133,125
414,133,124
415,133,125
416,134,126
417,134,126
418,134,126
419,135,126
420,135,127
421,135,127
422,136,128
423,138,128
424,137,128
425,137,129
426,138,129
427,138,130
428,140,130
429,139,131
430,140,131
431,140,130
432,141,131
433,141,131
434,142,131
435,144,132
436,142,132
437,143,132
438,143,133
439,144,133
440,144,133
441,145,134
442,145,135
443,147,134
444,146,134
445,146,135
446,147,136
447,147,136
448,147,135
449,148,135
450,149,137
451,150,137
452,149,137
453,151,137
454,150,138
455,151,138
456,151,139
457,151,138
458,152,139
459,152,139
460,153,139
461,153,140
462,154,140
463,154,140
464,156,141
465,155,141
466,156,141
467,156,142
468,156,141
469,157,142
470,158,142
471,158,144
472,159,143
473,159,143
474,159,144
475,160,144
476,160,144
477,161,146
478,161,144
479,161,146
480,162,145
481,162,146
482,163,146
483,163,147
484,164,148
485,164,147
486,165,148
487,165,149
488,165,149
489,166,149
490,167,149
491,167,150
492,168,149
493,168,151
494,168,150
495,169,151
496,169,151
497,169,151
498,170,151
499,170,151
500,171,152
501,171,153
502,172,152
503,176,163
504,172,154
505,173,153
506,173,153
507,174,154
508,174,154
509,175,156
510,175,155
511,175,155
512,175,156
513,176,156
514,177,157
515,177,157
