n,Insert (Cache),Insert Cache Pair
3,17,16
4,25,23
5,33,30
6,43,39
7,53,47
8,66,56
9,76,66
10,92,76
11,98,87
12,109,99
13,134,108
14,153,120
15,143,132
16,155,145
17,179,158
18,199,168
19,253,181
20,266,195
21,286,210
22,302,222
23,321,238
24,342,255
25,361,268
26,379,281
27,368,306
28,389,320
29,411,337
30,431,352
31,449,369
32,459,390
33,480,410
34,498,425
35,539,447
36,557,467
37,573,487
38,591,510
39,613,525
40,631,549
41,650,570
42,672,590
43,672,615
44,696,634
45,717,658
46,739,683
47,757,704
48,768,733
49,790,792
50,813,781
51,837,805
52,872,830
53,886,861
54,888,885
55,909,914
56,932,942
57,951,972
58,977,997
59,995,1032
60,1017,1062
61,1037,2084
62,1058,2284
63,1080,1155
64,1086,1185
65,1117,2429
66,1151,2533
67,1148,2606
68,1179,2652
69,1193,2740
70,1204,2831
71,1232,2875
72,1247,2943
73,1267,3035
74,1297,3174
75,1377,3211
76,1350,3316
77,1366,3368
78,1390,3494
79,1419,3548
80,1415,3606
81,1432,3688
82,1458,3814
83,1476,3896
84,1511,3993
85,1533,4103
86,1555,4227
87,1600,4335
88,1609,4429
89,1635,4508
90,1673,4616
91,1825,4770
92,1715,4814
93,1739,4921
94,1758,5038
95,1798,5161
96,1791,5208
97,1818,5329
98,1856,5455
99,1862,5558
100,1876,5669
