n,Insert,Insert (Cache),Insert Cache Pair
3,162,173,159
4,258,250,226
5,348,330,305
6,460,432,384
7,568,524,469
8,676,719,560
9,786,764,657
10,898,883,755
11,1013,973,860
12,1188,1107,968
13,1261,1195,1079
14,1383,1324,1187
15,1528,1739,1301
16,1613,1945,1430
17,1782,2144,1556
18,1959,2339,1678
19,2134,2173,1807
20,2316,2372,1935
21,2495,2575,2079
22,2684,2776,2216
23,2877,2967,2358
24,3069,3078,2512
25,3268,3274,2670
26,3462,3524,2818
27,3668,3960,3045
28,3937,4077,3165
29,4090,4263,3341
30,4299,4451,3517
31,4514,4662,3692
32,4738,4884,3870
33,4976,5078,4065
34,5223,5237,4258
35,5459,5238,4448
36,5780,5434,4662
37,5962,5575,4915
38,6220,5840,5058
39,6468,5978,5270
40,6754,6095,5481
41,6998,6298,5707
42,7270,6492,5904
43,7541,6908,6117
44,7832,7006,6359
45,8112,7186,6642
46,8426,7388,6831
47,8678,7643,7140
48,9019,7805,7326
49,9284,8053,7556
50,9603,8195,7860
51,9898,8310,8061
52,10176,8670,8308
53,10474,8887,8576
54,10854,8961,8856
55,11159,9163,9131
56,11390,9304,9431
57,11634,9519,9724
58,11924,9663,10052
59,12146,10021,10284
60,12543,10080,10660
61,12839,10226,10981
62,13132,10486,11211
63,13459,10720,22096
64,13760,10906,22633
65,14002,11166,12200
66,14280,11322,12578
67,14513,11514,12892
68,14803,11745,13156
69,15157,12018,13477
70,15420,12213,13848
71,15753,12429,14140
72,16072,12582,14460
73,16381,12739,14787
74,16665,12987,15152
75,16949,13638,15468
76,17275,13292,15870
77,17636,13469,16184
78,17902,13691,16517
79,18293,13988,16883
80,18526,14210,17294
81,18827,14412,17589
82,19183,14578,18018
83,19477,14922,18375
84,19950,15198,18689
85,20257,15436,19125
86,20443,15608,19454
87,20855,15827,19866
88,21189,15922,20269
89,21563,16212,20612
90,21870,16367,21041
91,22289,17471,21383
92,22551,16734,21822
93,22895,17004,22232
94,23274,17240,22653
95,23707,17520,23045
96,23944,17749,23531
97,24432,17981,23862
98,24770,18277,24317
99,25128,18582,24748
100,25533,18882,25225
