n,Find Unrolled,Find,Insert Cache,Heap Cache,Tournament Tree,State Machine Cache
3,119,398,162,221,169,118
4,192,567,240,304,299,185
5,268,723,317,390,441,266
6,358,852,399,528,516,476
7,475,1006,482,685,705,0
8,573,1240,574,784,825,0
9,684,1329,667,892,1039,0
10,870,1459,770,1045,1197,0
11,1049,1614,884,1255,1373,0
12,1255,1810,982,1409,1439,0
13,1545,2026,1090,1599,1739,0
14,1813,2139,1197,1821,1882,0
15,2058,2301,1312,2052,2043,0
16,2400,2473,1429,2176,2181,0
17,2733,2684,1561,2307,2450,0
18,3002,2815,1685,2479,2698,0
19,3465,2977,1821,2680,2966,0
20,3716,3141,1960,2844,3161,0
